District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
68,Achham,अछाम,2965,जाल्पादेवी,1,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,3,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,2,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,5,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,4,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,7,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,6,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,9,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2965,जाल्पादेवी,8,242,त्रिपुरासुन्दरी उ.मा.वि. श्रीकोट
68,Achham,अछाम,2967,लुंग्रा,1,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,3,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,2,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,5,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,4,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,7,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,6,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,2967,लुंग्रा,9,248,"लक्ष्मी नि.मा.वि. , गडशील "
68,Achham,अछाम,2967,लुंग्रा,8,246,दयापिपलतोला मा.वि. लुंग्रा
68,Achham,अछाम,3150,बारला,1,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,3,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,2,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,5,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,4,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,7,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,6,467,मालिका मा.वि.चौका
68,Achham,अछाम,3150,बारला,9,472,"रुपादेवि नि.मा.वि. ,कोसेडी"
68,Achham,अछाम,3150,बारला,8,472,"रुपादेवि नि.मा.वि. ,कोसेडी"
68,Achham,अछाम,3155,कालेकांडा,1,482,"चण्डिका मा.वि. , चिल्तडा"
68,Achham,अछाम,3155,कालेकांडा,3,482,"चण्डिका मा.वि. , चिल्तडा"
68,Achham,अछाम,3155,कालेकांडा,2,482,"चण्डिका मा.वि. , चिल्तडा"
68,Achham,अछाम,3155,कालेकांडा,5,487,"भवानी नि.मा.वि., भानाकोट"
68,Achham,अछाम,3155,कालेकांडा,4,482,"चण्डिका मा.वि. , चिल्तडा"
68,Achham,अछाम,3155,कालेकांडा,7,487,"भवानी नि.मा.वि., भानाकोट"
68,Achham,अछाम,3155,कालेकांडा,6,487,"भवानी नि.मा.वि., भानाकोट"
68,Achham,अछाम,3155,कालेकांडा,9,487,"भवानी नि.मा.वि., भानाकोट"
68,Achham,अछाम,3155,कालेकांडा,8,487,"भवानी नि.मा.वि., भानाकोट"
68,Achham,अछाम,2963,बैजनाथ,1,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,3,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,2,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,5,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,4,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,7,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,6,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,9,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,2963,बैजनाथ,8,239,सूर्यचन्द्र उ.मा.वि. कालीमाटी
68,Achham,अछाम,3023,मष्टमाण्डौ,1,303,"हिमालय उ.मा.वि., खालसेन"
68,Achham,अछाम,3023,मष्टमाण्डौ,3,303,"हिमालय उ.मा.वि., खालसेन"
68,Achham,अछाम,3023,मष्टमाण्डौ,2,303,"हिमालय उ.मा.वि., खालसेन"
68,Achham,अछाम,3023,मष्टमाण्डौ,5,303,"हिमालय उ.मा.वि., खालसेन"
68,Achham,अछाम,3023,मष्टमाण्डौ,4,303,"हिमालय उ.मा.वि., खालसेन"
68,Achham,अछाम,3023,मष्टमाण्डौ,7,305,भगवति नि.मा.वि.भण्डारीगाउ
68,Achham,अछाम,3023,मष्टमाण्डौ,6,305,भगवति नि.मा.वि.भण्डारीगाउ
68,Achham,अछाम,3023,मष्टमाण्डौ,9,305,भगवति नि.मा.वि.भण्डारीगाउ
68,Achham,अछाम,3023,मष्टमाण्डौ,8,305,भगवति नि.मा.वि.भण्डारीगाउ
68,Achham,अछाम,3093,भाटाकाटीया,1,368,पूर्णचन्द्र उ.मा.वि.
68,Achham,अछाम,3093,भाटाकाटीया,3,370,पुदु नि.मा.वि.पुदु
68,Achham,अछाम,3093,भाटाकाटीया,2,368,पूर्णचन्द्र उ.मा.वि.
68,Achham,अछाम,3093,भाटाकाटीया,5,368,पूर्णचन्द्र उ.मा.वि.
68,Achham,अछाम,3093,भाटाकाटीया,4,370,पुदु नि.मा.वि.पुदु
68,Achham,अछाम,3093,भाटाकाटीया,7,370,पुदु नि.मा.वि.पुदु
68,Achham,अछाम,3093,भाटाकाटीया,6,368,पूर्णचन्द्र उ.मा.वि.
68,Achham,अछाम,3093,भाटाकाटीया,9,370,पुदु नि.मा.वि.पुदु
68,Achham,अछाम,3093,भाटाकाटीया,8,368,पूर्णचन्द्र उ.मा.वि.
68,Achham,अछाम,2969,मार्कु,1,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,3,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,2,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,5,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,4,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,7,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,6,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,9,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,2969,मार्कु,8,251,"लक्ष्मी मा.वि. ,  मालिकास्थापना"
68,Achham,अछाम,3223,हिच्मा,1,633,कालिकादेवि उ.मा.वि. हिच्मा
68,Achham,अछाम,3223,हिच्मा,3,633,कालिकादेवि उ.मा.वि. हिच्मा
68,Achham,अछाम,3223,हिच्मा,2,633,कालिकादेवि उ.मा.वि. हिच्मा
68,Achham,अछाम,3223,हिच्मा,5,633,कालिकादेवि उ.मा.वि. हिच्मा
68,Achham,अछाम,3223,हिच्मा,4,633,कालिकादेवि उ.मा.वि. हिच्मा
68,Achham,अछाम,3223,हिच्मा,7,634,"पञ्चज्योती नि.मा.वि., च्यूटेखाल"
68,Achham,अछाम,3223,हिच्मा,6,633,कालिकादेवि उ.मा.वि. हिच्मा
68,Achham,अछाम,3223,हिच्मा,9,634,"पञ्चज्योती नि.मा.वि., च्यूटेखाल"
68,Achham,अछाम,3223,हिच्मा,8,634,"पञ्चज्योती नि.मा.वि., च्यूटेखाल"
68,Achham,अछाम,3140,सेरा,1,441,मनकामना मा.वि.जामाफलटाने
68,Achham,अछाम,3140,सेरा,3,441,मनकामना मा.वि.जामाफलटाने
68,Achham,अछाम,3140,सेरा,2,441,मनकामना मा.वि.जामाफलटाने
68,Achham,अछाम,3140,सेरा,5,443,कवालेख नि.मा.वि.कवालेख
68,Achham,अछाम,3140,सेरा,4,443,कवालेख नि.मा.वि.कवालेख
68,Achham,अछाम,3140,सेरा,7,447,पद्यासना नि.मा.वि. सेरा
68,Achham,अछाम,3140,सेरा,6,447,पद्यासना नि.मा.वि. सेरा
68,Achham,अछाम,3140,सेरा,9,447,पद्यासना नि.मा.वि. सेरा
68,Achham,अछाम,3140,सेरा,8,447,पद्यासना नि.मा.वि. सेरा
68,Achham,अछाम,3166,भैरवस्थान,1,537,बसुन्धरा उ.मा.वि. थालपाटा
68,Achham,अछाम,3166,भैरवस्थान,3,537,बसुन्धरा उ.मा.वि. थालपाटा
68,Achham,अछाम,3166,भैरवस्थान,2,537,बसुन्धरा उ.मा.वि. थालपाटा
68,Achham,अछाम,3166,भैरवस्थान,5,544,विन्धवासिनी मा.वि.आमी
68,Achham,अछाम,3166,भैरवस्थान,4,544,विन्धवासिनी मा.वि.आमी
68,Achham,अछाम,3166,भैरवस्थान,7,544,विन्धवासिनी मा.वि.आमी
68,Achham,अछाम,3166,भैरवस्थान,6,544,विन्धवासिनी मा.वि.आमी
68,Achham,अछाम,3166,भैरवस्थान,9,548,भैरव  मा.वि.लाकान्द्रा
68,Achham,अछाम,3166,भैरवस्थान,8,548,भैरव  मा.वि.लाकान्द्रा
68,Achham,अछाम,3144,जनालीवण्डाली,1,453,गंगा मा.वि. तेसिंगे
68,Achham,अछाम,3144,जनालीवण्डाली,3,453,गंगा मा.वि. तेसिंगे
68,Achham,अछाम,3144,जनालीवण्डाली,2,453,गंगा मा.वि. तेसिंगे
68,Achham,अछाम,3144,जनालीवण्डाली,5,458,जाल्पा मा.वि.मुग्राचौर
68,Achham,अछाम,3144,जनालीवण्डाली,4,458,जाल्पा मा.वि.मुग्राचौर
68,Achham,अछाम,3144,जनालीवण्डाली,7,453,गंगा मा.वि. तेसिंगे
68,Achham,अछाम,3144,जनालीवण्डाली,6,458,जाल्पा मा.वि.मुग्राचौर
68,Achham,अछाम,3144,जनालीवण्डाली,9,458,जाल्पा मा.वि.मुग्राचौर
68,Achham,अछाम,3144,जनालीवण्डाली,8,458,जाल्पा मा.वि.मुग्राचौर
68,Achham,अछाम,3124,जुपु,1,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,3,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,2,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,5,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,4,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,7,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,6,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,9,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3124,जुपु,8,403,कालिका उ.मा.वि. बलडाडा
68,Achham,अछाम,3168,धमाली,1,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,3,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,2,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,5,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,4,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,7,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,6,552,सिद्धेश्वरी उ.मा.वि.धमाली
68,Achham,अछाम,3168,धमाली,9,552,सिद्धेश्वरी उ.मा.वि.धमाली
