District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,1,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,3,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,2,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,5,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,4,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,7,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,6,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,9,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2431,ठुलापोखरा,8,4992,"नेपाल राष्ट्रिय उ.मा.वि., ठूलापोखरा"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,1,5064,"देवि प्रभा मा.वि.,  देउरालीडाँडा"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,3,5064,"देवि प्रभा मा.वि.,  देउरालीडाँडा"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,2,5064,"देवि प्रभा मा.वि.,  देउरालीडाँडा"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,5,5065,"देउराली मा.वि., पटौटी, निगाली देउराली"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,4,5065,"देउराली मा.वि., पटौटी, निगाली देउराली"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,7,5065,"देउराली मा.वि., पटौटी, निगाली देउराली"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,6,5065,"देउराली मा.वि., पटौटी, निगाली देउराली"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,9,5064,"देवि प्रभा मा.वि.,  देउरालीडाँडा"
44,Argakhachi,अर्घाखाँची,2456,पटौटी,8,5065,"देउराली मा.वि., पटौटी, निगाली देउराली"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,1,5001,"शारदा उ.मा.वि., गैरागोठ"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,3,5001,"शारदा उ.मा.वि., गैरागोठ"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,2,5001,"शारदा उ.मा.वि., गैरागोठ"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,5,5004,"भगवती मा.वि., ढिकुरा, डेभा"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,4,5001,"शारदा उ.मा.वि., गैरागोठ"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,7,5004,"भगवती मा.वि., ढिकुरा, डेभा"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,6,5004,"भगवती मा.वि., ढिकुरा, डेभा"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,9,5001,"शारदा उ.मा.वि., गैरागोठ"
44,Argakhachi,अर्घाखाँची,2436,ढिकुरा,8,5001,"शारदा उ.मा.वि., गैरागोठ"
44,Argakhachi,अर्घाखाँची,2453,पणेना,1,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,3,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,2,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,5,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,4,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,7,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,6,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,9,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2453,पणेना,8,5063,"ने.रा.मा.वि., पणेना"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,1,4995,"विद्याविनोद मा.वि., भञ्ज्याङ"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,3,4995,"विद्याविनोद मा.वि., भञ्ज्याङ"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,2,4995,"विद्याविनोद मा.वि., भञ्ज्याङ"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,5,4997,"भगवती नि.मा.वि., झन्द्रेक"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,4,4995,"विद्याविनोद मा.वि., भञ्ज्याङ"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,7,4995,"विद्याविनोद मा.वि., भञ्ज्याङ"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,6,4995,"विद्याविनोद मा.वि., भञ्ज्याङ"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,9,4997,"भगवती नि.मा.वि., झन्द्रेक"
44,Argakhachi,अर्घाखाँची,2434,अड्गुरी,8,4997,"भगवती नि.मा.वि., झन्द्रेक"
44,Argakhachi,अर्घाखाँची,2414,छत्रगज,1,4985,"सार्वजनिक उ.मा.वि. भवन, वहखोर"
44,Argakhachi,अर्घाखाँची,2414,छत्रगज,3,4985,"सार्वजनिक उ.मा.वि. भवन, वहखोर"
