District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,1,9380,"शिवालय मा.वि., सहीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,3,9380,"शिवालय मा.वि., सहीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,2,9380,"शिवालय मा.वि., सहीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,5,9384,"विद्याविकास नि.मा.वि., गादीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,4,9384,"विद्याविकास नि.मा.वि., गादीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,7,9380,"शिवालय मा.वि., सहीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,6,9384,"विद्याविकास नि.मा.वि., गादीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,9,9380,"शिवालय मा.वि., सहीखोला"
50,Baglung,बाग्लुङ,3759,अधिकारीचौर,8,9380,"शिवालय मा.वि., सहीखोला"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,1,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,3,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,2,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,5,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,4,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,7,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,6,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,9,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3714,पैयुथन्थाप,8,9308,"जनता मा.वि., पोखरीबारी"
50,Baglung,बाग्लुङ,3717,पैयुपाटा,1,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3717,पैयुपाटा,3,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3717,पैयुपाटा,2,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3717,पैयुपाटा,5,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3717,पैयुपाटा,4,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3717,पैयुपाटा,7,9311,"जनमत मा.वि., बास्कोट"
50,Baglung,बाग्लुङ,3717,पैयुपाटा,6,9311,"जनमत मा.वि., बास्कोट"
50,Baglung,बाग्लुङ,3717,पैयुपाटा,9,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3717,पैयुपाटा,8,9310,त्रिभुवन उ.मा.वि.
50,Baglung,बाग्लुङ,3711,दमेक,1,9297,"सुन्तलाचौर उ.मा.वि., सुन्तलाचौर"
50,Baglung,बाग्लुङ,3711,दमेक,3,9297,"सुन्तलाचौर उ.मा.वि., सुन्तलाचौर"
50,Baglung,बाग्लुङ,3711,दमेक,2,9297,"सुन्तलाचौर उ.मा.वि., सुन्तलाचौर"
50,Baglung,बाग्लुङ,3711,दमेक,5,9297,"सुन्तलाचौर उ.मा.वि., सुन्तलाचौर"
50,Baglung,बाग्लुङ,3711,दमेक,4,9297,"सुन्तलाचौर उ.मा.वि., सुन्तलाचौर"
50,Baglung,बाग्लुङ,3711,दमेक,7,9301,"भरतपुरी मा.वि., नेपाने"
50,Baglung,बाग्लुङ,3711,दमेक,6,9297,"सुन्तलाचौर उ.मा.वि., सुन्तलाचौर"
50,Baglung,बाग्लुङ,3711,दमेक,9,9301,"भरतपुरी मा.वि., नेपाने"
50,Baglung,बाग्लुङ,3711,दमेक,8,9301,"भरतपुरी मा.वि., नेपाने"
50,Baglung,बाग्लुङ,3710,अमलाचौर,1,9292,"पृथ्वी उ.मा.वि., अमलाचौर"
50,Baglung,बाग्लुङ,3710,अमलाचौर,3,9292,"पृथ्वी उ.मा.वि., अमलाचौर"
50,Baglung,बाग्लुङ,3710,अमलाचौर,2,9294,"लक्ष्मी नारायण नि.मा.वि., सारंगी"
50,Baglung,बाग्लुङ,3710,अमलाचौर,5,9292,"पृथ्वी उ.मा.वि., अमलाचौर"
