District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
73,Baitadi,बैतडी,3146,सिलगा,1,3105,सिद्दनाथ उ.मा.वि. मलोडा
73,Baitadi,बैतडी,3146,सिलगा,3,3105,सिद्दनाथ उ.मा.वि. मलोडा
73,Baitadi,बैतडी,3146,सिलगा,2,3105,सिद्दनाथ उ.मा.वि. मलोडा
73,Baitadi,बैतडी,3146,सिलगा,5,10076,भृकुटी नि.मा.वि थडकुडा
73,Baitadi,बैतडी,3146,सिलगा,4,3112,सिंहनाथ मा.वि. सिलंगा
73,Baitadi,बैतडी,3146,सिलगा,7,10076,भृकुटी नि.मा.वि थडकुडा
73,Baitadi,बैतडी,3146,सिलगा,6,10076,भृकुटी नि.मा.वि थडकुडा
73,Baitadi,बैतडी,3146,सिलगा,9,3112,सिंहनाथ मा.वि. सिलंगा
73,Baitadi,बैतडी,3146,सिलगा,8,10076,भृकुटी नि.मा.वि थडकुडा
73,Baitadi,बैतडी,3221,हाट,1,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,3,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,2,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,5,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,4,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,7,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,6,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,9,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3221,हाट,8,3245,डिलेश्वरी उ.मा.वि.हाट
73,Baitadi,बैतडी,3132,सकार,1,10077,भुमेश्वर नि.मा.वि लदौली
73,Baitadi,बैतडी,3132,सकार,3,3076,सिद्धेश्वर मा.वि. मेल्चौर
73,Baitadi,बैतडी,3132,सकार,2,3076,सिद्धेश्वर मा.वि. मेल्चौर
73,Baitadi,बैतडी,3132,सकार,5,3076,सिद्धेश्वर मा.वि. मेल्चौर
73,Baitadi,बैतडी,3132,सकार,4,3076,सिद्धेश्वर मा.वि. मेल्चौर
73,Baitadi,बैतडी,3132,सकार,7,3081,सनातन धर्म सेवा समिति
73,Baitadi,बैतडी,3132,सकार,6,3081,सनातन धर्म सेवा समिति
73,Baitadi,बैतडी,3132,सकार,9,3081,सनातन धर्म सेवा समिति
73,Baitadi,बैतडी,3132,सकार,8,3081,सनातन धर्म सेवा समिति
73,Baitadi,बैतडी,3255,सलेना,1,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,3,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,2,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,5,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,4,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,7,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,6,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,9,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3255,सलेना,8,3357,गाविस भवन सलेना मलिकुल
73,Baitadi,बैतडी,3274,कटौजपानी,1,10074,रौलेश्वर मा.वि मल्ढीक
73,Baitadi,बैतडी,3274,कटौजपानी,3,3489,रौलेश्वर मा.वि. कफलकोट
73,Baitadi,बैतडी,3274,कटौजपानी,2,3489,रौलेश्वर मा.वि. कफलकोट
73,Baitadi,बैतडी,3274,कटौजपानी,5,3493,मणिलेक मा.वि. कालागाउँ
73,Baitadi,बैतडी,3274,कटौजपानी,4,10074,रौलेश्वर मा.वि मल्ढीक
73,Baitadi,बैतडी,3274,कटौजपानी,7,3493,मणिलेक मा.वि. कालागाउँ
73,Baitadi,बैतडी,3274,कटौजपानी,6,3493,मणिलेक मा.वि. कालागाउँ
73,Baitadi,बैतडी,3274,कटौजपानी,9,10074,रौलेश्वर मा.वि मल्ढीक
73,Baitadi,बैतडी,3274,कटौजपानी,8,3493,मणिलेक मा.वि. कालागाउँ
73,Baitadi,बैतडी,3143,पाटन,1,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3143,पाटन,3,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3143,पाटन,2,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3143,पाटन,5,3102,नि.मा.वि. पन्तौडा
73,Baitadi,बैतडी,3143,पाटन,4,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3143,पाटन,7,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3143,पाटन,6,3102,नि.मा.वि. पन्तौडा
73,Baitadi,बैतडी,3143,पाटन,9,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3143,पाटन,8,3100,कृष्णा मा.वि. पाटन
73,Baitadi,बैतडी,3272,रिम,1,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3272,रिम,3,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3272,रिम,2,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3272,रिम,5,10113,वेताल नि.मा.वि.
73,Baitadi,बैतडी,3272,रिम,4,10113,वेताल नि.मा.वि.
73,Baitadi,बैतडी,3272,रिम,7,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3272,रिम,6,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3272,रिम,9,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3272,रिम,8,3479,पञ्चदेवमहानन्द उ.मा.वि. रिम
73,Baitadi,बैतडी,3273,गोकुलेश्वर,1,3482,सेट्टिगाँउ उ.मा.वि. ककडपाखा
73,Baitadi,बैतडी,3273,गोकुलेश्वर,3,3482,सेट्टिगाँउ उ.मा.वि. ककडपाखा
73,Baitadi,बैतडी,3273,गोकुलेश्वर,2,3482,सेट्टिगाँउ उ.मा.वि. ककडपाखा
73,Baitadi,बैतडी,3273,गोकुलेश्वर,5,3486,नगराउ नि.मा.वि. कुश्मावती
73,Baitadi,बैतडी,3273,गोकुलेश्वर,4,3482,सेट्टिगाँउ उ.मा.वि. ककडपाखा
73,Baitadi,बैतडी,3273,गोकुलेश्वर,7,3486,नगराउ नि.मा.वि. कुश्मावती
73,Baitadi,बैतडी,3273,गोकुलेश्वर,6,3486,नगराउ नि.मा.वि. कुश्मावती
73,Baitadi,बैतडी,3273,गोकुलेश्वर,9,3482,सेट्टिगाँउ उ.मा.वि. ककडपाखा
73,Baitadi,बैतडी,3273,गोकुलेश्वर,8,3486,नगराउ नि.मा.वि. कुश्मावती
