District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
69,Bajang,बझाङ्ग,3107,लेकगाउँ,1,767,वाठवाली मा.वि. वाठवाली
69,Bajang,बझाङ्ग,3107,लेकगाउँ,3,768,मझखोरी मा.वि. मझखोरी
69,Bajang,बझाङ्ग,3107,लेकगाउँ,2,767,वाठवाली मा.वि. वाठवाली
69,Bajang,बझाङ्ग,3107,लेकगाउँ,5,768,मझखोरी मा.वि. मझखोरी
69,Bajang,बझाङ्ग,3107,लेकगाउँ,4,768,मझखोरी मा.वि. मझखोरी
69,Bajang,बझाङ्ग,3107,लेकगाउँ,7,767,वाठवाली मा.वि. वाठवाली
69,Bajang,बझाङ्ग,3107,लेकगाउँ,6,768,मझखोरी मा.वि. मझखोरी
69,Bajang,बझाङ्ग,3107,लेकगाउँ,9,767,वाठवाली मा.वि. वाठवाली
69,Bajang,बझाङ्ग,3107,लेकगाउँ,8,767,वाठवाली मा.वि. वाठवाली
69,Bajang,बझाङ्ग,3049,कांडा,1,676,धलौन मा.वि. धलौन
69,Bajang,बझाङ्ग,3049,कांडा,3,676,धलौन मा.वि. धलौन
69,Bajang,बझाङ्ग,3049,कांडा,2,676,धलौन मा.वि. धलौन
69,Bajang,बझाङ्ग,3049,कांडा,5,678,काडा नि.मा.वि.काडा
69,Bajang,बझाङ्ग,3049,कांडा,4,678,काडा नि.मा.वि.काडा
69,Bajang,बझाङ्ग,3049,कांडा,7,681,धुली नि.मा.वि. धुली
69,Bajang,बझाङ्ग,3049,कांडा,6,681,धुली नि.मा.वि. धुली
69,Bajang,बझाङ्ग,3049,कांडा,9,681,धुली नि.मा.वि. धुली
69,Bajang,बझाङ्ग,3049,कांडा,8,681,धुली नि.मा.वि. धुली
69,Bajang,बझाङ्ग,3062,दातोला,1,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,3,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,2,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,5,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,4,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,7,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,6,702,हिमालय मा.वि.दातोला
69,Bajang,बझाङ्ग,3062,दातोला,9,705,दुर्गादेवी प्रा.वि.वडीगाउ
69,Bajang,बझाङ्ग,3062,दातोला,8,705,दुर्गादेवी प्रा.वि.वडीगाउ
69,Bajang,बझाङ्ग,3169,गडराय,1,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,3,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,2,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,5,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,4,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,7,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,6,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3169,गडराय,9,828,गोर्खाली नि.मा.वि. गोर्खाली
69,Bajang,बझाङ्ग,3169,गडराय,8,825,महेश्वरी उ.मा.वि. भवन गडराय
69,Bajang,बझाङ्ग,3164,पाटादेवल,1,819,पाटादेवल मा.वि.पाटादेवल
69,Bajang,बझाङ्ग,3164,पाटादेवल,3,819,पाटादेवल मा.वि.पाटादेवल
69,Bajang,बझाङ्ग,3164,पाटादेवल,2,819,पाटादेवल मा.वि.पाटादेवल
69,Bajang,बझाङ्ग,3164,पाटादेवल,5,819,पाटादेवल मा.वि.पाटादेवल
69,Bajang,बझाङ्ग,3164,पाटादेवल,4,819,पाटादेवल मा.वि.पाटादेवल
69,Bajang,बझाङ्ग,3164,पाटादेवल,7,822,कोटीखेत मा.वि. वयाना
69,Bajang,बझाङ्ग,3164,पाटादेवल,6,819,पाटादेवल मा.वि.पाटादेवल
69,Bajang,बझाङ्ग,3164,पाटादेवल,9,822,कोटीखेत मा.वि. वयाना
69,Bajang,बझाङ्ग,3164,पाटादेवल,8,822,कोटीखेत मा.वि. वयाना
69,Bajang,बझाङ्ग,3068,मेलविसौनी,1,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,3,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,2,10059,कैलाश प्रा.वि
69,Bajang,बझाङ्ग,3068,मेलविसौनी,5,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,4,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,7,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,6,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,9,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3068,मेलविसौनी,8,709,दुर्गाभवानी उ.मा.वि. भवन तलकोट
69,Bajang,बझाङ्ग,3160,कालुखेती,1,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,3,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,2,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,5,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,4,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,7,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,6,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,9,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3160,कालुखेती,8,815,खप्तड उ.मा.वि. कालुखेती
69,Bajang,बझाङ्ग,3114,व्यासी,1,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,3,773,थलारा नि.मा.वि.
69,Bajang,बझाङ्ग,3114,व्यासी,2,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,5,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,4,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,7,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,6,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,9,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3114,व्यासी,8,771,शान्ति उ.मा.वि.चौधानपाटा
69,Bajang,बझाङ्ग,3214,भैरवनाथ,1,978,भैरव मा.वि. झोता
69,Bajang,बझाङ्ग,3214,भैरवनाथ,3,978,भैरव मा.वि. झोता
69,Bajang,बझाङ्ग,3214,भैरवनाथ,2,978,भैरव मा.वि. झोता
69,Bajang,बझाङ्ग,3214,भैरवनाथ,5,978,भैरव मा.वि. झोता
69,Bajang,बझाङ्ग,3214,भैरवनाथ,4,978,भैरव मा.वि. झोता
69,Bajang,बझाङ्ग,3214,भैरवनाथ,7,976,कैलाश मा.वि. लोतु
69,Bajang,बझाङ्ग,3214,भैरवनाथ,6,976,कैलाश मा.वि. लोतु
69,Bajang,बझाङ्ग,3214,भैरवनाथ,9,976,कैलाश मा.वि. लोतु
69,Bajang,बझाङ्ग,3214,भैरवनाथ,8,976,कैलाश मा.वि. लोतु
