District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
67,Bajura,बाजुरा,2929,दहकोट,1,139,बालविकास उ.मा.वि. माझपाली
67,Bajura,बाजुरा,2929,दहकोट,3,139,बालविकास उ.मा.वि. माझपाली
67,Bajura,बाजुरा,2929,दहकोट,2,139,बालविकास उ.मा.वि. माझपाली
67,Bajura,बाजुरा,2929,दहकोट,5,140,पदमपुर नि.मा.वि. तल्दुगुन
67,Bajura,बाजुरा,2929,दहकोट,4,139,बालविकास उ.मा.वि. माझपाली
67,Bajura,बाजुरा,2929,दहकोट,7,142,फुल्पाटा मा.वी.मल्दुगुन
67,Bajura,बाजुरा,2929,दहकोट,6,140,पदमपुर नि.मा.वि. तल्दुगुन
67,Bajura,बाजुरा,2929,दहकोट,9,144,अम्लीस मा.वि. अम्लीस
67,Bajura,बाजुरा,2929,दहकोट,8,142,फुल्पाटा मा.वी.मल्दुगुन
67,Bajura,बाजुरा,2900,कोल्टी,1,123,जनप्रकाश उ.मा.वि. कोल्टी
67,Bajura,बाजुरा,2900,कोल्टी,3,123,जनप्रकाश उ.मा.वि. कोल्टी
67,Bajura,बाजुरा,2900,कोल्टी,2,123,जनप्रकाश उ.मा.वि. कोल्टी
67,Bajura,बाजुरा,2900,कोल्टी,5,125,देवलडाँडा मा.वि. कुरु
67,Bajura,बाजुरा,2900,कोल्टी,4,128,पञ्चलक्ष्मी नि.मा.वि. सिराडी
67,Bajura,बाजुरा,2900,कोल्टी,7,125,देवलडाँडा मा.वि. कुरु
67,Bajura,बाजुरा,2900,कोल्टी,6,125,देवलडाँडा मा.वि. कुरु
67,Bajura,बाजुरा,2900,कोल्टी,9,123,जनप्रकाश उ.मा.वि. कोल्टी
67,Bajura,बाजुरा,2900,कोल्टी,8,128,पञ्चलक्ष्मी नि.मा.वि. सिराडी
67,Bajura,बाजुरा,2961,छतारा,1,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,3,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,2,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,5,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,4,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,7,9793,पार्बती मा.वि. सिम्ला
67,Bajura,बाजुरा,2961,छतारा,6,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,9,9792,त्रिभुवनेश्वरी उ.मा.बि. छत्तरा
67,Bajura,बाजुरा,2961,छतारा,8,9793,पार्बती मा.वि. सिम्ला
67,Bajura,बाजुरा,2868,बुढिगंगा,1,17,कैलाशेश्वरी मा.वि. मना
67,Bajura,बाजुरा,2868,बुढिगंगा,3,17,कैलाशेश्वरी मा.वि. मना
67,Bajura,बाजुरा,2868,बुढिगंगा,2,17,कैलाशेश्वरी मा.वि. मना
67,Bajura,बाजुरा,2868,बुढिगंगा,5,22,पाथरकोट नि.मा.वि. रिला
67,Bajura,बाजुरा,2868,बुढिगंगा,4,22,पाथरकोट नि.मा.वि. रिला
67,Bajura,बाजुरा,2868,बुढिगंगा,7,24,ने.रा. नि.मा.वि. कोर्ध
67,Bajura,बाजुरा,2868,बुढिगंगा,6,24,ने.रा. नि.मा.वि. कोर्ध
67,Bajura,बाजुरा,2868,बुढिगंगा,9,24,ने.रा. नि.मा.वि. कोर्ध
67,Bajura,बाजुरा,2868,बुढिगंगा,8,24,ने.रा. नि.मा.वि. कोर्ध
67,Bajura,बाजुरा,2926,पाण्डुसैन,1,129,"घटाल प्रा.वि., नौलाकोट"
67,Bajura,बाजुरा,2926,पाण्डुसैन,3,129,"घटाल प्रा.वि., नौलाकोट"
67,Bajura,बाजुरा,2926,पाण्डुसैन,2,129,"घटाल प्रा.वि., नौलाकोट"
67,Bajura,बाजुरा,2926,पाण्डुसैन,5,136,"सत्य मा.वि., पाण्डुसैन"
67,Bajura,बाजुरा,2926,पाण्डुसैन,4,136,"सत्य मा.वि., पाण्डुसैन"
67,Bajura,बाजुरा,2926,पाण्डुसैन,7,132,"हिमाली नि.मा.वि., अंगाउपानी"
67,Bajura,बाजुरा,2926,पाण्डुसैन,6,132,"हिमाली नि.मा.वि., अंगाउपानी"
67,Bajura,बाजुरा,2926,पाण्डुसैन,9,129,"घटाल प्रा.वि., नौलाकोट"
67,Bajura,बाजुरा,2926,पाण्डुसैन,8,136,"सत्य मा.वि., पाण्डुसैन"
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,1,191,थुमा मा.वि. थुमा
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,3,191,थुमा मा.वि. थुमा
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,2,191,थुमा मा.वि. थुमा
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,5,193,महेन्द्र प्रा.वि. वानेगाउँ
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,4,202,भानुदय प्रा.वि. नौविस
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,7,198,"भानुदय उ.मा.वि.,नौविस"
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,6,197,झाली प्रा.वि. बेणुघाटी
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,9,202,भानुदय प्रा.वि. नौविस
67,Bajura,बाजुरा,2949,कुलदेवमाण्डौ,8,198,"भानुदय उ.मा.वि.,नौविस"
67,Bajura,बाजुरा,2946,बाह्रविस,1,180,भगवति मा.वि. शेलापाखा
67,Bajura,बाजुरा,2946,बाह्रविस,3,187,सि‌गडा मा.वि. सिंगाडा
67,Bajura,बाजुरा,2946,बाह्रविस,2,183,त्रिशक्ती उ.मा.वि. तल्लाकोट
67,Bajura,बाजुरा,2946,बाह्रविस,5,183,त्रिशक्ती उ.मा.वि. तल्लाकोट
67,Bajura,बाजुरा,2946,बाह्रविस,4,187,सि‌गडा मा.वि. सिंगाडा
67,Bajura,बाजुरा,2946,बाह्रविस,7,183,त्रिशक्ती उ.मा.वि. तल्लाकोट
67,Bajura,बाजुरा,2946,बाह्रविस,6,183,त्रिशक्ती उ.मा.वि. तल्लाकोट
67,Bajura,बाजुरा,2946,बाह्रविस,9,189,शारदा मा.वि. वडेलीचौर
67,Bajura,बाजुरा,2946,बाह्रविस,8,189,शारदा मा.वि. वडेलीचौर
67,Bajura,बाजुरा,2943,जयबागेश्वरी,1,175,मालिका मा.वि. गाज्रा
67,Bajura,बाजुरा,2943,जयबागेश्वरी,3,175,मालिका मा.वि. गाज्रा
67,Bajura,बाजुरा,2943,जयबागेश्वरी,2,175,मालिका मा.वि. गाज्रा
67,Bajura,बाजुरा,2943,जयबागेश्वरी,5,175,मालिका मा.वि. गाज्रा
67,Bajura,बाजुरा,2943,जयबागेश्वरी,4,175,मालिका मा.वि. गाज्रा
67,Bajura,बाजुरा,2943,जयबागेश्वरी,7,178,देवस्थली मा.वि.माटेसाँघु
67,Bajura,बाजुरा,2943,जयबागेश्वरी,6,178,देवस्थली मा.वि.माटेसाँघु
67,Bajura,बाजुरा,2943,जयबागेश्वरी,9,178,देवस्थली मा.वि.माटेसाँघु
67,Bajura,बाजुरा,2943,जयबागेश्वरी,8,178,देवस्थली मा.वि.माटेसाँघु
67,Bajura,बाजुरा,2941,काँडा,1,171,"दूर्गाभवानी नि.मा.वि., सेरा"
67,Bajura,बाजुरा,2941,काँडा,3,171,"दूर्गाभवानी नि.मा.वि., सेरा"
67,Bajura,बाजुरा,2941,काँडा,2,171,"दूर्गाभवानी नि.मा.वि., सेरा"
67,Bajura,बाजुरा,2941,काँडा,5,173,"काँडाभवानी उ.मा.वि., जारीम्तोला"
67,Bajura,बाजुरा,2941,काँडा,4,171,"दूर्गाभवानी नि.मा.वि., सेरा"
67,Bajura,बाजुरा,2941,काँडा,7,173,"काँडाभवानी उ.मा.वि., जारीम्तोला"
67,Bajura,बाजुरा,2941,काँडा,6,173,"काँडाभवानी उ.मा.वि., जारीम्तोला"
67,Bajura,बाजुरा,2941,काँडा,9,173,"काँडाभवानी उ.मा.वि., जारीम्तोला"
67,Bajura,बाजुरा,2941,काँडा,8,173,"काँडाभवानी उ.मा.वि., जारीम्तोला"
67,Bajura,बाजुरा,2883,जुकोट,1,80,"शम्भुसुनन्दा मा.वि., जुकोट"
67,Bajura,बाजुरा,2883,जुकोट,3,80,"शम्भुसुनन्दा मा.वि., जुकोट"
67,Bajura,बाजुरा,2883,जुकोट,2,80,"शम्भुसुनन्दा मा.वि., जुकोट"
67,Bajura,बाजुरा,2883,जुकोट,5,84,"उप-स्वास्थ्य चौकी, जुकोट"
67,Bajura,बाजुरा,2883,जुकोट,4,80,"शम्भुसुनन्दा मा.वि., जुकोट"
67,Bajura,बाजुरा,2883,जुकोट,7,87,शम्भुसुनन्दा मा.वि. जुकु
67,Bajura,बाजुरा,2883,जुकोट,6,84,"उप-स्वास्थ्य चौकी, जुकोट"
67,Bajura,बाजुरा,2883,जुकोट,9,87,शम्भुसुनन्दा मा.वि. जुकु
67,Bajura,बाजुरा,2883,जुकोट,8,87,शम्भुसुनन्दा मा.वि. जुकु
67,Bajura,बाजुरा,2881,वाई,1,74,भैरवनाथ मा.वि. जेरा
67,Bajura,बाजुरा,2881,वाई,3,74,भैरवनाथ मा.वि. जेरा
67,Bajura,बाजुरा,2881,वाई,2,74,भैरवनाथ मा.वि. जेरा
67,Bajura,बाजुरा,2881,वाई,5,77,स्वामीकार्तिक उ.मा.वि. वाई
67,Bajura,बाजुरा,2881,वाई,4,74,भैरवनाथ मा.वि. जेरा
67,Bajura,बाजुरा,2881,वाई,7,77,स्वामीकार्तिक उ.मा.वि. वाई
67,Bajura,बाजुरा,2881,वाई,6,77,स्वामीकार्तिक उ.मा.वि. वाई
67,Bajura,बाजुरा,2881,वाई,9,77,स्वामीकार्तिक उ.मा.वि. वाई
67,Bajura,बाजुरा,2881,वाई,8,77,स्वामीकार्तिक उ.मा.वि. वाई
67,Bajura,बाजुरा,2886,साप्पाटा,1,91,"कुलादेवी मा.वि., बर्कु"
67,Bajura,बाजुरा,2886,साप्पाटा,3,91,"कुलादेवी मा.वि., बर्कु"
67,Bajura,बाजुरा,2886,साप्पाटा,2,91,"कुलादेवी मा.वि., बर्कु"
67,Bajura,बाजुरा,2886,साप्पाटा,5,98,रघुमाता मा.वि. साप्पाटा
67,Bajura,बाजुरा,2886,साप्पाटा,4,93,"रुपाली नि.मा.वि., माझपाटा"
67,Bajura,बाजुरा,2886,साप्पाटा,7,98,रघुमाता मा.वि. साप्पाटा
67,Bajura,बाजुरा,2886,साप्पाटा,6,93,"रुपाली नि.मा.वि., माझपाटा"
67,Bajura,बाजुरा,2886,साप्पाटा,9,98,रघुमाता मा.वि. साप्पाटा
67,Bajura,बाजुरा,2886,साप्पाटा,8,93,"रुपाली नि.मा.वि., माझपाटा"
67,Bajura,बाजुरा,2889,बोधु,1,103,खोलीडाडा नि.मा.वि. पाँडी
67,Bajura,बाजुरा,2889,बोधु,3,101,बडिमालिका मा.वि. धिम
67,Bajura,बाजुरा,2889,बोधु,2,101,बडिमालिका मा.वि. धिम
67,Bajura,बाजुरा,2889,बोधु,5,101,बडिमालिका मा.वि. धिम
67,Bajura,बाजुरा,2889,बोधु,4,101,बडिमालिका मा.वि. धिम
67,Bajura,बाजुरा,2889,बोधु,7,105,बाँधु मा.वि. भारतीकौषाडी
67,Bajura,बाजुरा,2889,बोधु,6,105,बाँधु मा.वि. भारतीकौषाडी
67,Bajura,बाजुरा,2889,बोधु,9,105,बाँधु मा.वि. भारतीकौषाडी
67,Bajura,बाजुरा,2889,बोधु,8,105,बाँधु मा.वि. भारतीकौषाडी
67,Bajura,बाजुरा,2873,जुगाडा,1,50,सत्यवादी मा.वि. भौनेरा
67,Bajura,बाजुरा,2873,जुगाडा,3,50,सत्यवादी मा.वि. भौनेरा
67,Bajura,बाजुरा,2873,जुगाडा,2,50,सत्यवादी मा.वि. भौनेरा
67,Bajura,बाजुरा,2873,जुगाडा,5,47,जल्पादेवि उ.मा.वि. पिनालेख
67,Bajura,बाजुरा,2873,जुगाडा,4,47,जल्पादेवि उ.मा.वि. पिनालेख
67,Bajura,बाजुरा,2873,जुगाडा,7,45,"घटाल नि.मा.वि., वसाला"
67,Bajura,बाजुरा,2873,जुगाडा,6,45,"घटाल नि.मा.वि., वसाला"
67,Bajura,बाजुरा,2873,जुगाडा,9,52,"चोयाकोट मा.वि., रजाली"
67,Bajura,बाजुरा,2873,जुगाडा,8,52,"चोयाकोट मा.वि., रजाली"
67,Bajura,बाजुरा,2872,मार्तडी,1,27,"कालिका प्रा.वि., चुथी"
67,Bajura,बाजुरा,2872,मार्तडी,3,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2872,मार्तडी,2,27,"कालिका प्रा.वि., चुथी"
67,Bajura,बाजुरा,2872,मार्तडी,5,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2872,मार्तडी,4,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2872,मार्तडी,7,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2872,मार्तडी,6,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2872,मार्तडी,9,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2872,मार्तडी,8,28,मालिका उ.मा.वि. मार्तडी
67,Bajura,बाजुरा,2878,जगन्नाथ,1,64,"बालविकास नि.मा.वि., हुनी"
67,Bajura,बाजुरा,2878,जगन्नाथ,3,64,"बालविकास नि.मा.वि., हुनी"
67,Bajura,बाजुरा,2878,जगन्नाथ,2,64,"बालविकास नि.मा.वि., हुनी"
67,Bajura,बाजुरा,2878,जगन्नाथ,5,62,सरस्वती मा.वि. ढाडाकोट
67,Bajura,बाजुरा,2878,जगन्नाथ,4,62,सरस्वती मा.वि. ढाडाकोट
67,Bajura,बाजुरा,2878,जगन्नाथ,7,62,सरस्वती मा.वि. ढाडाकोट
67,Bajura,बाजुरा,2878,जगन्नाथ,6,62,सरस्वती मा.वि. ढाडाकोट
67,Bajura,बाजुरा,2878,जगन्नाथ,9,62,सरस्वती मा.वि. ढाडाकोट
67,Bajura,बाजुरा,2878,जगन्नाथ,8,62,सरस्वती मा.वि. ढाडाकोट
67,Bajura,बाजुरा,2876,गोत्री,1,56,देवलकोट मा.वि. गोत्री
67,Bajura,बाजुरा,2876,गोत्री,3,56,देवलकोट मा.वि. गोत्री
67,Bajura,बाजुरा,2876,गोत्री,2,56,देवलकोट मा.वि. गोत्री
67,Bajura,बाजुरा,2876,गोत्री,5,58,कैलाश मा.वि. महती
67,Bajura,बाजुरा,2876,गोत्री,4,56,देवलकोट मा.वि. गोत्री
67,Bajura,बाजुरा,2876,गोत्री,7,58,कैलाश मा.वि. महती
67,Bajura,बाजुरा,2876,गोत्री,6,58,कैलाश मा.वि. महती
67,Bajura,बाजुरा,2876,गोत्री,9,58,कैलाश मा.वि. महती
67,Bajura,बाजुरा,2876,गोत्री,8,58,कैलाश मा.वि. महती
67,Bajura,बाजुरा,2939,गुदुखाती,1,164,भवानी मा.वि.पुडाबाब्ला
67,Bajura,बाजुरा,2939,गुदुखाती,3,160,खापरदेवस्थली मा.वि. गुदुखाती
67,Bajura,बाजुरा,2939,गुदुखाती,2,160,खापरदेवस्थली मा.वि. गुदुखाती
67,Bajura,बाजुरा,2939,गुदुखाती,5,164,भवानी मा.वि.पुडाबाब्ला
67,Bajura,बाजुरा,2939,गुदुखाती,4,167,ब्रह्मेश्र्वरी नि.मा.वि.गुदु
67,Bajura,बाजुरा,2939,गुदुखाती,7,160,खापरदेवस्थली मा.वि. गुदुखाती
67,Bajura,बाजुरा,2939,गुदुखाती,6,160,खापरदेवस्थली मा.वि. गुदुखाती
67,Bajura,बाजुरा,2939,गुदुखाती,9,160,खापरदेवस्थली मा.वि. गुदुखाती
67,Bajura,बाजुरा,2939,गुदुखाती,8,160,खापरदेवस्थली मा.वि. गुदुखाती
67,Bajura,बाजुरा,2936,डोगडी,1,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,3,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,2,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,5,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,4,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,7,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,6,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,9,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2936,डोगडी,8,157,"मष्टेश्वरी उ.मा.वि., डोगडी"
67,Bajura,बाजुरा,2879,कोटिला,1,67,"उपस्वास्थचौकी, कालसिल"
67,Bajura,बाजुरा,2879,कोटिला,3,67,"उपस्वास्थचौकी, कालसिल"
67,Bajura,बाजुरा,2879,कोटिला,2,67,"उपस्वास्थचौकी, कालसिल"
67,Bajura,बाजुरा,2879,कोटिला,5,70,वागेश्वरी नि.मा.वि. कोटीला
67,Bajura,बाजुरा,2879,कोटिला,4,67,"उपस्वास्थचौकी, कालसिल"
67,Bajura,बाजुरा,2879,कोटिला,7,70,वागेश्वरी नि.मा.वि. कोटीला
67,Bajura,बाजुरा,2879,कोटिला,6,70,वागेश्वरी नि.मा.वि. कोटीला
