District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
33,Bara,बारा,2349,सिसहनिया,1,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,3,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,2,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,5,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,4,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,7,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,6,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,9,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2349,सिसहनिया,8,7053,ने.रा.नि.मा.बि. सिसहनिया
33,Bara,बारा,2184,पथरहटी,1,6911,ने.रा.प्रा.वि.पथरहटी
33,Bara,बारा,2184,पथरहटी,3,6911,ने.रा.प्रा.वि.पथरहटी
33,Bara,बारा,2184,पथरहटी,2,6911,ने.रा.प्रा.वि.पथरहटी
33,Bara,बारा,2184,पथरहटी,5,6913,ने.रा.प्रा.बि. पथरहट्टी
33,Bara,बारा,2184,पथरहटी,4,6911,ने.रा.प्रा.वि.पथरहटी
33,Bara,बारा,2184,पथरहटी,7,6913,ने.रा.प्रा.बि. पथरहट्टी
33,Bara,बारा,2184,पथरहटी,6,6913,ने.रा.प्रा.बि. पथरहट्टी
33,Bara,बारा,2184,पथरहटी,9,6913,ने.रा.प्रा.बि. पथरहट्टी
33,Bara,बारा,2184,पथरहटी,8,6913,ने.रा.प्रा.बि. पथरहट्टी
33,Bara,बारा,2095,गढहल,1,7344,गम्भिरा मा.बि. गढहल
33,Bara,बारा,2095,गढहल,3,7344,गम्भिरा मा.बि. गढहल
33,Bara,बारा,2095,गढहल,2,7344,गम्भिरा मा.बि. गढहल
