District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,11,5403,"भानुभक्त प्रा.बि., आशापुर"
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,10,5402,कोठिया प्रा.बि. कोठिया
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,13,5410,क्षेत्रपाल मेवालाल बबई प्रा.बि. रत्नापुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,12,5407,‌‍ॐ शान्ति प्रा. वि. मथुराहरद्धार
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,14,5411,ने.रा.मा.बि. प्रयागपुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,1,5343,"जगन्नाथ गुरुबाबा प्रा. वि., पन्द्र नं."
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,3,5347,हेल्थपोष्ट खैरापुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,2,5346,ने.रा. शम्भुशरण उ.मा.बि. खैरापुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,5,5353,ध्रुब उ.मा.बि. तुल्सीपुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,4,5349,ने.रा.प्रा.बि. तेजिपुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,7,5389,बबई क्याम्पस तुलापुर
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,6,5386,बालमन्दिर गुलरिया
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,9,5397,कृषि भवन गुलरिया
66,Bardiya,बर्दिया,3715,गुलरिया नगरपालिका,8,5394,टाउनहल गुलरिया
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,1,5586,जगदम्बा उ.मा.बि. मढेला
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,3,5586,जगदम्बा उ.मा.बि. मढेला
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,2,5586,जगदम्बा उ.मा.बि. मढेला
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,5,5589,ने.रा.नि.मा.बि. ठाकुरद्धारा
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,4,5586,जगदम्बा उ.मा.बि. मढेला
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,7,5589,ने.रा.नि.मा.बि. ठाकुरद्धारा
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,6,5589,ने.रा.नि.मा.बि. ठाकुरद्धारा
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,9,5591,पृथ्वी प्रा.बि. ठाकुरद्धारा
66,Bardiya,बर्दिया,2861,ठाकुरद्धारा,8,5591,पृथ्वी प्रा.बि. ठाकुरद्धारा
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,1,5597,सरस्वती प्रा.बि. पत्थरबोझी
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,3,5598,त्रि.उ.मा.वि. सूर्यपटुवा
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,2,5598,त्रि.उ.मा.वि. सूर्यपटुवा
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,5,5598,त्रि.उ.मा.वि. सूर्यपटुवा
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,4,5598,त्रि.उ.मा.वि. सूर्यपटुवा
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,7,5604,"मन्जुश्री शिशु बाटिका नि.मा.बि., बंगालीपुर"
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,6,5604,"मन्जुश्री शिशु बाटिका नि.मा.बि., बंगालीपुर"
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,9,5604,"मन्जुश्री शिशु बाटिका नि.मा.बि., बंगालीपुर"
66,Bardiya,बर्दिया,2865,सूर्यपटुवा,8,5604,"मन्जुश्री शिशु बाटिका नि.मा.बि., बंगालीपुर"
66,Bardiya,बर्दिया,2848,पाताभार,1,5747,कालिका प्रा.बि. थापापुर
66,Bardiya,बर्दिया,2848,पाताभार,3,5751,"एकप्रिय राठौर उ.मा.बि., पाताभार"
66,Bardiya,बर्दिया,2848,पाताभार,2,5749,ने.रा.प्रा.बि. गणेशपुर
66,Bardiya,बर्दिया,2848,पाताभार,5,5780,खैरावाङ्ग भगवती नि.मा.बि. राजिपुर
66,Bardiya,बर्दिया,2848,पाताभार,4,5780,खैरावाङ्ग भगवती नि.मा.बि. राजिपुर
