District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,1,9524,न्याचोपौवा प्रा.वि.
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,3,9524,न्याचोपौवा प्रा.वि.
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,2,9530,चागु गाविस भवन साङ्गदह
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,5,9524,न्याचोपौवा प्रा.वि.
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,4,9524,न्याचोपौवा प्रा.वि.
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,7,9530,चागु गाविस भवन साङ्गदह
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,6,9530,चागु गाविस भवन साङ्गदह
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,9,9530,चागु गाविस भवन साङ्गदह
27,Bhaktapur,भक्तपुर,959,चांगुनारायण,8,9530,चागु गाविस भवन साङ्गदह
27,Bhaktapur,भक्तपुर,977,दधिकोट,1,9742,कुलमाया नि.मा.वि. भवन
27,Bhaktapur,भक्तपुर,977,दधिकोट,3,9743,तर्कगाल दुधडेरी
27,Bhaktapur,भक्तपुर,977,दधिकोट,2,9742,कुलमाया नि.मा.वि. भवन
27,Bhaktapur,भक्तपुर,977,दधिकोट,5,9743,तर्कगाल दुधडेरी
27,Bhaktapur,भक्तपुर,977,दधिकोट,4,9743,तर्कगाल दुधडेरी
27,Bhaktapur,भक्तपुर,977,दधिकोट,7,9744,अरनिको उ.मा.वि.
27,Bhaktapur,भक्तपुर,977,दधिकोट,6,9744,अरनिको उ.मा.वि.
27,Bhaktapur,भक्तपुर,977,दधिकोट,9,9746,चित्रपुर गणेश मन्दिर पाटी
27,Bhaktapur,भक्तपुर,977,दधिकोट,8,9746,चित्रपुर गणेश मन्दिर पाटी
27,Bhaktapur,भक्तपुर,967,झौखेल,1,9542,वालभुषण नि.मा.वि. कोल्पाकोट
27,Bhaktapur,भक्तपुर,967,झौखेल,3,9542,वालभुषण नि.मा.वि. कोल्पाकोट
27,Bhaktapur,भक्तपुर,967,झौखेल,2,9542,वालभुषण नि.मा.वि. कोल्पाकोट
27,Bhaktapur,भक्तपुर,967,झौखेल,5,9545,यापी भैरव नि.मा.वि. 
27,Bhaktapur,भक्तपुर,967,झौखेल,4,9542,वालभुषण नि.मा.वि. कोल्पाकोट
