District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
7,Bhojpur,भोजपुर,318,टक्सार,1,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,3,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,2,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,5,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,4,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,7,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,6,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,9,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,318,टक्सार,8,3885,"यशोधरा उ.मा.वि., टक्सार"
7,Bhojpur,भोजपुर,338,दलगाउँ,1,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,3,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,2,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,5,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,4,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,7,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,6,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,9,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,338,दलगाउँ,8,3913,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,1,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,3,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,2,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,5,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,4,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,7,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,6,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,9,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,322,सानोदुम्मा,8,3891,"गा.वि.स. भवन, थर्पु"
7,Bhojpur,भोजपुर,335,ओख्रे,1,3907,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,335,ओख्रे,3,3909,"जुनेली नि.मा.वि., खेना"
7,Bhojpur,भोजपुर,335,ओख्रे,2,3907,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,335,ओख्रे,5,3909,"जुनेली नि.मा.वि., खेना"
7,Bhojpur,भोजपुर,335,ओख्रे,4,3909,"जुनेली नि.मा.वि., खेना"
7,Bhojpur,भोजपुर,335,ओख्रे,7,3907,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,335,ओख्रे,6,3907,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,335,ओख्रे,9,3909,"जुनेली नि.मा.वि., खेना"
7,Bhojpur,भोजपुर,335,ओख्रे,8,3907,"गा.वि.स. भवन,"
7,Bhojpur,भोजपुर,311,खाँवा,1,3875,"पशुपति मा.वि., भञ्ज्याङ"
7,Bhojpur,भोजपुर,311,खाँवा,3,3875,"पशुपति मा.वि., भञ्ज्याङ"
7,Bhojpur,भोजपुर,311,खाँवा,2,3875,"पशुपति मा.वि., भञ्ज्याङ"
7,Bhojpur,भोजपुर,311,खाँवा,5,3875,"पशुपति मा.वि., भञ्ज्याङ"
