District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
35,Chitwan,चितवन,2928,गर्दी,1,8275,भैरवपुर नि.मा.बि. भैरवपुर
35,Chitwan,चितवन,2928,गर्दी,3,8275,भैरवपुर नि.मा.बि. भैरवपुर
35,Chitwan,चितवन,2928,गर्दी,2,8279,जीवनपुर रा.प्रा.वि.
35,Chitwan,चितवन,2928,गर्दी,5,8279,जीवनपुर रा.प्रा.वि.
35,Chitwan,चितवन,2928,गर्दी,4,8283,रा.प्रा.वि. रत्नपुर सेरुवा
35,Chitwan,चितवन,2928,गर्दी,7,8283,रा.प्रा.वि. रत्नपुर सेरुवा
35,Chitwan,चितवन,2928,गर्दी,6,8281,सोमेश्वर उ.मा.वि. वरुवा
35,Chitwan,चितवन,2928,गर्दी,9,8283,रा.प्रा.वि. रत्नपुर सेरुवा
35,Chitwan,चितवन,2928,गर्दी,8,8281,सोमेश्वर उ.मा.वि. वरुवा
35,Chitwan,चितवन,2864,खैरहनी,1,7931,"सरस्वती राष्ट्रिय प्रा.वि., सुर्तनी"
35,Chitwan,चितवन,2864,खैरहनी,3,7931,"सरस्वती राष्ट्रिय प्रा.वि., सुर्तनी"
35,Chitwan,चितवन,2864,खैरहनी,2,7931,"सरस्वती राष्ट्रिय प्रा.वि., सुर्तनी"
35,Chitwan,चितवन,2864,खैरहनी,5,7930,खैरहनी उ.मा.वि. खैरहनी
35,Chitwan,चितवन,2864,खैरहनी,4,7930,खैरहनी उ.मा.वि. खैरहनी
35,Chitwan,चितवन,2864,खैरहनी,7,7930,खैरहनी उ.मा.वि. खैरहनी
35,Chitwan,चितवन,2864,खैरहनी,6,7930,खैरहनी उ.मा.वि. खैरहनी
35,Chitwan,चितवन,2864,खैरहनी,9,7930,खैरहनी उ.मा.वि. खैरहनी
35,Chitwan,चितवन,2864,खैरहनी,8,7930,खैरहनी उ.मा.वि. खैरहनी
35,Chitwan,चितवन,2906,कविलास,1,8127,गाबिस भवन कविलास जुगेडी
35,Chitwan,चितवन,2906,कविलास,3,8127,गाबिस भवन कविलास जुगेडी
35,Chitwan,चितवन,2906,कविलास,2,8127,गाबिस भवन कविलास जुगेडी
35,Chitwan,चितवन,2906,कविलास,5,8129,रा.नि.मा.वि. चौकी कविलास
35,Chitwan,चितवन,2906,कविलास,4,8127,गाबिस भवन कविलास जुगेडी
35,Chitwan,चितवन,2906,कविलास,7,8129,रा.नि.मा.वि. चौकी कविलास
35,Chitwan,चितवन,2906,कविलास,6,8129,रा.नि.मा.वि. चौकी कविलास
35,Chitwan,चितवन,2906,कविलास,9,8127,गाबिस भवन कविलास जुगेडी
35,Chitwan,चितवन,2906,कविलास,8,8129,रा.नि.मा.वि. चौकी कविलास
35,Chitwan,चितवन,2866,कुमरोज,1,7933,गवै मा.वि. गवै कुमरोज
35,Chitwan,चितवन,2866,कुमरोज,3,7933,गवै मा.वि. गवै कुमरोज
35,Chitwan,चितवन,2866,कुमरोज,2,7933,गवै मा.वि. गवै कुमरोज
35,Chitwan,चितवन,2866,कुमरोज,5,7935,"जनकपुर सामुदायिक नि.मा.वि., जनकपुर कुमरोज"
35,Chitwan,चितवन,2866,कुमरोज,4,7933,गवै मा.वि. गवै कुमरोज
35,Chitwan,चितवन,2866,कुमरोज,7,7934,"कपिया उ.मा.वि. कपिया, कुमरोज"
35,Chitwan,चितवन,2866,कुमरोज,6,7935,"जनकपुर सामुदायिक नि.मा.वि., जनकपुर कुमरोज"
35,Chitwan,चितवन,2866,कुमरोज,9,7935,"जनकपुर सामुदायिक नि.मा.वि., जनकपुर कुमरोज"
