District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
74,Dadheldhura,डडेलधुरा,3308,रुपाल,1,3758,सदाशिव प्रा.वि. नौतडी
74,Dadheldhura,डडेलधुरा,3308,रुपाल,3,3758,सदाशिव प्रा.वि. नौतडी
74,Dadheldhura,डडेलधुरा,3308,रुपाल,2,3758,सदाशिव प्रा.वि. नौतडी
74,Dadheldhura,डडेलधुरा,3308,रुपाल,5,3761,उपस्वास्थ्य चौकी वयलपाटा
74,Dadheldhura,डडेलधुरा,3308,रुपाल,4,3761,उपस्वास्थ्य चौकी वयलपाटा
74,Dadheldhura,डडेलधुरा,3308,रुपाल,7,3768,कैलपाल मा.वि. पनिउट
74,Dadheldhura,डडेलधुरा,3308,रुपाल,6,3761,उपस्वास्थ्य चौकी वयलपाटा
74,Dadheldhura,डडेलधुरा,3308,रुपाल,9,3770,कैलपाल देवल मा.वि. पत्रम
74,Dadheldhura,डडेलधुरा,3308,रुपाल,8,3768,कैलपाल मा.वि. पनिउट
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,1,3832,सहश्रलिङ्ग उ.मा.वि. चमडा
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,3,3832,सहश्रलिङ्ग उ.मा.वि. चमडा
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,2,3832,सहश्रलिङ्ग उ.मा.वि. चमडा
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,5,3832,सहश्रलिङ्ग उ.मा.वि. चमडा
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,4,3832,सहश्रलिङ्ग उ.मा.वि. चमडा
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,7,3836,अजयमेरु नि.मा.वि. रोल्ली
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,6,3836,अजयमेरु नि.मा.वि. रोल्ली
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,9,3832,सहश्रलिङ्ग उ.मा.वि. चमडा
74,Dadheldhura,डडेलधुरा,3326,अजयमेरू,8,3836,अजयमेरु नि.मा.वि. रोल्ली
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,1,3563,असिग्राम नि.मा.वि. देवस्थल
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,3,3563,असिग्राम नि.मा.वि. देवस्थल
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,2,3563,असिग्राम नि.मा.वि. देवस्थल
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,5,3563,असिग्राम नि.मा.वि. देवस्थल
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,4,3563,असिग्राम नि.मा.वि. देवस्थल
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,7,3569,मणीलेक वालकल्याण मा.वि. ढिलेली
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,6,3569,मणीलेक वालकल्याण मा.वि. ढिलेली
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,9,3569,मणीलेक वालकल्याण मा.वि. ढिलेली
74,Dadheldhura,डडेलधुरा,3277,मणीलेख,8,3569,मणीलेक वालकल्याण मा.वि. ढिलेली
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,11,3547,असिग्राम नि.मा.वि. लिटरगाउँ
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,10,3543,सहश्रलिङ्ग उ.मा.वि. राई
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,1,3503,खानेपानी टंकी स्याउले
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,3,3514,उपस्वास्थ्य चौकी घटाल
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,2,3509,वडा कार्यालय घटालडोटी
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,5,3523,महेन्द्र उ.मा.वि. खलंगा
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,4,3518,कभर्ड हल टुडीखेल
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,7,3531,उग्रतारा उ.मा.वि. पोखरा
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,6,3529,भजनेउटाको चौतारो
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,9,3539,आदर्श मणीलेक प्रा.वि. लटशेरा
74,Dadheldhura,डडेलधुरा,3752,अमरगढी नगरपालिका,8,3535,भागेश्वर उ.मा.वि.टाटर
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,1,3573,सुनकेश्वर गिल्लेश्वरी नि.मा.वि. गिल्ला
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,3,3573,सुनकेश्वर गिल्लेश्वरी नि.मा.वि. गिल्ला
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,2,3573,सुनकेश्वर गिल्लेश्वरी नि.मा.वि. गिल्ला
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,5,3578,गौडेश्वर उ.मा.वि को प्रा. वि भवन
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,4,3578,गौडेश्वर उ.मा.वि को प्रा. वि भवन
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,7,3584,विजयासैनी उ.मा.वि. चामा
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,6,3578,गौडेश्वर उ.मा.वि को प्रा. वि भवन
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,9,3584,विजयासैनी उ.मा.वि. चामा
74,Dadheldhura,डडेलधुरा,3278,बेलापुर,8,3584,विजयासैनी उ.मा.वि. चामा
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,1,3827,दुर्गास्थान नि.मा.वि. गुनपाल
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,3,3820,भद्रपुर उ.मा.वि. भद्रपुर
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,2,3820,भद्रपुर उ.मा.वि. भद्रपुर
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,5,3827,दुर्गास्थान नि.मा.वि. गुनपाल
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,4,3827,दुर्गास्थान नि.मा.वि. गुनपाल
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,7,3820,भद्रपुर उ.मा.वि. भद्रपुर
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,6,3827,दुर्गास्थान नि.मा.वि. गुनपाल
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,9,3820,भद्रपुर उ.मा.वि. भद्रपुर
74,Dadheldhura,डडेलधुरा,3324,भद्रपुर,8,3820,भद्रपुर उ.मा.वि. भद्रपुर
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,1,3802,देवल उ.मा.वि. देवलदिव्यपुर
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,3,3802,देवल उ.मा.वि. देवलदिव्यपुर
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,2,3806,चेतना मा.वि. राजुल
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,5,3809,केदारशिशु सुधार मा.वि. मटेला
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,4,3802,देवल उ.मा.वि. देवलदिव्यपुर
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,7,3802,देवल उ.मा.वि. देवलदिव्यपुर
74,Dadheldhura,डडेलधुरा,3319,देवलदिव्यपुर,6,3809,केदारशिशु सुधार मा.वि. मटेला
