District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
63,Dailekh,दैलेख,2476,कुशापानी,1,4108,सरस्वती नि.मा.वि.
63,Dailekh,दैलेख,2476,कुशापानी,3,4108,सरस्वती नि.मा.वि.
63,Dailekh,दैलेख,2476,कुशापानी,2,4108,सरस्वती नि.मा.वि.
63,Dailekh,दैलेख,2476,कुशापानी,5,4110,गाबिस भवन
63,Dailekh,दैलेख,2476,कुशापानी,4,4110,गाबिस भवन
63,Dailekh,दैलेख,2476,कुशापानी,7,4110,गाबिस भवन
63,Dailekh,दैलेख,2476,कुशापानी,6,4110,गाबिस भवन
63,Dailekh,दैलेख,2476,कुशापानी,9,4110,गाबिस भवन
63,Dailekh,दैलेख,2476,कुशापानी,8,4110,गाबिस भवन
63,Dailekh,दैलेख,2474,चामुण्डा,1,4100,आनन्द मा.वि. चापागाउँ
63,Dailekh,दैलेख,2474,चामुण्डा,3,4102,जनकल्याण नि.मा.बि. बुढेली
63,Dailekh,दैलेख,2474,चामुण्डा,2,4100,आनन्द मा.वि. चापागाउँ
63,Dailekh,दैलेख,2474,चामुण्डा,5,4102,जनकल्याण नि.मा.बि. बुढेली
63,Dailekh,दैलेख,2474,चामुण्डा,4,4102,जनकल्याण नि.मा.बि. बुढेली
63,Dailekh,दैलेख,2474,चामुण्डा,7,4104,चामुण्डा उ.मा.बि. डाँडाकोट
63,Dailekh,दैलेख,2474,चामुण्डा,6,4104,चामुण्डा उ.मा.बि. डाँडाकोट
63,Dailekh,दैलेख,2474,चामुण्डा,9,4100,आनन्द मा.वि. चापागाउँ
63,Dailekh,दैलेख,2474,चामुण्डा,8,4104,चामुण्डा उ.मा.बि. डाँडाकोट
63,Dailekh,दैलेख,2458,दुल्लु,1,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,3,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,2,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,5,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,4,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,7,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,6,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,9,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2458,दुल्लु,8,4037,ने.रा.मा.बि. किर्तिखम्बा
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,1,4092,जन जागृती नि.मा.वि. कोहोलपुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,3,4092,जन जागृती नि.मा.वि. कोहोलपुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,2,4092,जन जागृती नि.मा.वि. कोहोलपुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,5,4095,भैरव उ.मा.वि. डसुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,4,4092,जन जागृती नि.मा.वि. कोहोलपुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,7,4095,भैरव उ.मा.वि. डसुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,6,4095,भैरव उ.मा.वि. डसुर
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,9,4099,सरस्वती नि.मा.बि. खार
63,Dailekh,दैलेख,2471,लयाटीबिन्द्रासैनी,8,4099,सरस्वती नि.मा.बि. खार
63,Dailekh,दैलेख,2455,गमौडी,1,4030,"पंचकोशी ज्वाला उ.मा.वि. 
राउसेडाँडा"
63,Dailekh,दैलेख,2455,गमौडी,3,4033,ईन्द्र ज्वाला प्रा.वि. राजाकाँध
63,Dailekh,दैलेख,2455,गमौडी,2,4030,"पंचकोशी ज्वाला उ.मा.वि. 
राउसेडाँडा"
63,Dailekh,दैलेख,2455,गमौडी,5,4033,ईन्द्र ज्वाला प्रा.वि. राजाकाँध
63,Dailekh,दैलेख,2455,गमौडी,4,4030,"पंचकोशी ज्वाला उ.मा.वि. 
राउसेडाँडा"
63,Dailekh,दैलेख,2455,गमौडी,7,4030,"पंचकोशी ज्वाला उ.मा.वि. 
राउसेडाँडा"
63,Dailekh,दैलेख,2455,गमौडी,6,4030,"पंचकोशी ज्वाला उ.मा.वि. 
राउसेडाँडा"
63,Dailekh,दैलेख,2455,गमौडी,9,4033,ईन्द्र ज्वाला प्रा.वि. राजाकाँध
63,Dailekh,दैलेख,2455,गमौडी,8,4033,ईन्द्र ज्वाला प्रा.वि. राजाकाँध
63,Dailekh,दैलेख,2432,बालुवाटार,1,3959,"ने..रा.नि.मा.बि. ,आलेगाउँ"
63,Dailekh,दैलेख,2432,बालुवाटार,3,3959,"ने..रा.नि.मा.बि. ,आलेगाउँ"
63,Dailekh,दैलेख,2432,बालुवाटार,2,3959,"ने..रा.नि.मा.बि. ,आलेगाउँ"
63,Dailekh,दैलेख,2432,बालुवाटार,5,3959,"ने..रा.नि.मा.बि. ,आलेगाउँ"
63,Dailekh,दैलेख,2432,बालुवाटार,4,3959,"ने..रा.नि.मा.बि. ,आलेगाउँ"
63,Dailekh,दैलेख,2432,बालुवाटार,7,3962,तुल्सी मा.वि. नौफेरी
63,Dailekh,दैलेख,2432,बालुवाटार,6,3962,तुल्सी मा.वि. नौफेरी
63,Dailekh,दैलेख,2432,बालुवाटार,9,3964,"विरेन्द्र प्रा.बि. , निरगा"
63,Dailekh,दैलेख,2432,बालुवाटार,8,3964,"विरेन्द्र प्रा.बि. , निरगा"
63,Dailekh,दैलेख,2430,भवानी,1,3956,"ने.रा.प्रा.वि., डाडागाउँ"
63,Dailekh,दैलेख,2430,भवानी,3,3956,"ने.रा.प्रा.वि., डाडागाउँ"
63,Dailekh,दैलेख,2430,भवानी,2,3956,"ने.रा.प्रा.वि., डाडागाउँ"
63,Dailekh,दैलेख,2430,भवानी,5,3958,हिमालय मा.वि. माझगाउँ
63,Dailekh,दैलेख,2430,भवानी,4,3956,"ने.रा.प्रा.वि., डाडागाउँ"
63,Dailekh,दैलेख,2430,भवानी,7,3958,हिमालय मा.वि. माझगाउँ
63,Dailekh,दैलेख,2430,भवानी,6,3958,हिमालय मा.वि. माझगाउँ
63,Dailekh,दैलेख,2430,भवानी,9,3958,हिमालय मा.वि. माझगाउँ
63,Dailekh,दैलेख,2430,भवानी,8,3958,हिमालय मा.वि. माझगाउँ
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,1,4013,लक्ष्मी नि.मा.बि.
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,3,4013,लक्ष्मी नि.मा.बि.
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,2,4013,लक्ष्मी नि.मा.बि.
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,5,4013,लक्ष्मी नि.मा.बि.
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,4,4013,लक्ष्मी नि.मा.बि.
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,7,4017,ने.रा.नि.मा.वि.रिजुपोखरा
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,6,4017,ने.रा.नि.मा.वि.रिजुपोखरा
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,9,4017,ने.रा.नि.मा.वि.रिजुपोखरा
63,Dailekh,दैलेख,2450,छिउडीपुसाकोट,8,4017,ने.रा.नि.मा.वि.रिजुपोखरा
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,1,4021,गाबिस भवन
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,3,4021,गाबिस भवन
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,2,4021,गाबिस भवन
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,5,4021,गाबिस भवन
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,4,4021,गाबिस भवन
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,7,4025,"ने.रा.प्रा.वि., देउती चौर"
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,6,4025,"ने.रा.प्रा.वि., देउती चौर"
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,9,4025,"ने.रा.प्रा.वि., देउती चौर"
63,Dailekh,दैलेख,2452,नाउलेकटुवाल,8,4025,"ने.रा.प्रा.वि., देउती चौर"
63,Dailekh,दैलेख,2438,मालिका,1,3991,देवी उ.मा.वि. हाडआवत छडुङ्ग
63,Dailekh,दैलेख,2438,मालिका,3,3991,देवी उ.मा.वि. हाडआवत छडुङ्ग
63,Dailekh,दैलेख,2438,मालिका,2,3994,रुमालथान प्रा.वि.
63,Dailekh,दैलेख,2438,मालिका,5,3991,देवी उ.मा.वि. हाडआवत छडुङ्ग
63,Dailekh,दैलेख,2438,मालिका,4,3994,रुमालथान प्रा.वि.
63,Dailekh,दैलेख,2438,मालिका,7,3991,देवी उ.मा.वि. हाडआवत छडुङ्ग
63,Dailekh,दैलेख,2438,मालिका,6,3991,देवी उ.मा.वि. हाडआवत छडुङ्ग
63,Dailekh,दैलेख,2438,मालिका,9,3994,रुमालथान प्रा.वि.
63,Dailekh,दैलेख,2438,मालिका,8,3991,देवी उ.मा.वि. हाडआवत छडुङ्ग
