District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
56,Dang,दाङ,3967,हापुर,1,1804,उ. मा.बि. हापुर  बिजौरी
56,Dang,दाङ,3967,हापुर,3,1804,उ. मा.बि. हापुर  बिजौरी
56,Dang,दाङ,3967,हापुर,2,1804,उ. मा.बि. हापुर  बिजौरी
56,Dang,दाङ,3967,हापुर,5,1808,"उ.मा,बि. निघुवारा"
56,Dang,दाङ,3967,हापुर,4,1804,उ. मा.बि. हापुर  बिजौरी
56,Dang,दाङ,3967,हापुर,7,1806,प्रा.बि. शिवपुर
56,Dang,दाङ,3967,हापुर,6,1806,प्रा.बि. शिवपुर
56,Dang,दाङ,3967,हापुर,9,9816,मा.वि. रत्नपुर
56,Dang,दाङ,3967,हापुर,8,9816,मा.वि. रत्नपुर
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,11,1978,उ.मा.बि. अश्वारा
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,10,1976,सरस्वति मा.बि. दमारगाउँ
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,1,1830,प्रा.बि. रानागाउ
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,3,1832,गुरु जजुर उ.मा.बि. रक्षाचौर
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,2,1832,गुरु जजुर उ.मा.बि. रक्षाचौर
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,5,1836,अरनीको मैदान
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,4,1834,प्रा.बि. श्रीगै
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,7,1969,श्री नि.मा.वि.  प्रतापकोट अम्बास
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,6,1839,मा.वि. तुल्सीपुर सेन्टर तुल्सीपुर
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,9,1973,कृष्ण मन्दिर प्रा.बि. चन्द्रगंज
56,Dang,दाङ,3770,तुल्सीपुर नगरपालिका,8,1973,कृष्ण मन्दिर प्रा.बि. चन्द्रगंज
56,Dang,दाङ,1821,लक्ष्मीपुर,1,1707,मा.बि. झिङनी
56,Dang,दाङ,1821,लक्ष्मीपुर,3,1710,"सरयु नि.मा.बि., भैसकुर्मा"
56,Dang,दाङ,1821,लक्ष्मीपुर,2,1710,"सरयु नि.मा.बि., भैसकुर्मा"
56,Dang,दाङ,1821,लक्ष्मीपुर,5,1723,प्रा.बि. सवारीकोट
56,Dang,दाङ,1821,लक्ष्मीपुर,4,1711,"उ.मा.बि. डाँडागाउँ ,गोग्ली"
56,Dang,दाङ,1821,लक्ष्मीपुर,7,1715,नि.मा.बि. सुनपुर
56,Dang,दाङ,1821,लक्ष्मीपुर,6,1707,मा.बि. झिङनी
56,Dang,दाङ,1821,लक्ष्मीपुर,9,9814,गा.वि.स.भवन लक्ष्मीपुर
56,Dang,दाङ,1821,लक्ष्मीपुर,8,1715,नि.मा.बि. सुनपुर
56,Dang,दाङ,1784,लालमटिया,1,1664,उ.मा.बि. मौरीघाट
56,Dang,दाङ,1784,लालमटिया,3,1658,उपस्वास्थ चौकी भालुवाङ्ग
56,Dang,दाङ,1784,लालमटिया,2,1662,आदर्श उ. मा.बि. लालमटिया पुरानो भवन
56,Dang,दाङ,1784,लालमटिया,5,1664,उ.मा.बि. मौरीघाट
56,Dang,दाङ,1784,लालमटिया,4,1662,आदर्श उ. मा.बि. लालमटिया पुरानो भवन
56,Dang,दाङ,1784,लालमटिया,7,1662,आदर्श उ. मा.बि. लालमटिया पुरानो भवन
56,Dang,दाङ,1784,लालमटिया,6,1664,उ.मा.बि. मौरीघाट
56,Dang,दाङ,1784,लालमटिया,9,1664,उ.मा.बि. मौरीघाट
56,Dang,दाङ,1784,लालमटिया,8,1667,नवज्योती नि.मा.बि. श्रीचौर
56,Dang,दाङ,1787,सिसहनिया,1,1675,सर्वोदय उ.मा.बि. सिसहनिया
56,Dang,दाङ,1787,सिसहनिया,3,1672,शंकर नि.मा.बि. पिपरी
