District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
72,Darchula,दार्चुला,3016,सुनसेरा,1,2591,सिद्ध मा.वि. सिना
72,Darchula,दार्चुला,3016,सुनसेरा,3,2591,सिद्ध मा.वि. सिना
72,Darchula,दार्चुला,3016,सुनसेरा,2,2591,सिद्ध मा.वि. सिना
72,Darchula,दार्चुला,3016,सुनसेरा,5,2597,सम्पाल मा.वि.(प्रा.वि स्तर) सुन्सेरा
72,Darchula,दार्चुला,3016,सुनसेरा,4,2597,सम्पाल मा.वि.(प्रा.वि स्तर) सुन्सेरा
72,Darchula,दार्चुला,3016,सुनसेरा,7,2597,सम्पाल मा.वि.(प्रा.वि स्तर) सुन्सेरा
72,Darchula,दार्चुला,3016,सुनसेरा,6,2597,सम्पाल मा.वि.(प्रा.वि स्तर) सुन्सेरा
72,Darchula,दार्चुला,3016,सुनसेरा,9,2591,सिद्ध मा.वि. सिना
72,Darchula,दार्चुला,3016,सुनसेरा,8,2597,सम्पाल मा.वि.(प्रा.वि स्तर) सुन्सेरा
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,1,2980,लटीनाथ उ.मा.वि. चौपाता
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,3,2980,लटीनाथ उ.मा.वि. चौपाता
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,2,2980,लटीनाथ उ.मा.वि. चौपाता
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,5,2986,मालिकार्जुन मा.वि. तेलीगाउँ
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,4,2986,मालिकार्जुन मा.वि. तेलीगाउँ
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,7,2986,मालिकार्जुन मा.वि. तेलीगाउँ
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,6,2986,मालिकार्जुन मा.वि. तेलीगाउँ
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,9,2992,ऐडीवाग मा.वि.मौखली
72,Darchula,दार्चुला,3125,रिठ्ठाचौपाता,8,2992,ऐडीवाग मा.वि.मौखली
72,Darchula,दार्चुला,3112,शिखर,1,2917,कृष्ण उ.मा.वि. वलाँच
72,Darchula,दार्चुला,3112,शिखर,3,2917,कृष्ण उ.मा.वि. वलाँच
72,Darchula,दार्चुला,3112,शिखर,2,2917,कृष्ण उ.मा.वि. वलाँच
72,Darchula,दार्चुला,3112,शिखर,5,2917,कृष्ण उ.मा.वि. वलाँच
72,Darchula,दार्चुला,3112,शिखर,4,2917,कृष्ण उ.मा.वि. वलाँच
72,Darchula,दार्चुला,3112,शिखर,7,2922,मलिकार्जुन नि.मा.वि.थला
72,Darchula,दार्चुला,3112,शिखर,6,2922,मलिकार्जुन नि.मा.वि.थला
72,Darchula,दार्चुला,3112,शिखर,9,2917,कृष्ण उ.मा.वि. वलाँच
72,Darchula,दार्चुला,3112,शिखर,8,2922,मलिकार्जुन नि.मा.वि.थला
72,Darchula,दार्चुला,3063,लाली,1,2765,कृष्ण उ.मा.वि. लाली
72,Darchula,दार्चुला,3063,लाली,3,2765,कृष्ण उ.मा.वि. लाली
72,Darchula,दार्चुला,3063,लाली,2,2765,कृष्ण उ.मा.वि. लाली
72,Darchula,दार्चुला,3063,लाली,5,2770,गणेश मा.वि. गाणागाँउ
72,Darchula,दार्चुला,3063,लाली,4,2770,गणेश मा.वि. गाणागाँउ
72,Darchula,दार्चुला,3063,लाली,7,2770,गणेश मा.वि. गाणागाँउ
72,Darchula,दार्चुला,3063,लाली,6,2770,गणेश मा.वि. गाणागाँउ
