District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
24,Dhading,धादीङ्ग,1227,गुम्दी,1,8399,"चिमचोक निमावि,चिमचोक"
24,Dhading,धादीङ्ग,1227,गुम्दी,3,8400,"कल्याण निमावि,गुम्दी"
24,Dhading,धादीङ्ग,1227,गुम्दी,2,8399,"चिमचोक निमावि,चिमचोक"
24,Dhading,धादीङ्ग,1227,गुम्दी,5,8401,"तामाङखर्क उ.मा.वि,सातदोबाटो"
24,Dhading,धादीङ्ग,1227,गुम्दी,4,8400,"कल्याण निमावि,गुम्दी"
24,Dhading,धादीङ्ग,1227,गुम्दी,7,8401,"तामाङखर्क उ.मा.वि,सातदोबाटो"
24,Dhading,धादीङ्ग,1227,गुम्दी,6,8401,"तामाङखर्क उ.मा.वि,सातदोबाटो"
24,Dhading,धादीङ्ग,1227,गुम्दी,9,8401,"तामाङखर्क उ.मा.वि,सातदोबाटो"
24,Dhading,धादीङ्ग,1227,गुम्दी,8,8401,"तामाङखर्क उ.मा.वि,सातदोबाटो"
24,Dhading,धादीङ्ग,1226,बुढाथुम,1,8352,"सातथर नि.मा.वि,भोर्ले"
24,Dhading,धादीङ्ग,1226,बुढाथुम,3,8352,"सातथर नि.मा.वि,भोर्ले"
24,Dhading,धादीङ्ग,1226,बुढाथुम,2,8352,"सातथर नि.मा.वि,भोर्ले"
24,Dhading,धादीङ्ग,1226,बुढाथुम,5,8356,"बद्री विशाल उ.मा.वि,सांदपिपल"
24,Dhading,धादीङ्ग,1226,बुढाथुम,4,8356,"बद्री विशाल उ.मा.वि,सांदपिपल"
24,Dhading,धादीङ्ग,1226,बुढाथुम,7,8356,"बद्री विशाल उ.मा.वि,सांदपिपल"
24,Dhading,धादीङ्ग,1226,बुढाथुम,6,8356,"बद्री विशाल उ.मा.वि,सांदपिपल"
24,Dhading,धादीङ्ग,1226,बुढाथुम,9,8356,"बद्री विशाल उ.मा.वि,सांदपिपल"
24,Dhading,धादीङ्ग,1226,बुढाथुम,8,8356,"बद्री विशाल उ.मा.वि,सांदपिपल"
24,Dhading,धादीङ्ग,1225,बसेरी,1,8342,"महालक्ष्मी उ.मा.वि, सानोवसेरी"
24,Dhading,धादीङ्ग,1225,बसेरी,3,8342,"महालक्ष्मी उ.मा.वि, सानोवसेरी"
24,Dhading,धादीङ्ग,1225,बसेरी,2,8342,"महालक्ष्मी उ.मा.वि, सानोवसेरी"
24,Dhading,धादीङ्ग,1225,बसेरी,5,8342,"महालक्ष्मी उ.मा.वि, सानोवसेरी"
24,Dhading,धादीङ्ग,1225,बसेरी,4,8342,"महालक्ष्मी उ.मा.वि, सानोवसेरी"
24,Dhading,धादीङ्ग,1225,बसेरी,7,8348,"शिवालय नि.मा.वि, हटिया"
24,Dhading,धादीङ्ग,1225,बसेरी,6,8348,"शिवालय नि.मा.वि, हटिया"
24,Dhading,धादीङ्ग,1225,बसेरी,9,8348,"शिवालय नि.मा.वि, हटिया"
24,Dhading,धादीङ्ग,1225,बसेरी,8,8348,"शिवालय नि.मा.वि, हटिया"
24,Dhading,धादीङ्ग,1223,सल्यानटार,1,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,3,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,2,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,5,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,4,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,7,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,6,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,9,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1223,सल्यानटार,8,8406,"गाविस भवन,वेलगाउँ"
24,Dhading,धादीङ्ग,1221,धुवाकोट,1,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1221,धुवाकोट,3,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1221,धुवाकोट,2,8449,"जनकल्याण प्रावि,चिन्नेखर्क"
24,Dhading,धादीङ्ग,1221,धुवाकोट,5,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1221,धुवाकोट,4,8449,"जनकल्याण प्रावि,चिन्नेखर्क"
24,Dhading,धादीङ्ग,1221,धुवाकोट,7,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1221,धुवाकोट,6,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1221,धुवाकोट,9,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1221,धुवाकोट,8,8451,"सरस्वती उ.मा.वि,भगेंरी"
24,Dhading,धादीङ्ग,1263,नलाङ,1,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,3,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,2,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,5,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,4,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,7,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,6,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,9,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1263,नलाङ,8,8550,"सिद्धेश्वर उ.मा.वि,ठांटी भन्ज्याङ"
24,Dhading,धादीङ्ग,1261,कुम्पुर,1,8553,"कुम्पुर प्रावि,कुम्पुर भन्ज्याङ"
24,Dhading,धादीङ्ग,1261,कुम्पुर,3,8555,गाविस भवन
24,Dhading,धादीङ्ग,1261,कुम्पुर,2,8553,"कुम्पुर प्रावि,कुम्पुर भन्ज्याङ"
24,Dhading,धादीङ्ग,1261,कुम्पुर,5,8556,जालपा निमावि
24,Dhading,धादीङ्ग,1261,कुम्पुर,4,8555,गाविस भवन
24,Dhading,धादीङ्ग,1261,कुम्पुर,7,8556,जालपा निमावि
24,Dhading,धादीङ्ग,1261,कुम्पुर,6,8556,जालपा निमावि
24,Dhading,धादीङ्ग,1261,कुम्पुर,9,8553,"कुम्पुर प्रावि,कुम्पुर भन्ज्याङ"
24,Dhading,धादीङ्ग,1261,कुम्पुर,8,8553,"कुम्पुर प्रावि,कुम्पुर भन्ज्याङ"
24,Dhading,धादीङ्ग,1260,खाल्टे,1,8533,पन्चकन्या मावि
24,Dhading,धादीङ्ग,1260,खाल्टे,3,8533,पन्चकन्या मावि
24,Dhading,धादीङ्ग,1260,खाल्टे,2,8533,पन्चकन्या मावि
24,Dhading,धादीङ्ग,1260,खाल्टे,5,8533,पन्चकन्या मावि
24,Dhading,धादीङ्ग,1260,खाल्टे,4,8533,पन्चकन्या मावि
24,Dhading,धादीङ्ग,1260,खाल्टे,7,8538,"महेन्द्रोदय नि.मा.वि,डांडावास"
24,Dhading,धादीङ्ग,1260,खाल्टे,6,8533,पन्चकन्या मावि
24,Dhading,धादीङ्ग,1260,खाल्टे,9,8538,"महेन्द्रोदय नि.मा.वि,डांडावास"
24,Dhading,धादीङ्ग,1260,खाल्टे,8,8538,"महेन्द्रोदय नि.मा.वि,डांडावास"
24,Dhading,धादीङ्ग,1267,केवलपुर,1,8569,"ज्योति उ.मा.वि,पण्डीत"
24,Dhading,धादीङ्ग,1267,केवलपुर,3,8571,केवलपुर हरिहर भोजकुमारी नि.मा.वि
24,Dhading,धादीङ्ग,1267,केवलपुर,2,8569,"ज्योति उ.मा.वि,पण्डीत"
24,Dhading,धादीङ्ग,1267,केवलपुर,5,8571,केवलपुर हरिहर भोजकुमारी नि.मा.वि
24,Dhading,धादीङ्ग,1267,केवलपुर,4,8571,केवलपुर हरिहर भोजकुमारी नि.मा.वि
24,Dhading,धादीङ्ग,1267,केवलपुर,7,8569,"ज्योति उ.मा.वि,पण्डीत"
24,Dhading,धादीङ्ग,1267,केवलपुर,6,8571,केवलपुर हरिहर भोजकुमारी नि.मा.वि
24,Dhading,धादीङ्ग,1267,केवलपुर,9,8569,"ज्योति उ.मा.वि,पण्डीत"
24,Dhading,धादीङ्ग,1267,केवलपुर,8,8569,"ज्योति उ.मा.वि,पण्डीत"
24,Dhading,धादीङ्ग,1269,वेनीघाट,1,8597,वागेश्वरी उ.मा.वि
24,Dhading,धादीङ्ग,1269,वेनीघाट,3,8600,"कालिका नि.मा.वि,मोहरिया"
24,Dhading,धादीङ्ग,1269,वेनीघाट,2,8597,वागेश्वरी उ.मा.वि
24,Dhading,धादीङ्ग,1269,वेनीघाट,5,8600,"कालिका नि.मा.वि,मोहरिया"
24,Dhading,धादीङ्ग,1269,वेनीघाट,4,8600,"कालिका नि.मा.वि,मोहरिया"
24,Dhading,धादीङ्ग,1269,वेनीघाट,7,8602,गाविस भवन
24,Dhading,धादीङ्ग,1269,वेनीघाट,6,8600,"कालिका नि.मा.वि,मोहरिया"
24,Dhading,धादीङ्ग,1269,वेनीघाट,9,8602,गाविस भवन
24,Dhading,धादीङ्ग,1269,वेनीघाट,8,8602,गाविस भवन
24,Dhading,धादीङ्ग,1229,मुलपानी,1,8361,"महेन्द्रोदय मा.वि,मुलावारी"
24,Dhading,धादीङ्ग,1229,मुलपानी,3,8361,"महेन्द्रोदय मा.वि,मुलावारी"
24,Dhading,धादीङ्ग,1229,मुलपानी,2,8361,"महेन्द्रोदय मा.वि,मुलावारी"
24,Dhading,धादीङ्ग,1229,मुलपानी,5,8361,"महेन्द्रोदय मा.वि,मुलावारी"
24,Dhading,धादीङ्ग,1229,मुलपानी,4,8361,"महेन्द्रोदय मा.वि,मुलावारी"
24,Dhading,धादीङ्ग,1229,मुलपानी,7,8364,"महेन्द्रोदय उ.मा.वि,पोखरे"
24,Dhading,धादीङ्ग,1229,मुलपानी,6,8364,"महेन्द्रोदय उ.मा.वि,पोखरे"
24,Dhading,धादीङ्ग,1229,मुलपानी,9,8364,"महेन्द्रोदय उ.मा.वि,पोखरे"
24,Dhading,धादीङ्ग,1229,मुलपानी,8,8364,"महेन्द्रोदय उ.मा.वि,पोखरे"
24,Dhading,धादीङ्ग,1216,मार्पाक,1,8432,"निरन्जना उ.मा.वि,मिलनबजार"
24,Dhading,धादीङ्ग,1216,मार्पाक,3,8438,निमाचौक निमावि
24,Dhading,धादीङ्ग,1216,मार्पाक,2,8432,"निरन्जना उ.मा.वि,मिलनबजार"
24,Dhading,धादीङ्ग,1216,मार्पाक,5,8438,निमाचौक निमावि
24,Dhading,धादीङ्ग,1216,मार्पाक,4,8432,"निरन्जना उ.मा.वि,मिलनबजार"
24,Dhading,धादीङ्ग,1216,मार्पाक,7,8438,निमाचौक निमावि
24,Dhading,धादीङ्ग,1216,मार्पाक,6,8438,निमाचौक निमावि
24,Dhading,धादीङ्ग,1216,मार्पाक,9,8432,"निरन्जना उ.मा.वि,मिलनबजार"
24,Dhading,धादीङ्ग,1216,मार्पाक,8,8432,"निरन्जना उ.मा.वि,मिलनबजार"
24,Dhading,धादीङ्ग,1232,सल्यानकोट,1,8409,त्रिपुरा सुन्दरी उ.मा.वि कठेरी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,3,8409,त्रिपुरा सुन्दरी उ.मा.वि कठेरी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,2,8409,त्रिपुरा सुन्दरी उ.मा.वि कठेरी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,5,8410,सल्यानकोट उपस्वास्थय चौकी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,4,8409,त्रिपुरा सुन्दरी उ.मा.वि कठेरी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,7,8410,सल्यानकोट उपस्वास्थय चौकी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,6,8410,सल्यानकोट उपस्वास्थय चौकी
24,Dhading,धादीङ्ग,1232,सल्यानकोट,9,8411,नेत्रवती प्रावि छापथोक
24,Dhading,धादीङ्ग,1232,सल्यानकोट,8,8411,नेत्रवती प्रावि छापथोक
24,Dhading,धादीङ्ग,1215,कटुन्जे,1,8443,कुण्डला उ.मा.वि
24,Dhading,धादीङ्ग,1215,कटुन्जे,3,8443,कुण्डला उ.मा.वि
24,Dhading,धादीङ्ग,1215,कटुन्जे,2,8443,कुण्डला उ.मा.वि
24,Dhading,धादीङ्ग,1215,कटुन्जे,5,8448,कटुन्जे हेल्थपोष्ट
24,Dhading,धादीङ्ग,1215,कटुन्जे,4,8443,कुण्डला उ.मा.वि
24,Dhading,धादीङ्ग,1215,कटुन्जे,7,8448,कटुन्जे हेल्थपोष्ट
24,Dhading,धादीङ्ग,1215,कटुन्जे,6,8448,कटुन्जे हेल्थपोष्ट
24,Dhading,धादीङ्ग,1215,कटुन्जे,9,8448,कटुन्जे हेल्थपोष्ट
24,Dhading,धादीङ्ग,1215,कटुन्जे,8,8448,कटुन्जे हेल्थपोष्ट
24,Dhading,धादीङ्ग,1256,चैनपुर,1,8456,"स्थानपित प्रावि,माथिल्लो रामपुर"
24,Dhading,धादीङ्ग,1256,चैनपुर,3,8456,"स्थानपित प्रावि,माथिल्लो रामपुर"
24,Dhading,धादीङ्ग,1256,चैनपुर,2,8456,"स्थानपित प्रावि,माथिल्लो रामपुर"
24,Dhading,धादीङ्ग,1256,चैनपुर,5,8459,"सालवास नि.मा.वि,सालवास"
24,Dhading,धादीङ्ग,1256,चैनपुर,4,8459,"सालवास नि.मा.वि,सालवास"
24,Dhading,धादीङ्ग,1256,चैनपुर,7,8462,"सुनखानी मा.वि,सुनखानी"
24,Dhading,धादीङ्ग,1256,चैनपुर,6,8459,"सालवास नि.मा.वि,सालवास"
24,Dhading,धादीङ्ग,1256,चैनपुर,9,8462,"सुनखानी मा.वि,सुनखानी"
24,Dhading,धादीङ्ग,1256,चैनपुर,8,8462,"सुनखानी मा.वि,सुनखानी"
24,Dhading,धादीङ्ग,1254,सलाङ,1,8542,"अकलादेवी मावि,कमलावारी"
24,Dhading,धादीङ्ग,1254,सलाङ,3,8542,"अकलादेवी मावि,कमलावारी"
24,Dhading,धादीङ्ग,1254,सलाङ,2,8542,"अकलादेवी मावि,कमलावारी"
24,Dhading,धादीङ्ग,1254,सलाङ,5,8542,"अकलादेवी मावि,कमलावारी"
24,Dhading,धादीङ्ग,1254,सलाङ,4,8542,"अकलादेवी मावि,कमलावारी"
24,Dhading,धादीङ्ग,1254,सलाङ,7,8545,कालीदेवी मा.वि
24,Dhading,धादीङ्ग,1254,सलाङ,6,8542,"अकलादेवी मावि,कमलावारी"
24,Dhading,धादीङ्ग,1254,सलाङ,9,8545,कालीदेवी मा.वि
24,Dhading,धादीङ्ग,1254,सलाङ,8,8545,कालीदेवी मा.वि
24,Dhading,धादीङ्ग,1255,गोगनपानी,1,8564,गोगनपानी मा.वि
24,Dhading,धादीङ्ग,1255,गोगनपानी,3,8564,गोगनपानी मा.वि
24,Dhading,धादीङ्ग,1255,गोगनपानी,2,8564,गोगनपानी मा.वि
24,Dhading,धादीङ्ग,1255,गोगनपानी,5,8566,"वागवच्छला प्रावि,मान्खु"
24,Dhading,धादीङ्ग,1255,गोगनपानी,4,8564,गोगनपानी मा.वि
24,Dhading,धादीङ्ग,1255,गोगनपानी,7,8566,"वागवच्छला प्रावि,मान्खु"
24,Dhading,धादीङ्ग,1255,गोगनपानी,6,8566,"वागवच्छला प्रावि,मान्खु"
24,Dhading,धादीङ्ग,1255,गोगनपानी,9,8564,गोगनपानी मा.वि
24,Dhading,धादीङ्ग,1255,गोगनपानी,8,8566,"वागवच्छला प्रावि,मान्खु"
24,Dhading,धादीङ्ग,1238,रि,1,8332,"पासाङचोक महादेव मा.वि,तावल"
24,Dhading,धादीङ्ग,1238,रि,3,8332,"पासाङचोक महादेव मा.वि,तावल"
24,Dhading,धादीङ्ग,1238,रि,2,8332,"पासाङचोक महादेव मा.वि,तावल"
24,Dhading,धादीङ्ग,1238,रि,5,8334,"सितलादेवी प्रावि,ताजीम्राङ"
24,Dhading,धादीङ्ग,1238,रि,4,8332,"पासाङचोक महादेव मा.वि,तावल"
24,Dhading,धादीङ्ग,1238,रि,7,8334,"सितलादेवी प्रावि,ताजीम्राङ"
24,Dhading,धादीङ्ग,1238,रि,6,8332,"पासाङचोक महादेव मा.वि,तावल"
24,Dhading,धादीङ्ग,1238,रि,9,8334,"सितलादेवी प्रावि,ताजीम्राङ"
24,Dhading,धादीङ्ग,1238,रि,8,8332,"पासाङचोक महादेव मा.वि,तावल"
24,Dhading,धादीङ्ग,1250,निलकण्ठ,1,8515,"निलकण्ठ उमावि,धादिङवेसी"
24,Dhading,धादीङ्ग,1250,निलकण्ठ,3,8518,सोह्रघर प्रा.वि. ओलीडाडा
24,Dhading,धादीङ्ग,1250,निलकण्ठ,2,8515,"निलकण्ठ उमावि,धादिङवेसी"
24,Dhading,धादीङ्ग,1250,निलकण्ठ,5,8515,"निलकण्ठ उमावि,धादिङवेसी"
24,Dhading,धादीङ्ग,1250,निलकण्ठ,4,8518,सोह्रघर प्रा.वि. ओलीडाडा
24,Dhading,धादीङ्ग,1250,निलकण्ठ,7,8518,सोह्रघर प्रा.वि. ओलीडाडा
24,Dhading,धादीङ्ग,1250,निलकण्ठ,6,8515,"निलकण्ठ उमावि,धादिङवेसी"
24,Dhading,धादीङ्ग,1250,निलकण्ठ,9,8518,सोह्रघर प्रा.वि. ओलीडाडा
24,Dhading,धादीङ्ग,1250,निलकण्ठ,8,8518,सोह्रघर प्रा.वि. ओलीडाडा
24,Dhading,धादीङ्ग,1252,साङकोष,1,8508,"सांकोष उ.मा.वि,पांचघरे"
24,Dhading,धादीङ्ग,1252,साङकोष,3,8508,"सांकोष उ.मा.वि,पांचघरे"
24,Dhading,धादीङ्ग,1252,साङकोष,2,8508,"सांकोष उ.मा.वि,पांचघरे"
24,Dhading,धादीङ्ग,1252,साङकोष,5,8508,"सांकोष उ.मा.वि,पांचघरे"
24,Dhading,धादीङ्ग,1252,साङकोष,4,8508,"सांकोष उ.मा.वि,पांचघरे"
24,Dhading,धादीङ्ग,1252,साङकोष,7,8512,"पन्चकन्या मा.वि,मधुवन"
24,Dhading,धादीङ्ग,1252,साङकोष,6,8508,"सांकोष उ.मा.वि,पांचघरे"
24,Dhading,धादीङ्ग,1252,साङकोष,9,8512,"पन्चकन्या मा.वि,मधुवन"
24,Dhading,धादीङ्ग,1252,साङकोष,8,8512,"पन्चकन्या मा.वि,मधुवन"
24,Dhading,धादीङ्ग,1291,थाक्रे,1,8647,महाकालेश्‍वरी मा.वि
24,Dhading,धादीङ्ग,1291,थाक्रे,3,8648,"वाराही प्रावि,खनियाखर्क"
24,Dhading,धादीङ्ग,1291,थाक्रे,2,8647,महाकालेश्‍वरी मा.वि
24,Dhading,धादीङ्ग,1291,थाक्रे,5,8648,"वाराही प्रावि,खनियाखर्क"
24,Dhading,धादीङ्ग,1291,थाक्रे,4,8648,"वाराही प्रावि,खनियाखर्क"
24,Dhading,धादीङ्ग,1291,थाक्रे,7,8649,"कालिकास्थान मावि, दाप्सेचौर"
24,Dhading,धादीङ्ग,1291,थाक्रे,6,8649,"कालिकास्थान मावि, दाप्सेचौर"
24,Dhading,धादीङ्ग,1291,थाक्रे,9,8647,महाकालेश्‍वरी मा.वि
24,Dhading,धादीङ्ग,1291,थाक्रे,8,8649,"कालिकास्थान मावि, दाप्सेचौर"
24,Dhading,धादीङ्ग,1218,सेमजोङ,1,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,3,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,2,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,5,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,4,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,7,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,6,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,9,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1218,सेमजोङ,8,8441,"चौतारा मावि,चौतारा"
24,Dhading,धादीङ्ग,1258,कल्लेरी,1,8557,"सरस्वती मावि,डुम्रीचौर"
24,Dhading,धादीङ्ग,1258,कल्लेरी,3,8557,"सरस्वती मावि,डुम्रीचौर"
24,Dhading,धादीङ्ग,1258,कल्लेरी,2,8557,"सरस्वती मावि,डुम्रीचौर"
24,Dhading,धादीङ्ग,1258,कल्लेरी,5,8558,"कल्लेरी मा.वि,मैदान"
24,Dhading,धादीङ्ग,1258,कल्लेरी,4,8558,"कल्लेरी मा.वि,मैदान"
24,Dhading,धादीङ्ग,1258,कल्लेरी,7,8558,"कल्लेरी मा.वि,मैदान"
24,Dhading,धादीङ्ग,1258,कल्लेरी,6,8558,"कल्लेरी मा.वि,मैदान"
24,Dhading,धादीङ्ग,1258,कल्लेरी,9,8561,"पन्चकन्या प्रावि,आमाडांडा"
24,Dhading,धादीङ्ग,1258,कल्लेरी,8,8561,"पन्चकन्या प्रावि,आमाडांडा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,1,8336,"सिंगालादेवी मा.वि, च्यामथली"
24,Dhading,धादीङ्ग,1234,झार्लाङ,3,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,2,8336,"सिंगालादेवी मा.वि, च्यामथली"
24,Dhading,धादीङ्ग,1234,झार्लाङ,5,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,4,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,7,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,6,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,9,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1234,झार्लाङ,8,8338,"वेन्दीदेवी नि.मा.वि,युवा"
24,Dhading,धादीङ्ग,1279,गजुरी,1,8604,"आदर्श उमावि,गजुरी"
24,Dhading,धादीङ्ग,1279,गजुरी,3,8606,"महेन्द्रोदय मावि,राक्सीङ"
24,Dhading,धादीङ्ग,1279,गजुरी,2,8604,"आदर्श उमावि,गजुरी"
24,Dhading,धादीङ्ग,1279,गजुरी,5,8606,"महेन्द्रोदय मावि,राक्सीङ"
24,Dhading,धादीङ्ग,1279,गजुरी,4,8609,कन्या प्रावि
24,Dhading,धादीङ्ग,1279,गजुरी,7,8606,"महेन्द्रोदय मावि,राक्सीङ"
24,Dhading,धादीङ्ग,1279,गजुरी,6,8606,"महेन्द्रोदय मावि,राक्सीङ"
24,Dhading,धादीङ्ग,1279,गजुरी,9,8606,"महेन्द्रोदय मावि,राक्सीङ"
24,Dhading,धादीङ्ग,1279,गजुरी,8,8609,कन्या प्रावि
