District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,1,4453,गा.वि.स. भवन
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,3,4461,"सरस्वती नि मा .वि., अर्खौले"
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,2,4461,"सरस्वती नि मा .वि., अर्खौले"
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,5,4453,गा.वि.स. भवन
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,4,4461,"सरस्वती नि मा .वि., अर्खौले"
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,7,4466,"सरस्वती प्रा.वि., ढोडे हिकिचुङ"
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,6,4457,"अन्नपुर्ण मा.वि., आन्द्रुङ"
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,9,4466,"सरस्वती प्रा.वि., ढोडे हिकिचुङ"
8,Dhankuta,धनकुटा,215,अर्खोले जितपुर,8,4466,"सरस्वती प्रा.वि., ढोडे हिकिचुङ"
8,Dhankuta,धनकुटा,198,आँखिसल्ला,1,4354,"टप्पुदेवी उ.मा.वि., चाम्चा"
8,Dhankuta,धनकुटा,198,आँखिसल्ला,3,4358,गा.वि.स. भवन
8,Dhankuta,धनकुटा,198,आँखिसल्ला,2,4357,"सिद्धदेवी मा.वि., साप्तिङटार"
8,Dhankuta,धनकुटा,198,आँखिसल्ला,5,4358,गा.वि.स. भवन
8,Dhankuta,धनकुटा,198,आँखिसल्ला,4,4358,गा.वि.स. भवन
8,Dhankuta,धनकुटा,198,आँखिसल्ला,7,4358,गा.वि.स. भवन
8,Dhankuta,धनकुटा,198,आँखिसल्ला,6,4358,गा.वि.स. भवन
8,Dhankuta,धनकुटा,198,आँखिसल्ला,9,4354,"टप्पुदेवी उ.मा.वि., चाम्चा"
8,Dhankuta,धनकुटा,198,आँखिसल्ला,8,4358,गा.वि.स. भवन
8,Dhankuta,धनकुटा,210,हात्तिखर्क,1,4445,भारती उ.मा.वि. पञ्चमी
8,Dhankuta,धनकुटा,210,हात्तिखर्क,3,4448,"शारदा मा.वि., हात्तिखर्क बोझेनी"
8,Dhankuta,धनकुटा,210,हात्तिखर्क,2,4448,"शारदा मा.वि., हात्तिखर्क बोझेनी"
8,Dhankuta,धनकुटा,210,हात्तिखर्क,5,4445,भारती उ.मा.वि. पञ्चमी
8,Dhankuta,धनकुटा,210,हात्तिखर्क,4,4448,"शारदा मा.वि., हात्तिखर्क बोझेनी"
8,Dhankuta,धनकुटा,210,हात्तिखर्क,7,4451,"ग्रामीण परिवार कल्याण संघ, सल्ले"
8,Dhankuta,धनकुटा,210,हात्तिखर्क,6,4445,भारती उ.मा.वि. पञ्चमी
8,Dhankuta,धनकुटा,210,हात्तिखर्क,9,4451,"ग्रामीण परिवार कल्याण संघ, सल्ले"
8,Dhankuta,धनकुटा,210,हात्तिखर्क,8,4451,"ग्रामीण परिवार कल्याण संघ, सल्ले"
8,Dhankuta,धनकुटा,195,मुढेवास,1,4333,"मुढेवास मा.वि., सारुगाउँ"
8,Dhankuta,धनकुटा,195,मुढेवास,3,4333,"मुढेवास मा.वि., सारुगाउँ"
8,Dhankuta,धनकुटा,195,मुढेवास,2,4333,"मुढेवास मा.वि., सारुगाउँ"
8,Dhankuta,धनकुटा,195,मुढेवास,5,4340,"गा.वि.स. भवन, टोक्रोम्वा"
8,Dhankuta,धनकुटा,195,मुढेवास,4,4340,"गा.वि.स. भवन, टोक्रोम्वा"
8,Dhankuta,धनकुटा,195,मुढेवास,7,4340,"गा.वि.स. भवन, टोक्रोम्वा"
8,Dhankuta,धनकुटा,195,मुढेवास,6,4337,"धारापानी नि मा वि., सिन्धार"
8,Dhankuta,धनकुटा,195,मुढेवास,9,4340,"गा.वि.स. भवन, टोक्रोम्वा"
8,Dhankuta,धनकुटा,195,मुढेवास,8,4337,"धारापानी नि मा वि., सिन्धार"
8,Dhankuta,धनकुटा,197,छिन्ताङ,1,4343,"जालपादेवी नि.मा.वि., मुलगाउँ"
8,Dhankuta,धनकुटा,197,छिन्ताङ,3,4343,"जालपादेवी नि.मा.वि., मुलगाउँ"
8,Dhankuta,धनकुटा,197,छिन्ताङ,2,4343,"जालपादेवी नि.मा.वि., मुलगाउँ"
8,Dhankuta,धनकुटा,197,छिन्ताङ,5,4345,"छिन्ताङ उ.मा.वि., साम्वुगाउँ"
8,Dhankuta,धनकुटा,197,छिन्ताङ,4,4353,च्याव्रुङडांडा चौतारो
8,Dhankuta,धनकुटा,197,छिन्ताङ,7,4349,"जनसेवा प्रा.वि. ललहनीटार, छिन्ताङ"
8,Dhankuta,धनकुटा,197,छिन्ताङ,6,4345,"छिन्ताङ उ.मा.वि., साम्वुगाउँ"
8,Dhankuta,धनकुटा,197,छिन्ताङ,9,4350,"आदर्श उ.मा.वि., सफाइधाप"
8,Dhankuta,धनकुटा,197,छिन्ताङ,8,4346,"संविधानसभा चौतारो, देउराली"
8,Dhankuta,धनकुटा,242,महाभारत,1,4175,"गोलखाडी मा.वि., गोलखाडी"
8,Dhankuta,धनकुटा,242,महाभारत,3,4175,"गोलखाडी मा.वि., गोलखाडी"
8,Dhankuta,धनकुटा,242,महाभारत,2,4175,"गोलखाडी मा.वि., गोलखाडी"
8,Dhankuta,धनकुटा,242,महाभारत,5,4180,"गा.वि.स. भवन, केरावारी"
8,Dhankuta,धनकुटा,242,महाभारत,4,4175,"गोलखाडी मा.वि., गोलखाडी"
8,Dhankuta,धनकुटा,242,महाभारत,7,4180,"गा.वि.स. भवन, केरावारी"
8,Dhankuta,धनकुटा,242,महाभारत,6,4180,"गा.वि.स. भवन, केरावारी"
8,Dhankuta,धनकुटा,242,महाभारत,9,4179,"लक्ष्मी मा.वि., माहाभारत खुँडी"
8,Dhankuta,धनकुटा,242,महाभारत,8,4179,"लक्ष्मी मा.वि., माहाभारत खुँडी"
8,Dhankuta,धनकुटा,190,बुधवारे,1,4238,शारदा उ.मा.वि.
8,Dhankuta,धनकुटा,190,बुधवारे,3,4238,शारदा उ.मा.वि.
8,Dhankuta,धनकुटा,190,बुधवारे,2,4238,शारदा उ.मा.वि.
8,Dhankuta,धनकुटा,190,बुधवारे,5,4238,शारदा उ.मा.वि.
8,Dhankuta,धनकुटा,190,बुधवारे,4,4238,शारदा उ.मा.वि.
8,Dhankuta,धनकुटा,190,बुधवारे,7,4246,"जनता प्रा.वि., ठुलो मुक्तरा छ नं‍. बुधबारे"
8,Dhankuta,धनकुटा,190,बुधवारे,6,4246,"जनता प्रा.वि., ठुलो मुक्तरा छ नं‍. बुधबारे"
8,Dhankuta,धनकुटा,190,बुधवारे,9,4246,"जनता प्रा.वि., ठुलो मुक्तरा छ नं‍. बुधबारे"
8,Dhankuta,धनकुटा,190,बुधवारे,8,4246,"जनता प्रा.वि., ठुलो मुक्तरा छ नं‍. बुधबारे"
