District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
20,Dhanusa,धनुषा,1141,धनौजी,1,3805,"गंगा राप्रावि,तरही"
20,Dhanusa,धनुषा,1141,धनौजी,3,3805,"गंगा राप्रावि,तरही"
20,Dhanusa,धनुषा,1141,धनौजी,2,3805,"गंगा राप्रावि,तरही"
20,Dhanusa,धनुषा,1141,धनौजी,5,3811,"शंकर मावि,धनौजी"
20,Dhanusa,धनुषा,1141,धनौजी,4,3807,राप्रावि मडरिया
20,Dhanusa,धनुषा,1141,धनौजी,7,3811,"शंकर मावि,धनौजी"
20,Dhanusa,धनुषा,1141,धनौजी,6,3811,"शंकर मावि,धनौजी"
20,Dhanusa,धनुषा,1141,धनौजी,9,3817,"राप्रावि,गौरदाहा"
20,Dhanusa,धनुषा,1141,धनौजी,8,3817,"राप्रावि,गौरदाहा"
20,Dhanusa,धनुषा,1147,दुहवी,1,3619,"गाविस भवन,दुहवी"
20,Dhanusa,धनुषा,1147,दुहवी,3,3619,"गाविस भवन,दुहवी"
20,Dhanusa,धनुषा,1147,दुहवी,2,3619,"गाविस भवन,दुहवी"
20,Dhanusa,धनुषा,1147,दुहवी,5,3622,"श‌ंकर जनता उ.मा.वि,गोबराही"
20,Dhanusa,धनुषा,1147,दुहवी,4,3622,"श‌ंकर जनता उ.मा.वि,गोबराही"
20,Dhanusa,धनुषा,1147,दुहवी,7,3625,"रा.प्रा.वि,करमाही"
20,Dhanusa,धनुषा,1147,दुहवी,6,3622,"श‌ंकर जनता उ.मा.वि,गोबराही"
20,Dhanusa,धनुषा,1147,दुहवी,9,3625,"रा.प्रा.वि,करमाही"
20,Dhanusa,धनुषा,1147,दुहवी,8,3625,"रा.प्रा.वि,करमाही"
20,Dhanusa,धनुषा,1144,ईटहर्वा,1,3822,"शिवशंकर राप्रावि,इटहर्वा"
20,Dhanusa,धनुषा,1144,ईटहर्वा,3,3822,"शिवशंकर राप्रावि,इटहर्वा"
20,Dhanusa,धनुषा,1144,ईटहर्वा,2,3822,"शिवशंकर राप्रावि,इटहर्वा"
20,Dhanusa,धनुषा,1144,ईटहर्वा,5,3822,"शिवशंकर राप्रावि,इटहर्वा"
