District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,11,838,कुप्रि डाँडा नि‍.मा.वि
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,10,816,महाकाल प्रा.वि चोथाङ
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,13,847,साखिने नि.मा.वि
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,12,843,कुटिडाँडा उ.मा.वि मुकुन्थली
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,1,638,कालिञ्चोक उ.मा.वि
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,3,640,त्रिपुरासुन्दरी नि.मा.‍वि राम्‍पा
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,2,639,भिम उ.मा.वि दोलखा
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,5,765,सर्व मा.वि
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,4,641,फुलपा नि.मा.‍वि फुलपा
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,7,787,"सेतिदेवी प्रा‍.वि बगैचा,जिलु"
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,6,778,बुढा भिमसेन मावि धरमधर
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,9,798,विसुनटोल नि.मा.वि विसुनटोल
17,Dolkha,दोलखा,3610,भिमेश्वर नगरपालिका,8,793,महेन्द्रोदय उ.मा.वि माटी
17,Dolkha,दोलखा,514,लाकुरीडाँडा,1,898,गाविस भवन
17,Dolkha,दोलखा,514,लाकुरीडाँडा,3,898,गाविस भवन
17,Dolkha,दोलखा,514,लाकुरीडाँडा,2,898,गाविस भवन
17,Dolkha,दोलखा,514,लाकुरीडाँडा,5,898,गाविस भवन
17,Dolkha,दोलखा,514,लाकुरीडाँडा,4,898,गाविस भवन
17,Dolkha,दोलखा,514,लाकुरीडाँडा,7,918,सुर्के उ.मा.वि खरिढुङ्गा
17,Dolkha,दोलखा,514,लाकुरीडाँडा,6,898,गाविस भवन
17,Dolkha,दोलखा,514,लाकुरीडाँडा,9,918,सुर्के उ.मा.वि खरिढुङ्गा
17,Dolkha,दोलखा,514,लाकुरीडाँडा,8,918,सुर्के उ.मा.वि खरिढुङ्गा
17,Dolkha,दोलखा,559,ओराङ,1,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,3,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,2,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,5,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,4,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,7,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,6,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,9,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,559,ओराङ,8,1099,गाविस भवन वराङडाँडा
17,Dolkha,दोलखा,558,फस्कु,1,1092,सागुते मा.वि कालापानी
17,Dolkha,दोलखा,558,फस्कु,3,1092,सागुते मा.वि कालापानी
17,Dolkha,दोलखा,558,फस्कु,2,1092,सागुते मा.वि कालापानी
17,Dolkha,दोलखा,558,फस्कु,5,1095,कालिका उ.मा.वि दार्खा
17,Dolkha,दोलखा,558,फस्कु,4,1095,कालिका उ.मा.वि दार्खा
17,Dolkha,दोलखा,558,फस्कु,7,1095,कालिका उ.मा.वि दार्खा
17,Dolkha,दोलखा,558,फस्कु,6,1095,कालिका उ.मा.वि दार्खा
17,Dolkha,दोलखा,558,फस्कु,9,1095,कालिका उ.मा.वि दार्खा
17,Dolkha,दोलखा,558,फस्कु,8,1095,कालिका उ.मा.वि दार्खा
17,Dolkha,दोलखा,423,मिर्गे,1,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,3,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,2,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,5,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,4,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,7,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,6,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,9,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,423,मिर्गे,8,220,कालिढुङ्गा उ.मा.वि मजुवा
17,Dolkha,दोलखा,556,भुषाफदा,1,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,3,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,2,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,5,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,4,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,7,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,6,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,9,1088,गाविस भवन
17,Dolkha,दोलखा,556,भुषाफदा,8,1088,गाविस भवन
17,Dolkha,दोलखा,550,काटाकुटी,1,1070,कालिभुमे मा.वि वोत्ले
17,Dolkha,दोलखा,550,काटाकुटी,3,1073,विरेन्द्र उ.मा.वि
17,Dolkha,दोलखा,550,काटाकुटी,2,1070,कालिभुमे मा.वि वोत्ले
17,Dolkha,दोलखा,550,काटाकुटी,5,1073,विरेन्द्र उ.मा.वि
17,Dolkha,दोलखा,550,काटाकुटी,4,1073,विरेन्द्र उ.मा.वि
17,Dolkha,दोलखा,550,काटाकुटी,7,1073,विरेन्द्र उ.मा.वि
17,Dolkha,दोलखा,550,काटाकुटी,6,1073,विरेन्द्र उ.मा.वि
17,Dolkha,दोलखा,550,काटाकुटी,9,1070,कालिभुमे मा.वि वोत्ले
17,Dolkha,दोलखा,550,काटाकुटी,8,1070,कालिभुमे मा.वि वोत्ले
17,Dolkha,दोलखा,553,मागापौवा,1,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,3,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,2,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,5,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,4,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,7,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,6,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,9,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,553,मागापौवा,8,1079,"मागपौवा नि.मा.वि,पौवाडाँडा"
17,Dolkha,दोलखा,498,डाँडाखर्क,1,610,डाँडाखर्क मा.वि. भवन
17,Dolkha,दोलखा,498,डाँडाखर्क,3,610,डाँडाखर्क मा.वि. भवन
