District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,1,2099,धर्मशाला चौर
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,3,2099,धर्मशाला चौर
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,2,2099,धर्मशाला चौर
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,5,2103,ज्योती प्रा.बि. रुम
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,4,2103,ज्योती प्रा.बि. रुम
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,7,2103,ज्योती प्रा.बि. रुम
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,6,2103,ज्योती प्रा.बि. रुम
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,9,2099,धर्मशाला चौर
57,Dolpa,डोल्पा,1887,त्रिपुराकोट,8,2103,ज्योती प्रा.बि. रुम
57,Dolpa,डोल्पा,1898,रिमी,1,2164,ज्ञानोदय प्रा.बि. लोहारवाडा
57,Dolpa,डोल्पा,1898,रिमी,3,2164,ज्ञानोदय प्रा.बि. लोहारवाडा
57,Dolpa,डोल्पा,1898,रिमी,2,2164,ज्ञानोदय प्रा.बि. लोहारवाडा
57,Dolpa,डोल्पा,1898,रिमी,5,2164,ज्ञानोदय प्रा.बि. लोहारवाडा
57,Dolpa,डोल्पा,1898,रिमी,4,2164,ज्ञानोदय प्रा.बि. लोहारवाडा
57,Dolpa,डोल्पा,1898,रिमी,7,2168,मुनामदन प्रा.बि. छाँचु
57,Dolpa,डोल्पा,1898,रिमी,6,2164,ज्ञानोदय प्रा.बि. लोहारवाडा
57,Dolpa,डोल्पा,1898,रिमी,9,2168,मुनामदन प्रा.बि. छाँचु
57,Dolpa,डोल्पा,1898,रिमी,8,2168,मुनामदन प्रा.बि. छाँचु
57,Dolpa,डोल्पा,1908,धो,1,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,3,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,2,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,5,10130,"कलाङ्ग प्रा.वि.को पुरानो भवन, कलाङ्ग"
57,Dolpa,डोल्पा,1908,धो,4,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,7,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,6,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,9,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1908,धो,8,2256,क्रिष्टल माउन्टन नि.मा.बि.
57,Dolpa,डोल्पा,1909,शहरतारा,1,2259,"यलाकोट धर्मशाला, यलाकोट"
57,Dolpa,डोल्पा,1909,शहरतारा,3,2259,"यलाकोट धर्मशाला, यलाकोट"
57,Dolpa,डोल्पा,1909,शहरतारा,2,2259,"यलाकोट धर्मशाला, यलाकोट"
57,Dolpa,डोल्पा,1909,शहरतारा,5,2260,अरनिको नि.मा.बि.
57,Dolpa,डोल्पा,1909,शहरतारा,4,2259,"यलाकोट धर्मशाला, यलाकोट"
57,Dolpa,डोल्पा,1909,शहरतारा,7,2260,अरनिको नि.मा.बि.
57,Dolpa,डोल्पा,1909,शहरतारा,6,2260,अरनिको नि.मा.बि.
57,Dolpa,डोल्पा,1909,शहरतारा,9,2260,अरनिको नि.मा.बि.
57,Dolpa,डोल्पा,1909,शहरतारा,8,2260,अरनिको नि.मा.बि.
57,Dolpa,डोल्पा,1906,तिन्जे,1,2243,"सिद्धार्थकूला प्रा.बि.,तिन्जे"
57,Dolpa,डोल्पा,1906,तिन्जे,3,2243,"सिद्धार्थकूला प्रा.बि.,तिन्जे"
57,Dolpa,डोल्पा,1906,तिन्जे,2,2243,"सिद्धार्थकूला प्रा.बि.,तिन्जे"
57,Dolpa,डोल्पा,1906,तिन्जे,5,2243,"सिद्धार्थकूला प्रा.बि.,तिन्जे"
57,Dolpa,डोल्पा,1906,तिन्जे,4,2243,"सिद्धार्थकूला प्रा.बि.,तिन्जे"
57,Dolpa,डोल्पा,1906,तिन्जे,7,2246,इन्द्र धनुष प्रा.बि. सिमेन
57,Dolpa,डोल्पा,1906,तिन्जे,6,2246,इन्द्र धनुष प्रा.बि. सिमेन
57,Dolpa,डोल्पा,1906,तिन्जे,9,2246,इन्द्र धनुष प्रा.बि. सिमेन
57,Dolpa,डोल्पा,1906,तिन्जे,8,2246,इन्द्र धनुष प्रा.बि. सिमेन
57,Dolpa,डोल्पा,1907,लावन,1,2248,भेरी नि.मा.बि. बैजीवारा
57,Dolpa,डोल्पा,1907,लावन,3,2248,भेरी नि.मा.बि. बैजीवारा
57,Dolpa,डोल्पा,1907,लावन,2,2248,भेरी नि.मा.बि. बैजीवारा
57,Dolpa,डोल्पा,1907,लावन,5,2252,"वालकल्याण प्रा.वि.,
धारापानी"
57,Dolpa,डोल्पा,1907,लावन,4,2248,भेरी नि.मा.बि. बैजीवारा
57,Dolpa,डोल्पा,1907,लावन,7,2252,"वालकल्याण प्रा.वि.,
धारापानी"
57,Dolpa,डोल्पा,1907,लावन,6,2252,"वालकल्याण प्रा.वि.,
धारापानी"
57,Dolpa,डोल्पा,1907,लावन,9,2252,"वालकल्याण प्रा.वि.,
धारापानी"
57,Dolpa,डोल्पा,1907,लावन,8,2252,"वालकल्याण प्रा.वि.,
धारापानी"
57,Dolpa,डोल्पा,1896,सर्मि,1,2130,अन्नपूर्ण उ.मा.बि. शर्मि
57,Dolpa,डोल्पा,1896,सर्मि,3,2130,अन्नपूर्ण उ.मा.बि. शर्मि
