District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
70,Doti,डोटी,2903,गैह्रागाउ,1,1145,"श्री चौकोट नि.मा.वि., डुंग्री"
70,Doti,डोटी,2903,गैह्रागाउ,3,1145,"श्री चौकोट नि.मा.वि., डुंग्री"
70,Doti,डोटी,2903,गैह्रागाउ,2,1145,"श्री चौकोट नि.मा.वि., डुंग्री"
70,Doti,डोटी,2903,गैह्रागाउ,5,1150,गा.वि.स.भवन गौरागाँउ
70,Doti,डोटी,2903,गैह्रागाउ,4,1150,गा.वि.स.भवन गौरागाँउ
70,Doti,डोटी,2903,गैह्रागाउ,7,1150,गा.वि.स.भवन गौरागाँउ
70,Doti,डोटी,2903,गैह्रागाउ,6,1150,गा.वि.स.भवन गौरागाँउ
70,Doti,डोटी,2903,गैह्रागाउ,9,1150,गा.वि.स.भवन गौरागाँउ
70,Doti,डोटी,2903,गैह्रागाउ,8,1150,गा.वि.स.भवन गौरागाँउ
70,Doti,डोटी,2964,मुडेगाउँ,1,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,3,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,2,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,5,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,4,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,7,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,6,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,9,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2964,मुडेगाउँ,8,1364,महाकाली मा.वि. मुडेगाउँ
70,Doti,डोटी,2966,तिजाली,1,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,3,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,2,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,5,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,4,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,7,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,6,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,9,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2966,तिजाली,8,1368,राधाकृष्ण उ.मा.वि. तिजाली
70,Doti,डोटी,2960,तिखातर,1,1350,डुमराकोट प्रा.वि. डुमराकोट
70,Doti,डोटी,2960,तिखातर,3,1350,डुमराकोट प्रा.वि. डुमराकोट
70,Doti,डोटी,2960,तिखातर,2,1350,डुमराकोट प्रा.वि. डुमराकोट
70,Doti,डोटी,2960,तिखातर,5,1356,"मोहन्यालमाण्डौ नि.मा.वि., लोली"
70,Doti,डोटी,2960,तिखातर,4,1356,"मोहन्यालमाण्डौ नि.मा.वि., लोली"
70,Doti,डोटी,2960,तिखातर,7,1347,इन्द्र उ.मा.वि. लेखगडा
70,Doti,डोटी,2960,तिखातर,6,1347,इन्द्र उ.मा.वि. लेखगडा
70,Doti,डोटी,2960,तिखातर,9,1347,इन्द्र उ.मा.वि. लेखगडा
70,Doti,डोटी,2960,तिखातर,8,1347,इन्द्र उ.मा.वि. लेखगडा
70,Doti,डोटी,2905,गाजरी,1,1155,शिशु सुधार मा.वि. गाजरी
70,Doti,डोटी,2905,गाजरी,3,1155,शिशु सुधार मा.वि. गाजरी
70,Doti,डोटी,2905,गाजरी,2,1155,शिशु सुधार मा.वि. गाजरी
70,Doti,डोटी,2905,गाजरी,5,1155,शिशु सुधार मा.वि. गाजरी
70,Doti,डोटी,2905,गाजरी,4,1155,शिशु सुधार मा.वि. गाजरी
