District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
36,Gorkha,गोरखा,3024,हंशपुर,1,555,"ज्ञानज्योती उ.मा.वि., लप्सीबोट"
36,Gorkha,गोरखा,3024,हंशपुर,3,555,"ज्ञानज्योती उ.मा.वि., लप्सीबोट"
36,Gorkha,गोरखा,3024,हंशपुर,2,555,"ज्ञानज्योती उ.मा.वि., लप्सीबोट"
36,Gorkha,गोरखा,3024,हंशपुर,5,559,"जीवनज्योती मा.वि., काफलडाँडा"
36,Gorkha,गोरखा,3024,हंशपुर,4,559,"जीवनज्योती मा.वि., काफलडाँडा"
36,Gorkha,गोरखा,3024,हंशपुर,7,562,"पार्वती प्रा.वि., मुलडाँडा"
36,Gorkha,गोरखा,3024,हंशपुर,6,559,"जीवनज्योती मा.वि., काफलडाँडा"
36,Gorkha,गोरखा,3024,हंशपुर,9,562,"पार्वती प्रा.वि., मुलडाँडा"
36,Gorkha,गोरखा,3024,हंशपुर,8,562,"पार्वती प्रा.वि., मुलडाँडा"
36,Gorkha,गोरखा,3595,वार्पाक,1,621,"कन्यादेवी नि.मा.वि., पोखरी"
36,Gorkha,गोरखा,3595,वार्पाक,3,622,"भगवती मा.वि., मान्द्रे"
36,Gorkha,गोरखा,3595,वार्पाक,2,622,"भगवती मा.वि., मान्द्रे"
36,Gorkha,गोरखा,3595,वार्पाक,5,624,"हिमालय उ.मा.वि., बारपाक"
36,Gorkha,गोरखा,3595,वार्पाक,4,624,"हिमालय उ.मा.वि., बारपाक"
36,Gorkha,गोरखा,3595,वार्पाक,7,624,"हिमालय उ.मा.वि., बारपाक"
36,Gorkha,गोरखा,3595,वार्पाक,6,624,"हिमालय उ.मा.वि., बारपाक"
36,Gorkha,गोरखा,3595,वार्पाक,9,624,"हिमालय उ.मा.वि., बारपाक"
36,Gorkha,गोरखा,3595,वार्पाक,8,624,"हिमालय उ.मा.वि., बारपाक"
36,Gorkha,गोरखा,3594,ताकुमाझलाकुरीबोट,1,617,गा.वि.स. भवन ताकुमाझलाकुरीबोट
36,Gorkha,गोरखा,3594,ताकुमाझलाकुरीबोट,3,617,गा.वि.स. भवन ताकुमाझलाकुरीबोट
36,Gorkha,गोरखा,3594,ताकुमाझलाकुरीबोट,2,617,गा.वि.स. भवन ताकुमाझलाकुरीबोट
