District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
42,Gulmi,गुल्मी,2130,सिर्सेनी,1,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,3,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,2,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,5,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,4,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,7,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,6,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,9,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2130,सिर्सेनी,8,4029,रियाले मा.वि. भवन
42,Gulmi,गुल्मी,2160,पौदी अमराई,1,4105,"जनज्योती मा.वि. भवन, अरेवा"
42,Gulmi,गुल्मी,2160,पौदी अमराई,3,4103,नेपाल राष्ट्रिय सर्वोदय उ.मा.वि.
42,Gulmi,गुल्मी,2160,पौदी अमराई,2,4105,"जनज्योती मा.वि. भवन, अरेवा"
42,Gulmi,गुल्मी,2160,पौदी अमराई,5,4103,नेपाल राष्ट्रिय सर्वोदय उ.मा.वि.
42,Gulmi,गुल्मी,2160,पौदी अमराई,4,4103,नेपाल राष्ट्रिय सर्वोदय उ.मा.वि.
42,Gulmi,गुल्मी,2160,पौदी अमराई,7,4103,नेपाल राष्ट्रिय सर्वोदय उ.मा.वि.
42,Gulmi,गुल्मी,2160,पौदी अमराई,6,4103,नेपाल राष्ट्रिय सर्वोदय उ.मा.वि.
42,Gulmi,गुल्मी,2160,पौदी अमराई,9,4105,"जनज्योती मा.वि. भवन, अरेवा"
42,Gulmi,गुल्मी,2160,पौदी अमराई,8,4103,नेपाल राष्ट्रिय सर्वोदय उ.मा.वि.
42,Gulmi,गुल्मी,2003,भुर्तुङ,1,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,3,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,2,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,5,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,4,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,7,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,6,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,9,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,2003,भुर्तुङ,8,9906,"दुर्गा भवन उ.मा.वि., छापचौर"
42,Gulmi,गुल्मी,1997,रुपाकोट,1,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,3,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,2,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,5,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,4,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,7,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,6,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,9,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,1997,रुपाकोट,8,3637,"शारदा मा.वि., भवन"
42,Gulmi,गुल्मी,2113,बाँझकटेरी,1,9907,बालबिकास नि.मा.बि.
42,Gulmi,गुल्मी,2113,बाँझकटेरी,3,9907,बालबिकास नि.मा.बि.
42,Gulmi,गुल्मी,2113,बाँझकटेरी,2,9907,बालबिकास नि.मा.बि.
