District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
61,Humla,हुम्ला,2229,लाली,1,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,3,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,2,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,5,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,4,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,7,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,6,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,9,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2229,लाली,8,3043,मालीका उ. मा.बि. लाली
61,Humla,हुम्ला,2227,छिप्रा,1,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,3,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,2,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,5,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,4,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,7,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,6,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,9,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2227,छिप्रा,8,3040,सीता नि. मा.बि. भवन
61,Humla,हुम्ला,2225,खार्पुनाथ,1,3038,"मान्धारा मा.बि.,खार्पुनाथ"
61,Humla,हुम्ला,2225,खार्पुनाथ,3,3038,"मान्धारा मा.बि.,खार्पुनाथ"
61,Humla,हुम्ला,2225,खार्पुनाथ,2,3038,"मान्धारा मा.बि.,खार्पुनाथ"
61,Humla,हुम्ला,2225,खार्पुनाथ,5,3038,"मान्धारा मा.बि.,खार्पुनाथ"
