District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
3,Ilam,ईलाम,3827,समालबुङ,1,996,"समालबुङ मा.वि., समालबुङ"
3,Ilam,ईलाम,3827,समालबुङ,3,996,"समालबुङ मा.वि., समालबुङ"
3,Ilam,ईलाम,3827,समालबुङ,2,996,"समालबुङ मा.वि., समालबुङ"
3,Ilam,ईलाम,3827,समालबुङ,5,996,"समालबुङ मा.वि., समालबुङ"
3,Ilam,ईलाम,3827,समालबुङ,4,996,"समालबुङ मा.वि., समालबुङ"
3,Ilam,ईलाम,3827,समालबुङ,7,1001,"गोरख नि.मा.वि. समालबुङ, गोरख"
3,Ilam,ईलाम,3827,समालबुङ,6,1001,"गोरख नि.मा.वि. समालबुङ, गोरख"
3,Ilam,ईलाम,3827,समालबुङ,9,1001,"गोरख नि.मा.वि. समालबुङ, गोरख"
3,Ilam,ईलाम,3827,समालबुङ,8,1001,"गोरख नि.मा.वि. समालबुङ, गोरख"
3,Ilam,ईलाम,3825,श्रीअन्तु,1,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,3,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,2,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,5,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,4,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,7,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,6,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,9,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3825,श्रीअन्तु,8,988,"गा.वि.स. भवन, श्रीअन्तु"
3,Ilam,ईलाम,3868,सुलुवुङ,1,1366,"जनकल्याण प्रा.वि., माइपाताल"
3,Ilam,ईलाम,3868,सुलुवुङ,3,1370,"सरस्वती उ.मा.वि., याक्पी"
3,Ilam,ईलाम,3868,सुलुवुङ,2,1366,"जनकल्याण प्रा.वि., माइपाताल"
3,Ilam,ईलाम,3868,सुलुवुङ,5,1370,"सरस्वती उ.मा.वि., याक्पी"
3,Ilam,ईलाम,3868,सुलुवुङ,4,1370,"सरस्वती उ.मा.वि., याक्पी"
3,Ilam,ईलाम,3868,सुलुवुङ,7,9946,युवा प्रा.वि. टारी सुलुबुङ्ग
3,Ilam,ईलाम,3868,सुलुवुङ,6,1370,"सरस्वती उ.मा.वि., याक्पी"
3,Ilam,ईलाम,3868,सुलुवुङ,9,9946,युवा प्रा.वि. टारी सुलुबुङ्ग
3,Ilam,ईलाम,3868,सुलुवुङ,8,9946,युवा प्रा.वि. टारी सुलुबुङ्ग
3,Ilam,ईलाम,3823,फिक्कल,1,9916,"राष्ट्रिय नि मा .बि.फिक्कल, रामफोक"
3,Ilam,ईलाम,3823,फिक्कल,3,9916,"राष्ट्रिय नि मा .बि.फिक्कल, रामफोक"
3,Ilam,ईलाम,3823,फिक्कल,2,973,फिक्कल उ.मा. वि
3,Ilam,ईलाम,3823,फिक्कल,5,9916,"राष्ट्रिय नि मा .बि.फिक्कल, रामफोक"
3,Ilam,ईलाम,3823,फिक्कल,4,9916,"राष्ट्रिय नि मा .बि.फिक्कल, रामफोक"
3,Ilam,ईलाम,3823,फिक्कल,7,966,"राष्ट्रिय प्रा.वि., फिक्कल आरुबोटे"
3,Ilam,ईलाम,3823,फिक्कल,6,973,फिक्कल उ.मा. वि
3,Ilam,ईलाम,3823,फिक्कल,9,973,फिक्कल उ.मा. वि
3,Ilam,ईलाम,3823,फिक्कल,8,966,"राष्ट्रिय प्रा.वि., फिक्कल आरुबोटे"
3,Ilam,ईलाम,3820,गोर्खे,1,962,"हिमालय उ.मा.वि., गोर्खे मानेडांडा"
3,Ilam,ईलाम,3820,गोर्खे,3,962,"हिमालय उ.मा.वि., गोर्खे मानेडांडा"
3,Ilam,ईलाम,3820,गोर्खे,2,962,"हिमालय उ.मा.वि., गोर्खे मानेडांडा"
3,Ilam,ईलाम,3820,गोर्खे,5,956,"सिंहदेवी मा.वि., गोर्खे मंगलबारे"
3,Ilam,ईलाम,3820,गोर्खे,4,962,"हिमालय उ.मा.वि., गोर्खे मानेडांडा"
