District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
62,Jajarkot,जाजरकोट,2291,सकला,1,3257,"बिश्व नि.मा.बि. भवन
 सेपुखोला"
62,Jajarkot,जाजरकोट,2291,सकला,3,3257,"बिश्व नि.मा.बि. भवन
 सेपुखोला"
62,Jajarkot,जाजरकोट,2291,सकला,2,3257,"बिश्व नि.मा.बि. भवन
 सेपुखोला"
62,Jajarkot,जाजरकोट,2291,सकला,5,3261,जनविकास प्रा.बि. स्याला
62,Jajarkot,जाजरकोट,2291,सकला,4,3261,जनविकास प्रा.बि. स्याला
62,Jajarkot,जाजरकोट,2291,सकला,7,3263,दिपेन्द्र मा.बि. सक्ला
62,Jajarkot,जाजरकोट,2291,सकला,6,3261,जनविकास प्रा.बि. स्याला
62,Jajarkot,जाजरकोट,2291,सकला,9,3263,दिपेन्द्र मा.बि. सक्ला
62,Jajarkot,जाजरकोट,2291,सकला,8,3263,दिपेन्द्र मा.बि. सक्ला
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,1,3291,त्रिभुवन उ.मा.बि. दल्ली
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,3,3291,त्रिभुवन उ.मा.बि. दल्ली
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,2,3291,त्रिभुवन उ.मा.बि. दल्ली
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,5,3294,पञ्चभयोर मा.बि. जिकुवा
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,4,3291,त्रिभुवन उ.मा.बि. दल्ली
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,7,3294,पञ्चभयोर मा.बि. जिकुवा
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,6,3294,पञ्चभयोर मा.बि. जिकुवा
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,9,9950,गणेश प्रा‍.वि. मालुवातरा
62,Jajarkot,जाजरकोट,2296,खगेनाकोट,8,9950,गणेश प्रा‍.वि. मालुवातरा
62,Jajarkot,जाजरकोट,2295,डाडागाउ,1,3279,अनापानी मैदान
62,Jajarkot,जाजरकोट,2295,डाडागाउ,3,3279,अनापानी मैदान
62,Jajarkot,जाजरकोट,2295,डाडागाउ,2,3279,अनापानी मैदान
62,Jajarkot,जाजरकोट,2295,डाडागाउ,5,3280,गाबिस भवन डाडागाउ
62,Jajarkot,जाजरकोट,2295,डाडागाउ,4,3280,गाबिस भवन डाडागाउ
62,Jajarkot,जाजरकोट,2295,डाडागाउ,7,3285,"सूर्योदय मा.बि.
 कैना, टट्टा"
62,Jajarkot,जाजरकोट,2295,डाडागाउ,6,3285,"सूर्योदय मा.बि.
 कैना, टट्टा"
62,Jajarkot,जाजरकोट,2295,डाडागाउ,9,3287,"कैलाश कन्या 
नि.मा..बि. कट्के"
62,Jajarkot,जाजरकोट,2295,डाडागाउ,8,3287,"कैलाश कन्या 
नि.मा..बि. कट्के"
62,Jajarkot,जाजरकोट,2294,लह,1,3266,निर्मल ज्योती नि.प्रा.बि. थाप्ला
62,Jajarkot,जाजरकोट,2294,लह,3,10134,भानुभक्त उच्च मा.वि.लह
62,Jajarkot,जाजरकोट,2294,लह,2,3266,निर्मल ज्योती नि.प्रा.बि. थाप्ला
62,Jajarkot,जाजरकोट,2294,लह,5,3269,सार्वजनिक मैदान खानटाकुरा
62,Jajarkot,जाजरकोट,2294,लह,4,10134,भानुभक्त उच्च मा.वि.लह
62,Jajarkot,जाजरकोट,2294,लह,7,3269,सार्वजनिक मैदान खानटाकुरा
62,Jajarkot,जाजरकोट,2294,लह,6,3269,सार्वजनिक मैदान खानटाकुरा
62,Jajarkot,जाजरकोट,2294,लह,9,3276,नेपाल राष्ट्रिय प्रा.बि. ऐरारी
62,Jajarkot,जाजरकोट,2294,लह,8,3276,नेपाल राष्ट्रिय प्रा.बि. ऐरारी
62,Jajarkot,जाजरकोट,2322,पजारु,1,3630,भगवती नि.मा.बि. धाउनी
62,Jajarkot,जाजरकोट,2322,पजारु,3,3634,बागेश्वरी उ.मा.बि. पजारु
62,Jajarkot,जाजरकोट,2322,पजारु,2,3630,भगवती नि.मा.बि. धाउनी
62,Jajarkot,जाजरकोट,2322,पजारु,5,3634,बागेश्वरी उ.मा.बि. पजारु
62,Jajarkot,जाजरकोट,2322,पजारु,4,3634,बागेश्वरी उ.मा.बि. पजारु
