District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
4,Jhapa,झापा,3758,राजगढ,1,2562,"अमृत नि.मा.वि., भागुडुब्बा"
4,Jhapa,झापा,3758,राजगढ,3,2564,"भगवती नि.मा.वि., बुट्टाबारी"
4,Jhapa,झापा,3758,राजगढ,2,2562,"अमृत नि.मा.वि., भागुडुब्बा"
4,Jhapa,झापा,3758,राजगढ,5,2568,"गा.वि.स. भवन, राजगढ"
4,Jhapa,झापा,3758,राजगढ,4,2567,"जनता प्रा.वि., जनताचोक"
4,Jhapa,झापा,3758,राजगढ,7,2579,"रामनगर प्रा.वि., रामनगर"
4,Jhapa,झापा,3758,राजगढ,6,2571,"पशुपति उ. मा.वि., राजगढ"
4,Jhapa,झापा,3758,राजगढ,9,2562,"अमृत नि.मा.वि., भागुडुब्बा"
4,Jhapa,झापा,3758,राजगढ,8,2579,"रामनगर प्रा.वि., रामनगर"
4,Jhapa,झापा,3796,गौरादह,1,2824,"मोती मा.वि., सितापुरी"
4,Jhapa,झापा,3796,गौरादह,3,2828,"जनता उ. मा.वि., गौरादह बजार"
4,Jhapa,झापा,3796,गौरादह,2,2824,"मोती मा.वि., सितापुरी"
4,Jhapa,झापा,3796,गौरादह,5,2843,"दुर्गादेवी प्रा.वि., जामबाडी"
4,Jhapa,झापा,3796,गौरादह,4,2836,"गौरादह बहुमुखी क्याम्पस, नयाँवस्ती"
4,Jhapa,झापा,3796,गौरादह,7,2839,"सरस्वती प्रा.वि., हाँसखोरा"
4,Jhapa,झापा,3796,गौरादह,6,2839,"सरस्वती प्रा.वि., हाँसखोरा"
4,Jhapa,झापा,3796,गौरादह,9,2830,"गा.वि.स. भवन, गौरादह बजार"
4,Jhapa,झापा,3796,गौरादह,8,2833,"अमर नि.मा.वि., गौरादह बजार"
4,Jhapa,झापा,3808,कोरोवारी,1,2821,"शिशुकल्याण प्रा.वि., तुलाचन"
4,Jhapa,झापा,3808,कोरोवारी,3,2814,"आदर्श मा.वि., टटुवामारी"
4,Jhapa,झापा,3808,कोरोवारी,2,2817,"जनता नि.मा.वि., कोरोबारी"
4,Jhapa,झापा,3808,कोरोवारी,5,2814,"आदर्श मा.वि., टटुवामारी"
4,Jhapa,झापा,3808,कोरोवारी,4,2814,"आदर्श मा.वि., टटुवामारी"
4,Jhapa,झापा,3808,कोरोवारी,7,2817,"जनता नि.मा.वि., कोरोबारी"
4,Jhapa,झापा,3808,कोरोवारी,6,2817,"जनता नि.मा.वि., कोरोबारी"
4,Jhapa,झापा,3808,कोरोवारी,9,2817,"जनता नि.मा.वि., कोरोबारी"
4,Jhapa,झापा,3808,कोरोवारी,8,2817,"जनता नि.मा.वि., कोरोबारी"
4,Jhapa,झापा,3774,माहाभारा,1,2805,"जनकल्याण नि.मा.वि., माहाभारा"
4,Jhapa,झापा,3774,माहाभारा,3,2807,"बालकल्याण मा.वि., कुञ्जीबारी"
4,Jhapa,झापा,3774,माहाभारा,2,2805,"जनकल्याण नि.मा.वि., माहाभारा"
4,Jhapa,झापा,3774,माहाभारा,5,2809,"पृथ्वीनारायण प्रा.वि., चौरीबजार"
4,Jhapa,झापा,3774,माहाभारा,4,2807,"बालकल्याण मा.वि., कुञ्जीबारी"
4,Jhapa,झापा,3774,माहाभारा,7,2809,"पृथ्वीनारायण प्रा.वि., चौरीबजार"
4,Jhapa,झापा,3774,माहाभारा,6,2809,"पृथ्वीनारायण प्रा.वि., चौरीबजार"
4,Jhapa,झापा,3774,माहाभारा,9,2811,"कन्काई नहर ८ नं. शाखा, टुनुवस्ती"
