District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
59,Jumla,जुम्ला,1986,पातरासी,1,2481,सरस्वती नि.मा.वि.तल्फी
59,Jumla,जुम्ला,1986,पातरासी,3,2481,सरस्वती नि.मा.वि.तल्फी
59,Jumla,जुम्ला,1986,पातरासी,2,2481,सरस्वती नि.मा.वि.तल्फी
59,Jumla,जुम्ला,1986,पातरासी,5,2481,सरस्वती नि.मा.वि.तल्फी
59,Jumla,जुम्ला,1986,पातरासी,4,2481,सरस्वती नि.मा.वि.तल्फी
59,Jumla,जुम्ला,1986,पातरासी,7,2484,गंगादेबी मा.बि. पेरे
59,Jumla,जुम्ला,1986,पातरासी,6,2484,गंगादेबी मा.बि. पेरे
59,Jumla,जुम्ला,1986,पातरासी,9,2484,गंगादेबी मा.बि. पेरे
59,Jumla,जुम्ला,1986,पातरासी,8,2484,गंगादेबी मा.बि. पेरे
59,Jumla,जुम्ला,2050,पाण्डवगुफा,1,2612,रोकायावाडा प्रा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,3,2612,रोकायावाडा प्रा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,2,2612,रोकायावाडा प्रा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,5,2612,रोकायावाडा प्रा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,4,2612,रोकायावाडा प्रा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,7,2614,कोटघर मा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,6,2614,कोटघर मा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,9,2614,कोटघर मा.बि.
59,Jumla,जुम्ला,2050,पाण्डवगुफा,8,2614,कोटघर मा.बि.
59,Jumla,जुम्ला,1984,डिल्लीचौर,1,2478,शंकर नि.मा.बि. लेर्पा
59,Jumla,जुम्ला,1984,डिल्लीचौर,3,2478,शंकर नि.मा.बि. लेर्पा
59,Jumla,जुम्ला,1984,डिल्लीचौर,2,2478,शंकर नि.मा.बि. लेर्पा
59,Jumla,जुम्ला,1984,डिल्लीचौर,5,2475,ऋणमोक्ष उ.मा.बि.
59,Jumla,जुम्ला,1984,डिल्लीचौर,4,2475,ऋणमोक्ष उ.मा.बि.
59,Jumla,जुम्ला,1984,डिल्लीचौर,7,2475,ऋणमोक्ष उ.मा.बि.
59,Jumla,जुम्ला,1984,डिल्लीचौर,6,2475,ऋणमोक्ष उ.मा.बि.
59,Jumla,जुम्ला,1984,डिल्लीचौर,9,2475,ऋणमोक्ष उ.मा.बि.
59,Jumla,जुम्ला,1984,डिल्लीचौर,8,2475,ऋणमोक्ष उ.मा.बि.
59,Jumla,जुम्ला,2054,बिराट,1,2617,बडुचौघेरा प्रा.बि.
59,Jumla,जुम्ला,2054,बिराट,3,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2054,बिराट,2,2617,बडुचौघेरा प्रा.बि.
59,Jumla,जुम्ला,2054,बिराट,5,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2054,बिराट,4,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2054,बिराट,7,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2054,बिराट,6,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2054,बिराट,9,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2054,बिराट,8,2619,ने.रा.नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,1980,छुमचौर,1,2470,मालिका नि.मा.वि.छुम
59,Jumla,जुम्ला,1980,छुमचौर,3,2470,मालिका नि.मा.वि.छुम
59,Jumla,जुम्ला,1980,छुमचौर,2,2470,मालिका नि.मा.वि.छुम
59,Jumla,जुम्ला,1980,छुमचौर,5,2470,मालिका नि.मा.वि.छुम
59,Jumla,जुम्ला,1980,छुमचौर,4,2470,मालिका नि.मा.वि.छुम
59,Jumla,जुम्ला,1980,छुमचौर,7,2468,सरस्वती प्रा.वि.हुरीमहरी
59,Jumla,जुम्ला,1980,छुमचौर,6,2470,मालिका नि.मा.वि.छुम
59,Jumla,जुम्ला,1980,छुमचौर,9,2468,सरस्वती प्रा.वि.हुरीमहरी
59,Jumla,जुम्ला,1980,छुमचौर,8,2468,सरस्वती प्रा.वि.हुरीमहरी
59,Jumla,जुम्ला,2058,मालिकावोता,1,2629,ने.रा. नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2058,मालिकावोता,3,2629,ने.रा. नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2058,मालिकावोता,2,2629,ने.रा. नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2058,मालिकावोता,5,2629,ने.रा. नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2058,मालिकावोता,4,2629,ने.रा. नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2058,मालिकावोता,7,2629,ने.रा. नि.मा.बि. मालिकावोटा
59,Jumla,जुम्ला,2058,मालिकावोता,6,2629,ने.रा. नि.मा.बि. मालिकावोटा
