District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
71,Kailali,कैलाली,2734,बलिया,1,1687,"नवजिवन मा.वि., वास्कोटी"
71,Kailali,कैलाली,2734,बलिया,3,1690,"जनता उ.मा.वि., चौरीपुर"
71,Kailali,कैलाली,2734,बलिया,2,1687,"नवजिवन मा.वि., वास्कोटी"
71,Kailali,कैलाली,2734,बलिया,5,1697,राष्ट्रय उच्च मा.वि. मोतीपुर
71,Kailali,कैलाली,2734,बलिया,4,1694,सरस्वती नि.मा.वि. कौवापुर
71,Kailali,कैलाली,2734,बलिया,7,1708,राष्ट्रिय मा.वि. थापापुर
71,Kailali,कैलाली,2734,बलिया,6,1703,जनजागृति उच्च मा.वि. मोहनलाल
71,Kailali,कैलाली,2734,बलिया,9,1716,"इलाका वन कार्यालय,बलचौर"
71,Kailali,कैलाली,2734,बलिया,8,1709,कालिका उ.मा.वि. भुरुवा
71,Kailali,कैलाली,2779,प्रतापपुर,1,1750,वालसेवा मा.वि. चाकावाणि
71,Kailali,कैलाली,2779,प्रतापपुर,3,1753,जानकी नि.मा.वि. खरौला
71,Kailali,कैलाली,2779,प्रतापपुर,2,1758,सरस्वति उ.मा.वि. प्रतापपुर
71,Kailali,कैलाली,2779,प्रतापपुर,5,1750,वालसेवा मा.वि. चाकावाणि
71,Kailali,कैलाली,2779,प्रतापपुर,4,1758,सरस्वति उ.मा.वि. प्रतापपुर
71,Kailali,कैलाली,2779,प्रतापपुर,7,1753,जानकी नि.मा.वि. खरौला
71,Kailali,कैलाली,2779,प्रतापपुर,6,1762,दुर्गा नि.मा.वि.मैनवाडाडा
71,Kailali,कैलाली,2779,प्रतापपुर,9,1758,सरस्वति उ.मा.वि. प्रतापपुर
71,Kailali,कैलाली,2779,प्रतापपुर,8,1762,दुर्गा नि.मा.वि.मैनवाडाडा
71,Kailali,कैलाली,2863,गोदावरी,1,2413,सरस्वती उ.मा.वि.ओलानी गौडी
71,Kailali,कैलाली,2863,गोदावरी,3,2413,सरस्वती उ.मा.वि.ओलानी गौडी
71,Kailali,कैलाली,2863,गोदावरी,2,2413,सरस्वती उ.मा.वि.ओलानी गौडी
71,Kailali,कैलाली,2863,गोदावरी,5,2423,दूर्गा नि.मा.वि. कोल्मुडा
71,Kailali,कैलाली,2863,गोदावरी,4,2413,सरस्वती उ.मा.वि.ओलानी गौडी
71,Kailali,कैलाली,2863,गोदावरी,7,2423,दूर्गा नि.मा.वि. कोल्मुडा
71,Kailali,कैलाली,2863,गोदावरी,6,2424,शिव प्रा.वि. ओलानी
71,Kailali,कैलाली,2863,गोदावरी,9,9915,ग्वासी समैजी प्रा.बि. चाप
71,Kailali,कैलाली,2863,गोदावरी,8,2426,दशरथ मा.वि. गोदावरी वजार
71,Kailali,कैलाली,2867,सहजपुर,1,2436,शुक्र मा.वि. खानीडाडा
71,Kailali,कैलाली,2867,सहजपुर,3,2441,जनता प्रा.वि. शान्तिनगर
71,Kailali,कैलाली,2867,सहजपुर,2,2436,शुक्र मा.वि. खानीडाडा
71,Kailali,कैलाली,2867,सहजपुर,5,2441,जनता प्रा.वि. शान्तिनगर
71,Kailali,कैलाली,2867,सहजपुर,4,2445,मेलकटेश्वर उ.मा.वि. वयला
71,Kailali,कैलाली,2867,सहजपुर,7,2445,मेलकटेश्वर उ.मा.वि. वयला
71,Kailali,कैलाली,2867,सहजपुर,6,2446,गाविस भवन सहजपुर
71,Kailali,कैलाली,2867,सहजपुर,9,2446,गाविस भवन सहजपुर
71,Kailali,कैलाली,2867,सहजपुर,8,2446,गाविस भवन सहजपुर
71,Kailali,कैलाली,2847,पण्डौन,1,2305,भृकुटी मा.वि. पण्डौन
71,Kailali,कैलाली,2847,पण्डौन,3,2308,भृकुटी मा.वि. खिमडी
71,Kailali,कैलाली,2847,पण्डौन,2,2305,भृकुटी मा.वि. पण्डौन
71,Kailali,कैलाली,2847,पण्डौन,5,2308,भृकुटी मा.वि. खिमडी
71,Kailali,कैलाली,2847,पण्डौन,4,2308,भृकुटी मा.वि. खिमडी
71,Kailali,कैलाली,2847,पण्डौन,7,2312,महेन्द्र मा.वि. कोल्तडी
71,Kailali,कैलाली,2847,पण्डौन,6,2305,भृकुटी मा.वि. पण्डौन
71,Kailali,कैलाली,2847,पण्डौन,9,2312,महेन्द्र मा.वि. कोल्तडी
71,Kailali,कैलाली,2847,पण्डौन,8,2305,भृकुटी मा.वि. पण्डौन
71,Kailali,कैलाली,2844,दरख,1,2296,दरखमा उ.मा.वि. हरिनगर
71,Kailali,कैलाली,2844,दरख,3,2299,गाविस भवन निम्दि
71,Kailali,कैलाली,2844,दरख,2,2296,दरखमा उ.मा.वि. हरिनगर
71,Kailali,कैलाली,2844,दरख,5,2301,राष्ट्रिय उ.मा.वि. सुख्खड
71,Kailali,कैलाली,2844,दरख,4,2299,गाविस भवन निम्दि
71,Kailali,कैलाली,2844,दरख,7,2299,गाविस भवन निम्दि
71,Kailali,कैलाली,2844,दरख,6,2299,गाविस भवन निम्दि
71,Kailali,कैलाली,2844,दरख,9,2296,दरखमा उ.मा.वि. हरिनगर
71,Kailali,कैलाली,2844,दरख,8,2296,दरखमा उ.मा.वि. हरिनगर
71,Kailali,कैलाली,2738,पथरैया,1,1542,बालविद्या मन्दिर नि.मा.वि. पथरैया
71,Kailali,कैलाली,2738,पथरैया,3,1545,राष्ट्रिय नि.मा.वि. अमौरी
71,Kailali,कैलाली,2738,पथरैया,2,1545,राष्ट्रिय नि.मा.वि. अमौरी
71,Kailali,कैलाली,2738,पथरैया,5,1554,"राष्ट्रिय नि.मा.वि., खैरीपुर"
71,Kailali,कैलाली,2738,पथरैया,4,1547,गाविस भवन भोक्सि
71,Kailali,कैलाली,2738,पथरैया,7,1563,राष्ट्रिय मा.वि. जगतपुर
71,Kailali,कैलाली,2738,पथरैया,6,1560,अरुणोदय उ.मा.वि. खैरीफांटा
71,Kailali,कैलाली,2738,पथरैया,9,1570,हिमालय रा.मा.वि. अमरावति
71,Kailali,कैलाली,2738,पथरैया,8,1560,अरुणोदय उ.मा.वि. खैरीफांटा
71,Kailali,कैलाली,2871,निगाली,1,2357,केदारेश्वर नि.मा.वि. ओजेना
71,Kailali,कैलाली,2871,निगाली,3,2357,केदारेश्वर नि.मा.वि. ओजेना
71,Kailali,कैलाली,2871,निगाली,2,2357,केदारेश्वर नि.मा.वि. ओजेना
71,Kailali,कैलाली,2871,निगाली,5,2362,केदार नि.मा.वि. तुसारेपानी
71,Kailali,कैलाली,2871,निगाली,4,2358,भगवति नि.मा.वि. सायल
71,Kailali,कैलाली,2871,निगाली,7,2364,मोहन्याल मा.वि. निगाली
71,Kailali,कैलाली,2871,निगाली,6,2364,मोहन्याल मा.वि. निगाली
71,Kailali,कैलाली,2871,निगाली,9,2364,मोहन्याल मा.वि. निगाली
71,Kailali,कैलाली,2871,निगाली,8,2364,मोहन्याल मा.वि. निगाली
71,Kailali,कैलाली,2860,मालाखेती,1,2396,ग्वासी उ.मा.वि. मालाखेती
71,Kailali,कैलाली,2860,मालाखेती,3,2400,गाविस भवन चौकीडाडा
71,Kailali,कैलाली,2860,मालाखेती,2,2396,ग्वासी उ.मा.वि. मालाखेती
71,Kailali,कैलाली,2860,मालाखेती,5,10005,शंकर प्रा.वि. मालाखेती
71,Kailali,कैलाली,2860,मालाखेती,4,10005,शंकर प्रा.वि. मालाखेती
71,Kailali,कैलाली,2860,मालाखेती,7,2404,दूर्गालक्ष्मी उ.मा.वि. दहल
71,Kailali,कैलाली,2860,मालाखेती,6,2396,ग्वासी उ.मा.वि. मालाखेती
71,Kailali,कैलाली,2860,मालाखेती,9,2411,राष्ट्रिय मा.वि. वास्कोटा
71,Kailali,कैलाली,2860,मालाखेती,8,2407,कृष्णा नि.मा.वि. तेघरी
