District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
60,Kalikot,कालिकोट,2136,ओदानकु,1,2715,श्री देव नि.मा. बि. ओदा ।
60,Kalikot,कालिकोट,2136,ओदानकु,3,2715,श्री देव नि.मा. बि. ओदा ।
60,Kalikot,कालिकोट,2136,ओदानकु,2,2715,श्री देव नि.मा. बि. ओदा ।
60,Kalikot,कालिकोट,2136,ओदानकु,5,2714,"श्री हिमालय नि. मा.बि. डाडाखोला, डिल्लीकोट"
60,Kalikot,कालिकोट,2136,ओदानकु,4,2717,"श्री डाफे प्रा.बि., नकु ।"
60,Kalikot,कालिकोट,2136,ओदानकु,7,2714,"श्री हिमालय नि. मा.बि. डाडाखोला, डिल्लीकोट"
60,Kalikot,कालिकोट,2136,ओदानकु,6,2714,"श्री हिमालय नि. मा.बि. डाडाखोला, डिल्लीकोट"
60,Kalikot,कालिकोट,2136,ओदानकु,9,2714,"श्री हिमालय नि. मा.बि. डाडाखोला, डिल्लीकोट"
60,Kalikot,कालिकोट,2136,ओदानकु,8,2714,"श्री हिमालय नि. मा.बि. डाडाखोला, डिल्लीकोट"
60,Kalikot,कालिकोट,2133,गेला,1,2722,श्री कालिका मा.बि. गेला ।
60,Kalikot,कालिकोट,2133,गेला,3,2722,श्री कालिका मा.बि. गेला ।
60,Kalikot,कालिकोट,2133,गेला,2,2722,श्री कालिका मा.बि. गेला ।
60,Kalikot,कालिकोट,2133,गेला,5,2720,श्री गाबिस भवन गेला ।
60,Kalikot,कालिकोट,2133,गेला,4,2722,श्री कालिका मा.बि. गेला ।
60,Kalikot,कालिकोट,2133,गेला,7,2720,श्री गाबिस भवन गेला ।
60,Kalikot,कालिकोट,2133,गेला,6,2720,श्री गाबिस भवन गेला ।
60,Kalikot,कालिकोट,2133,गेला,9,2719,श्री राम मा.बि. राम्नीकोटवाडा
60,Kalikot,कालिकोट,2133,गेला,8,2719,श्री राम मा.बि. राम्नीकोटवाडा
60,Kalikot,कालिकोट,2131,कालिका,1,2725,श्री पञ्चकालिका मा.बि. कालिका ।
60,Kalikot,कालिकोट,2131,कालिका,3,2725,श्री पञ्चकालिका मा.बि. कालिका ।
60,Kalikot,कालिकोट,2131,कालिका,2,2725,श्री पञ्चकालिका मा.बि. कालिका ।
60,Kalikot,कालिकोट,2131,कालिका,5,2725,श्री पञ्चकालिका मा.बि. कालिका ।
