District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,11,4331,"महाकाली जनज्योती प्रा.वि. चौकीसोता, भुजेला"
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,10,4322,सिद्धनाथ उ.मा.वि. जिमुवा
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,13,4342,सिद्धनाथ मा.वि. वडैपुर
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,12,4338,"पूर्णा उ.मा.वि. वासखेडा,ऐरी"
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,15,4252,दशरथ नि.मा.वि. निम्वुखेडा
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,14,4344,वैजनाथ नि.मा.वि. बनकट्टी
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,17,4351,महाकाली बाल विधालय मझगाउँ
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,16,4347,नगरपालिका प्रा.वि. वसन्तपुर
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,19,4259,पंचकृत बैजनाथ मा.वि. वागफाँटा
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,18,4254,महेन्द्रनगर उ.मा.वि. कटान
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,18,4256,शैक्षिक तालिम केन्द्र ख कटान
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,1,4244,"प्रगती युवा प्रा.वि. वाराकुण्डा, विष्णुटोल"
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,3,4250,गौरीशंकर नि.मा.वि. नौलाखेत
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,2,4248,"सरस्वती उ.मा.वि. महुलिया, उल्टाखाम"
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,5,4303,सत्यवादी मा.वि. वनगाँउ तिनतारा
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,4,4299,भृकुटी उ.मा.वि. महेन्द्रनगर वजार
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,7,4309,महाकाली जनसेवा उ.मा.वि. हल्दुखाल
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,6,4305,शान्ति निकेतन उ.मा.वि. ऐठपुर
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,9,4318,वैजनाथ सिद्धनाथ मा.वि. मटैना
75,Kanchanpur,कन्चनपुर,3760,भिमदत्त नगरपालिका,8,4314,त्रिभुवन उ.मा.वि.तिलाचौर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,1,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,3,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,2,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,5,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,4,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,7,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,6,3878,गणेश उ.मा.वि. भुर्सा मोहनपुर
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,9,3882,वैजनाथ नि.मा.वि. झिलमिला
75,Kanchanpur,कन्चनपुर,3385,रौतेलीविचवा,8,3882,वैजनाथ नि.मा.वि. झिलमिला
75,Kanchanpur,कन्चनपुर,3368,झलारी,1,4107,धर्मजनता उ.मा.वि. स्टेशनपुर
75,Kanchanpur,कन्चनपुर,3368,झलारी,3,4111,कृष्ण उ.मा.वि. झलारी
75,Kanchanpur,कन्चनपुर,3368,झलारी,2,4107,धर्मजनता उ.मा.वि. स्टेशनपुर
75,Kanchanpur,कन्चनपुर,3368,झलारी,5,4120,असिग्राम मा.वि. सिसैया
75,Kanchanpur,कन्चनपुर,3368,झलारी,4,4116,वैजनाथ नि.मा.वि. पारीफाँटा
75,Kanchanpur,कन्चनपुर,3368,झलारी,7,4111,कृष्ण उ.मा.वि. झलारी
75,Kanchanpur,कन्चनपुर,3368,झलारी,6,4124,वैजनाथ नि.मा.वि. कसरौल
75,Kanchanpur,कन्चनपुर,3368,झलारी,9,4127,सरस्वती मा.वि. अमरपुर
75,Kanchanpur,कन्चनपुर,3368,झलारी,8,4111,कृष्ण उ.मा.वि. झलारी
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,1,3935,भगवानपुर मा.वि. भुडा
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,3,3942,सिद्धेश्वरी मा.वि. शिवनगर
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,2,3938,आधारभुत प्रा.वि. सडकघाट
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,5,3945,कालिका नि.मा.वि. आमबगिया कलकत्ता
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,4,3942,सिद्धेश्वरी मा.वि. शिवनगर
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,7,3949,जनज्योती उ.मा.वि. कलकत्ता
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,6,3949,जनज्योती उ.मा.वि. कलकत्ता
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,9,3954,त्रिभुवन उ.मा.वि. रतनपुर
75,Kanchanpur,कन्चनपुर,3379,रामपुर विलासपुर,8,3951,गोरखनाथ मा.वि. कुण्डा
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,1,3957,सरस्वती जनता मा.वि. वैवाह
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,3,3961,सिद्धनाथ मा.वि. चौफेरी खैरीघाट
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,2,3957,सरस्वती जनता मा.वि. वैवाह
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,5,3968,सिंहपाल नि.मा.वि. चन्दनवस्ती
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,4,3965,रौलेश्वर उ.मा.वि. वेलडाडी
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,7,3968,सिंहपाल नि.मा.वि. चन्दनवस्ती
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,6,3965,रौलेश्वर उ.मा.वि. वेलडाडी
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,9,3971,कालिका प्रा.वि. चन्दनवस्ती
75,Kanchanpur,कन्चनपुर,3381,वेलडाँडी,8,3965,रौलेश्वर उ.मा.वि. वेलडाडी
75,Kanchanpur,कन्चनपुर,3365,दैंजी,1,4198,शारदा उ.मा.वि. दैजी
75,Kanchanpur,कन्चनपुर,3365,दैंजी,3,4200,घटाल नि.मा.वि.बैतडा पोलखरी
75,Kanchanpur,कन्चनपुर,3365,दैंजी,2,4198,शारदा उ.मा.वि. दैजी
75,Kanchanpur,कन्चनपुर,3365,दैंजी,5,4205,"अरनिको इ. स्कुल, भम्काचौराहा"
75,Kanchanpur,कन्चनपुर,3365,दैंजी,4,4202,वालज्योती मा.वि. बैतडा
75,Kanchanpur,कन्चनपुर,3365,दैंजी,7,4213,गणेश नि.मा.वि. रडाहा पिपलथला
75,Kanchanpur,कन्चनपुर,3365,दैंजी,6,4210,वैजनाथ उ.मा.वि. जडेपानी
75,Kanchanpur,कन्चनपुर,3365,दैंजी,9,4216,रत्न नि.मा.वि. चतहरी
75,Kanchanpur,कन्चनपुर,3365,दैंजी,8,4213,गणेश नि.मा.वि. रडाहा पिपलथला
75,Kanchanpur,कन्चनपुर,3241,चांदनी,1,4262,महामाया नि.मा.वि. सैनाचाँदर
75,Kanchanpur,कन्चनपुर,3241,चांदनी,3,4266,चांदनी गाविस भवन कृष्णनगर
75,Kanchanpur,कन्चनपुर,3241,चांदनी,2,4265,शंकरपार्वती मा.वि. देविस्थान
75,Kanchanpur,कन्चनपुर,3241,चांदनी,5,4266,चांदनी गाविस भवन कृष्णनगर
75,Kanchanpur,कन्चनपुर,3241,चांदनी,4,4268,कालिका नि.मा.वि. लठ्ठाघाट
75,Kanchanpur,कन्चनपुर,3241,चांदनी,7,4273,महाकाली आदर्श मा.वि. हल्दुघाट
75,Kanchanpur,कन्चनपुर,3241,चांदनी,6,4271,मालिका प्रा.वि. चांदनी
75,Kanchanpur,कन्चनपुर,3241,चांदनी,9,4265,शंकरपार्वती मा.वि. देविस्थान
75,Kanchanpur,कन्चनपुर,3241,चांदनी,8,4266,चांदनी गाविस भवन कृष्णनगर
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,1,4131,रामेश्वर प्रा.वि. चानादेउ
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,3,4142,जनचेतना प्रा.वि. जाइजला शिविर
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,2,4135,वैजनाथ प्रा.वि. डाँडाजाइ
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,5,4153,सरस्वती प्रा.वि. चित्रपुर
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,4,4149,शिवशक्ति प्र.मा.वि. रामपुर कालागौडी
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,7,4156,हेल्थपोष्टभवन देखतभुली
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,6,4153,सरस्वती प्रा.वि. चित्रपुर
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,9,4160,नन्द मा.वि. देखतभुली
75,Kanchanpur,कन्चनपुर,3374,देखत भुली,8,4156,हेल्थपोष्टभवन देखतभुली
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,1,4094,भानु मा.वि. कञ्ज
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,3,4094,भानु मा.वि. कञ्ज
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,2,4094,भानु मा.वि. कञ्ज
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,5,4097,शंकर प्रा.वि. नन्दगाँउ
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,4,4097,शंकर प्रा.वि. नन्दगाँउ
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,7,4101,सरस्वती मा.वि. छोटिपर्सिया
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,6,4101,सरस्वती मा.वि. छोटिपर्सिया
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,9,4097,शंकर प्रा.वि. नन्दगाँउ
75,Kanchanpur,कन्चनपुर,3359,शंकरपुर,8,4101,सरस्वती मा.वि. छोटिपर्सिया
75,Kanchanpur,कन्चनपुर,3347,कालिका,1,4068,अरनिको नि.मा.वि. अरनिकोवस्ती
75,Kanchanpur,कन्चनपुर,3347,कालिका,3,4071,गोरखा नि.मा.वि. रामवस्ती
75,Kanchanpur,कन्चनपुर,3347,कालिका,2,4068,अरनिको नि.मा.वि. अरनिकोवस्ती
75,Kanchanpur,कन्चनपुर,3347,कालिका,5,4075,सरस्वती उ.मा.वि. मोतिवस्ती
75,Kanchanpur,कन्चनपुर,3347,कालिका,4,4071,गोरखा नि.मा.वि. रामवस्ती
75,Kanchanpur,कन्चनपुर,3347,कालिका,7,4075,सरस्वती उ.मा.वि. मोतिवस्ती
