District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,1,8516,"नेत्र ज्योती उ.मा.वि., सौनहवा"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,3,8514,"राष्ट्रसेवक प्रा.वि., बकौली"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,2,8516,"नेत्र ज्योती उ.मा.वि., सौनहवा"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,5,8516,"नेत्र ज्योती उ.मा.वि., सौनहवा"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,4,8514,"राष्ट्रसेवक प्रा.वि., बकौली"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,7,8514,"राष्ट्रसेवक प्रा.वि., बकौली"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,6,8516,"नेत्र ज्योती उ.मा.वि., सौनहवा"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,9,8516,"नेत्र ज्योती उ.मा.वि., सौनहवा"
47,Kapilvastu,कपिलवस्तु,3580,विद्यानगर,8,8514,"राष्ट्रसेवक प्रा.वि., बकौली"
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,1,8507,"गा.वि.स. भवन, सिर्सिहवा"
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,3,8507,"गा.वि.स. भवन, सिर्सिहवा"
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,2,8507,"गा.वि.स. भवन, सिर्सिहवा"
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,5,8507,"गा.वि.स. भवन, सिर्सिहवा"
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,4,8507,"गा.वि.स. भवन, सिर्सिहवा"
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,7,8510,सिसिहवा प्रा.वि.
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,6,8510,सिसिहवा प्रा.वि.
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,9,8510,सिसिहवा प्रा.वि.
47,Kapilvastu,कपिलवस्तु,3569,सिर्सिहवा,8,8510,सिसिहवा प्रा.वि.
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,1,7674,"गा.वि.स.,भवन हरनामपुर"
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,3,10029,चतुरभूजी निमावि वनकसिया
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,2,7674,"गा.वि.स.,भवन हरनामपुर"
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,5,10029,चतुरभूजी निमावि वनकसिया
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,4,10029,चतुरभूजी निमावि वनकसिया
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,7,7676,सरस्वती नि.मा.वि. कर्महवा
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,6,7676,सरस्वती नि.मा.वि. कर्महवा
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,9,7676,सरस्वती नि.मा.वि. कर्महवा
47,Kapilvastu,कपिलवस्तु,3445,हरनामपुर,8,7676,सरस्वती नि.मा.वि. कर्महवा
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,1,8082,"लक्ष्मणदास नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,3,8047,"झिन्ना नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,2,8047,"झिन्ना नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,5,8082,"लक्ष्मणदास नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,4,8082,"लक्ष्मणदास नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,7,8047,"झिन्ना नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,6,8082,"लक्ष्मणदास नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,9,8047,"झिन्ना नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3498,बलरमवापुर,8,8047,"झिन्ना नि.मा.वि., बलरमवापुर"
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,1,9929,गा.बि.स भवन -२
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,3,9929,गा.बि.स भवन -२
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,2,9929,गा.बि.स भवन -२
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,5,9930,"शिबभारी उ.मा.बि., शिवभारी"
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,4,9929,गा.बि.स भवन -२
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,7,9930,"शिबभारी उ.मा.बि., शिवभारी"
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,6,9930,"शिबभारी उ.मा.बि., शिवभारी"
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,9,8043,"दशरथचन्द्र प्रा.वि., औरहवा"
47,Kapilvastu,कपिलवस्तु,3496,सिसवा,8,8043,"दशरथचन्द्र प्रा.वि., औरहवा"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,1,8461,"गा.वि.स. भवन, बेदमङ"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,3,8461,"गा.वि.स. भवन, बेदमङ"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,2,8461,"गा.वि.स. भवन, बेदमङ"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,5,8461,"गा.वि.स. भवन, बेदमङ"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,4,8461,"गा.वि.स. भवन, बेदमङ"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,7,8463,"ने.रा.प्रा.वि., ठकुरापुर"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,6,8461,"गा.वि.स. भवन, बेदमङ"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,9,8463,"ने.रा.प्रा.वि., ठकुरापुर"
47,Kapilvastu,कपिलवस्तु,3548,भगवानपुर,8,8463,"ने.रा.प्रा.वि., ठकुरापुर"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,1,7971,"श्री पाँच रत्नराज्यलक्ष्मी प्रा.वि., कुशहवा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,3,7971,"श्री पाँच रत्नराज्यलक्ष्मी प्रा.वि., कुशहवा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,2,7971,"श्री पाँच रत्नराज्यलक्ष्मी प्रा.वि., कुशहवा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,5,7971,"श्री पाँच रत्नराज्यलक्ष्मी प्रा.वि., कुशहवा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,4,7971,"श्री पाँच रत्नराज्यलक्ष्मी प्रा.वि., कुशहवा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,7,7984,"राम जानकी प्रा.वि., लुङ्गडा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,6,7971,"श्री पाँच रत्नराज्यलक्ष्मी प्रा.वि., कुशहवा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,9,7984,"राम जानकी प्रा.वि., लुङ्गडा"
47,Kapilvastu,कपिलवस्तु,3494,कुशहवा,8,7984,"राम जानकी प्रा.वि., लुङ्गडा"
47,Kapilvastu,कपिलवस्तु,3492,कजरहवा,1,7960,"रा.प्रा.वि., कजरहवा"
47,Kapilvastu,कपिलवस्तु,3492,कजरहवा,3,7960,"रा.प्रा.वि., कजरहवा"
47,Kapilvastu,कपिलवस्तु,3492,कजरहवा,2,7960,"रा.प्रा.वि., कजरहवा"
47,Kapilvastu,कपिलवस्तु,3492,कजरहवा,5,7964,"गा.वि.स. भवन, कजरहवा"
