District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,11,1962,"शिवशक्ति उ.मा.वि., फुलबारी"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,10,1959,"कुडहर प्रा.वि., कुडहर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,10,1958,"कालिका उच्च मा.वि., रामबजार"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,13,1977,"भद्रकाली उ.मा.वि., कुंडहर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,13,1972,"वडा समितिको कार्यालय, कुंडहर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,13,1971,"मौला इस्लामिक सामुदायिक प्रा.वि., कुडहर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,12,1964,"सितलादेवी सामुदायिक मा.वि., माटेपानी"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,12,1966,"अमरसिंह नमुना उ.मा.वि., रामघाट"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,12,1967,"सरस्वती नि.मा.वि., उपकारमार्ग"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,15,1986,"वडा समितिको कार्यालय, कोलपाटन"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,15,1987,"सिद्ध उ.मा.वि., रामबजार"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,14,1981,"रामेश्वरी मा.वि., मझेरीपाटनर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,17,2051,"छोरेपाटन उ.मा.वि., छोरेपाटन"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,17,2055,"जानकी नि.मा.वि., महतगौडा"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,17,2049,"पार्दि उ.मा.वि., पार्दि"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,16,1990,"दिपज्योती प्रा.वि., दिप"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,16,1992,"चण्डिका प्रा.वि., बाटुलेचौर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,16,1994,"विन्धवासिनी उ.मा.वि., बाटुलेचौर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,16,1997,"विन्ध्यवासिनी मा.वि., बाटुलेचौर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,18,2002,"शुक्रराज बलभद्र उ.मा.वि., छिनेडाँडा"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,1,1949,"राष्ट्रिय उच्च मा.वि., टुडिखेल"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,1,1951,"बाल ज्योती प्रा.वि., बगर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,1,1950,"संस्कृत मा.वि., बगर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,1,1952,"रत्ना नि.मा.वि., कसेरी"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,3,1956,"कन्या मा.वि., नदिपुर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,3,1953,"ज्ञानभूमी मा.वि., नदिपुर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,2,2088,"विन्ध्यवासिनी उ.मा.वि., वरपाटन"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,2,2087,"वडा समितिको कार्यालय, मिरुवा"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,5,2026,"वडा समितिको कार्यालय, मालेपाटन"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,5,2028,"धर्मस्थली नि.मा.वि., प्रस्याङ"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,5,2023,"वाराही उ.मा.वि., मालेपाटन"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,4,2021,"नविन उ.मा.वि., गैरापाटन"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,7,2036,"श्रीकृष्ण मा.वि., मासवार"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,7,2038,"वडा समितिको कार्यालय, रत्नचोक"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,6,2034,"वडा समितिको कार्यालय, बैदाम"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,6,2032,"अन्नपुर्ण प्रा.वि., बैदाम"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,6,2031,"तालवराही उ. मा.वि., बैदाम"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,9,2046,"नवप्रभात मा.वि., तुल्सिघाँट"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,9,2045,"महेन्द्र उ.मा.वि., नयांबजार"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,9,2048,"साहारा बाल प्रा.वि., बसपार्क"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,8,2042,"राम नि.मा.वि., सिमलचौर"
39,Kaski,कास्की,1613,पोखरा उप महानगरपालिका,8,2040,"जनप्रिय उ.मा.वि., सिमलचौर"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,11,1937,"अरूणोज्योती प्रा.वि., सुन्दरीडाँडा"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,11,1936,"अमरसिद्ध नमूना उ.मा.वि., पचभैया"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,10,1935,"आनन्दज्योती उ.मा.वि., बेगनास"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,13,1940,"गोगन उ.मा.वि., तल्लो गगनगौडा"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,13,1941,"ब्रम्हरुपा उ.मा.वि., जनताको चौतारा"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,12,10150,"वडा समितिको कार्यालय, पावर हाउस"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,12,1938,"त्रिभुवन शान्ति उ.मा.वि., खुदी"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,12,1939,"सरस्वती प्रा.वि., ढु‌गेपाटन"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,15,1943,"चन्द्रज्योती प्रा.वि., अटेनिडाँडा"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,14,1942,"सिता प्रा.वि., चैनपुर"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,1,1874,"पटन्यारी प्रा.वि., पटनेरी"
39,Kaski,कास्की,3685,लेखनाथ नगरपालिका,1,1872,"नवदुर्गा प्रा.वि., सैंनिकवस्ती"
