District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,1,8995,भैरव पाटी भैरवस्थान
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,3,8995,भैरव पाटी भैरवस्थान
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,2,8995,भैरव पाटी भैरवस्थान
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,5,9002,नागार्जुन माध्यमिक विद्यालय . गोलढुंगा
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,4,9002,नागार्जुन माध्यमिक विद्यालय . गोलढुंगा
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,7,8995,भैरव पाटी भैरवस्थान
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,6,9002,नागार्जुन माध्यमिक विद्यालय . गोलढुंगा
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,9,9002,नागार्जुन माध्यमिक विद्यालय . गोलढुंगा
26,Kathmandu,काठमाण्डौ,880,गोलढुङ्गा,8,9002,नागार्जुन माध्यमिक विद्यालय . गोलढुंगा
26,Kathmandu,काठमाण्डौ,887,मनमैजु,1,8859,नेपाल राष्ट्रिय उच्च माध्यमिक विद्यालय. नेपालटार मनमैजु
26,Kathmandu,काठमाण्डौ,887,मनमैजु,3,8863,मनमैजु माध्यमिक विद्यालय . मनमैजु मन्दिर
26,Kathmandu,काठमाण्डौ,887,मनमैजु,2,8871,मानसिह धर्म उ. मा.वि. एश्वर्यनगर
26,Kathmandu,काठमाण्डौ,887,मनमैजु,5,8871,मानसिह धर्म उ. मा.वि. एश्वर्यनगर
26,Kathmandu,काठमाण्डौ,887,मनमैजु,4,8871,मानसिह धर्म उ. मा.वि. एश्वर्यनगर
26,Kathmandu,काठमाण्डौ,887,मनमैजु,7,8863,मनमैजु माध्यमिक विद्यालय . मनमैजु मन्दिर
26,Kathmandu,काठमाण्डौ,887,मनमैजु,6,8863,मनमैजु माध्यमिक विद्यालय . मनमैजु मन्दिर
26,Kathmandu,काठमाण्डौ,887,मनमैजु,9,8859,नेपाल राष्ट्रिय उच्च माध्यमिक विद्यालय. नेपालटार मनमैजु
26,Kathmandu,काठमाण्डौ,887,मनमैजु,8,8866,गाविस भवन मनमैजु डाडागाउ
26,Kathmandu,काठमाण्डौ,3638,किर्तिपुर नगरपालिका,11,9436,देउखेल पांगा
26,Kathmandu,काठमाण्डौ,3638,किर्तिपुर नगरपालिका,10,9433,वडा कार्यालय भवन लाछीचौक पांगा
26,Kathmandu,काठमाण्डौ,3638,किर्तिपुर नगरपालिका,13,9445,गरुडस्थान परिसर चोभार
26,Kathmandu,काठमाण्डौ,3638,किर्तिपुर नगरपालिका,12,9439,जनसेवा उ. मा.वि. पांगा
26,Kathmandu,काठमाण्डौ,3638,किर्तिपुर नगरपालिका,15,9457,जल विनायक प्रा.वि. पांडेछाप
