District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,1,9064,बुद्ध मा.बि. धाप्ले
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,3,9064,बुद्ध मा.बि. धाप्ले
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,2,9064,बुद्ध मा.बि. धाप्ले
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,5,9064,बुद्ध मा.बि. धाप्ले
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,4,9064,बुद्ध मा.बि. धाप्ले
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,7,9056,"सरस्वती नि. मा.बि., मिल्चे"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,6,9056,"सरस्वती नि. मा.बि., मिल्चे"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,9,9056,"सरस्वती नि. मा.बि., मिल्चे"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1304,मिल्चे,8,9056,"सरस्वती नि. मा.बि., मिल्चे"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,1,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,3,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,2,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,5,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,4,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,7,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,6,9065,भृकुटी नि.मा.वि. चित्रेसौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,9,9069,कुमारी मा.वि. जगथली
29,Kavrepalanchowk,काभ्रेपलान्चोक,1306,डाडागाउं,8,9069,कुमारी मा.वि. जगथली
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,1,8877,पोक्रा मा.वि. भदौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,3,8877,पोक्रा मा.वि. भदौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,2,8877,पोक्रा मा.वि. भदौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,5,8877,पोक्रा मा.वि. भदौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,4,8877,पोक्रा मा.वि. भदौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,7,8879,गणेश मा.वि. शिखरपुर
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,6,8877,पोक्रा मा.वि. भदौरे
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,9,8879,गणेश मा.वि. शिखरपुर
29,Kavrepalanchowk,काभ्रेपलान्चोक,1268,भिमखोरी,8,8879,गणेश मा.वि. शिखरपुर
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,1,9038,"हनुमान उ.मा.वि. भवन, हनुमानखर्क"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,3,9038,"हनुमान उ.मा.वि. भवन, हनुमानखर्क"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,2,9038,"हनुमान उ.मा.वि. भवन, हनुमानखर्क"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,5,9042,कालीदेवी मा.वि. डांडागाँउ
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,4,9038,"हनुमान उ.मा.वि. भवन, हनुमानखर्क"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,7,9042,कालीदेवी मा.वि. डांडागाँउ
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,6,9042,कालीदेवी मा.वि. डांडागाँउ
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,9,9038,"हनुमान उ.मा.वि. भवन, हनुमानखर्क"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1300,पात्लेखेत,8,9042,कालीदेवी मा.वि. डांडागाँउ
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,1,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,3,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,2,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,5,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,4,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,7,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,6,9050,"बाल उज्वल मा.वि., अधिकारीथुम"
29,Kavrepalanchowk,काभ्रेपलान्चोक,1302,पुरानागाउँ दाप्चा,9,9054,च्यामथुम्का पाटी
