District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
12,Khotang,खोटाङ,605,डिकुवा,1,5207,दाम्ली मा.वि. भवन
12,Khotang,खोटाङ,605,डिकुवा,3,5207,दाम्ली मा.वि. भवन
12,Khotang,खोटाङ,605,डिकुवा,2,5207,दाम्ली मा.वि. भवन
12,Khotang,खोटाङ,605,डिकुवा,5,5207,दाम्ली मा.वि. भवन
12,Khotang,खोटाङ,605,डिकुवा,4,5207,दाम्ली मा.वि. भवन
12,Khotang,खोटाङ,605,डिकुवा,7,5210,"कालिका नि.मा.वि., छोम्पाङ"
12,Khotang,खोटाङ,605,डिकुवा,6,5210,"कालिका नि.मा.वि., छोम्पाङ"
12,Khotang,खोटाङ,605,डिकुवा,9,5210,"कालिका नि.मा.वि., छोम्पाङ"
12,Khotang,खोटाङ,605,डिकुवा,8,5210,"कालिका नि.मा.वि., छोम्पाङ"
12,Khotang,खोटाङ,623,धितुङ,1,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,3,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,2,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,5,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,4,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,7,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,6,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,9,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,623,धितुङ,8,5239,"गा.वि.स. भवन, धितुङ"
12,Khotang,खोटाङ,607,बाहुनीडाडा,1,5214,"मालिका देवी नि.मा.वि., कदुवा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,3,5214,"मालिका देवी नि.मा.वि., कदुवा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,2,5214,"मालिका देवी नि.मा.वि., कदुवा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,5,5214,"मालिका देवी नि.मा.वि., कदुवा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,4,5218,"कालिका प्रा.वि., झापा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,7,5218,"कालिका प्रा.वि., झापा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,6,5218,"कालिका प्रा.वि., झापा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,9,5218,"कालिका प्रा.वि., झापा"
12,Khotang,खोटाङ,607,बाहुनीडाडा,8,5218,"कालिका प्रा.वि., झापा"
12,Khotang,खोटाङ,3971,सावाकटहरे,1,5625,"सावानागी नि.मा.वा., सावानागी"
12,Khotang,खोटाङ,3971,सावाकटहरे,3,5625,"सावानागी नि.मा.वा., सावानागी"
12,Khotang,खोटाङ,3971,सावाकटहरे,2,5625,"सावानागी नि.मा.वा., सावानागी"
12,Khotang,खोटाङ,3971,सावाकटहरे,5,5625,"सावानागी नि.मा.वा., सावानागी"
12,Khotang,खोटाङ,3971,सावाकटहरे,4,5625,"सावानागी नि.मा.वा., सावानागी"
12,Khotang,खोटाङ,3971,सावाकटहरे,7,5622,"सावाकाली मा.वि., कटहरे मयुरनाच्ने"
12,Khotang,खोटाङ,3971,सावाकटहरे,6,5622,"सावाकाली मा.वि., कटहरे मयुरनाच्ने"
12,Khotang,खोटाङ,3971,सावाकटहरे,9,5622,"सावाकाली मा.वि., कटहरे मयुरनाच्ने"
12,Khotang,खोटाङ,3971,सावाकटहरे,8,5622,"सावाकाली मा.वि., कटहरे मयुरनाच्ने"
12,Khotang,खोटाङ,627,अर्खौले,1,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,3,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,2,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,5,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,4,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,7,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,6,5240,"सरस्वती उ.मा.वि., अर्खौले"
12,Khotang,खोटाङ,627,अर्खौले,9,5241,"कालिका प्रा.वि., नवलपुर"
12,Khotang,खोटाङ,627,अर्खौले,8,5241,"कालिका प्रा.वि., नवलपुर"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,1,5193,"ज्योति प्रा.वि., आहाल डांडा"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,3,5193,"ज्योति प्रा.वि., आहाल डांडा"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,2,5193,"ज्योति प्रा.वि., आहाल डांडा"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,5,5188,"शिशु मा.वि.,व राईगाउँ"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,4,5188,"शिशु मा.वि.,व राईगाउँ"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,7,5188,"शिशु मा.वि.,व राईगाउँ"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,6,5188,"शिशु मा.वि.,व राईगाउँ"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,9,5188,"शिशु मा.वि.,व राईगाउँ"
12,Khotang,खोटाङ,600,रिदुङमहेश्वरी,8,5188,"शिशु मा.वि.,व राईगाउँ"
12,Khotang,खोटाङ,604,पाथेका,1,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,604,पाथेका,3,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,604,पाथेका,2,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,604,पाथेका,5,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,604,पाथेका,4,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,604,पाथेका,7,5202,"जालपा नि.मा.वि., सिरुवास"
12,Khotang,खोटाङ,604,पाथेका,6,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,604,पाथेका,9,5202,"जालपा नि.मा.वि., सिरुवास"
12,Khotang,खोटाङ,604,पाथेका,8,5196,सरस्वती मा.वि.
12,Khotang,खोटाङ,667,खिदिमा,1,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,3,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,2,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,5,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,4,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,7,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,6,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,9,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,667,खिदिमा,8,5335,"सिद्धेश्वरी मा.वि., खिदिमा"
12,Khotang,खोटाङ,665,च्यानडाँडा,1,5325,"जालपा नि.मा.वि., सेखुवा"
12,Khotang,खोटाङ,665,च्यानडाँडा,3,5328,राधाकृष्णा उ.मा.वि.
12,Khotang,खोटाङ,665,च्यानडाँडा,2,5325,"जालपा नि.मा.वि., सेखुवा"
12,Khotang,खोटाङ,665,च्यानडाँडा,5,5328,राधाकृष्णा उ.मा.वि.
12,Khotang,खोटाङ,665,च्यानडाँडा,4,5328,राधाकृष्णा उ.मा.वि.
12,Khotang,खोटाङ,665,च्यानडाँडा,7,5333,"चण्डेश्वरी नि.मा.वि., डांडागाउँ"
12,Khotang,खोटाङ,665,च्यानडाँडा,6,5328,राधाकृष्णा उ.मा.वि.
