District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,1,8540,कृष्ण नि.मा.बि. किटाचौर
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,3,8540,कृष्ण नि.मा.बि. किटाचौर
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,2,8540,कृष्ण नि.मा.बि. किटाचौर
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,5,8541,फुल्चोकी प्रा.वि. महादेवडाँडा
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,4,8540,कृष्ण नि.मा.बि. किटाचौर
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,7,8541,फुल्चोकी प्रा.वि. महादेवडाँडा
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,6,8543,चापाखर्क प्रा.बि.
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,9,8541,फुल्चोकी प्रा.वि. महादेवडाँडा
28,Lalitpur,ललीतपुर,1087,बिशंखुनारायण,8,8541,फुल्चोकी प्रा.वि. महादेवडाँडा
28,Lalitpur,ललीतपुर,1224,धापाखेल,1,8660,"श्री कृष्ण उ.मा.वि, धापाखेल"
28,Lalitpur,ललीतपुर,1224,धापाखेल,3,8660,"श्री कृष्ण उ.मा.वि, धापाखेल"
28,Lalitpur,ललीतपुर,1224,धापाखेल,2,8660,"श्री कृष्ण उ.मा.वि, धापाखेल"
28,Lalitpur,ललीतपुर,1224,धापाखेल,5,8662,जलपा मा.वि धापाखेल
28,Lalitpur,ललीतपुर,1224,धापाखेल,4,8663,"गा.वि.स. भवन, धापाखेल"
28,Lalitpur,ललीतपुर,1224,धापाखेल,7,8662,जलपा मा.वि धापाखेल
28,Lalitpur,ललीतपुर,1224,धापाखेल,6,8662,जलपा मा.वि धापाखेल
28,Lalitpur,ललीतपुर,1224,धापाखेल,9,8663,"गा.वि.स. भवन, धापाखेल"
28,Lalitpur,ललीतपुर,1224,धापाखेल,8,8663,"गा.वि.स. भवन, धापाखेल"
28,Lalitpur,ललीतपुर,1082,गोदामचौर,1,8535,विसंखु नारायण मा.वि गोदामचौर
28,Lalitpur,ललीतपुर,1082,गोदामचौर,3,8535,विसंखु नारायण मा.वि गोदामचौर
28,Lalitpur,ललीतपुर,1082,गोदामचौर,2,8535,विसंखु नारायण मा.वि गोदामचौर
28,Lalitpur,ललीतपुर,1082,गोदामचौर,5,8537,"गा.वि.स. भवन, गोदामचौर"
28,Lalitpur,ललीतपुर,1082,गोदामचौर,4,8537,"गा.वि.स. भवन, गोदामचौर"
28,Lalitpur,ललीतपुर,1082,गोदामचौर,7,8537,"गा.वि.स. भवन, गोदामचौर"
28,Lalitpur,ललीतपुर,1082,गोदामचौर,6,8537,"गा.वि.स. भवन, गोदामचौर"
