District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,1,1594,"बौद्धमिलन प्रा.वि., बाख्रेजगत"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,3,1594,"बौद्धमिलन प्रा.वि., बाख्रेजगत"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,2,1594,"बौद्धमिलन प्रा.वि., बाख्रेजगत"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,5,1597,"अन्नपूर्ण मा.वि., नाल्मा"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,4,1597,"अन्नपूर्ण मा.वि., नाल्मा"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,7,1597,"अन्नपूर्ण मा.वि., नाल्मा"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,6,1597,"अन्नपूर्ण मा.वि., नाल्मा"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,9,1597,"अन्नपूर्ण मा.वि., नाल्मा"
38,Lamjung,लम्जुङ्ग,1482,नाल्मा,8,1597,"अन्नपूर्ण मा.वि., नाल्मा"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,1,1579,"शारदा मा.वि., मालिङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,3,1579,"शारदा मा.वि., मालिङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,2,1579,"शारदा मा.वि., मालिङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,5,1579,"शारदा मा.वि., मालिङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,4,1579,"शारदा मा.वि., मालिङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,7,1582,"शैलमन्दिर प्रा.वि., मालिङ-नौ शैलुङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,6,1579,"शारदा मा.वि., मालिङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,9,1582,"शैलमन्दिर प्रा.वि., मालिङ-नौ शैलुङ"
38,Lamjung,लम्जुङ्ग,1480,मालिङ,8,1582,"शैलमन्दिर प्रा.वि., मालिङ-नौ शैलुङ"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,1,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,3,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,2,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,5,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,4,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,7,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,6,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,9,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1487,उत्तरकन्या,8,1613,"घलेउत्तर कन्या मा.वि., वगुम"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,1,1602,"हिमालय मा.वि., सिङ्दी"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,3,1602,"हिमालय मा.वि., सिङ्दी"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,2,1602,"हिमालय मा.वि., सिङ्दी"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,5,1606,"पसगाँउ ठांटी मा.वि., पसगाँउ"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,4,1602,"हिमालय मा.वि., सिङ्दी"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,7,1606,"पसगाँउ ठांटी मा.वि., पसगाँउ"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,6,1606,"पसगाँउ ठांटी मा.वि., पसगाँउ"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,9,1606,"पसगाँउ ठांटी मा.वि., पसगाँउ"
38,Lamjung,लम्जुङ्ग,1484,पसगाउँ,8,1606,"पसगाँउ ठांटी मा.वि., पसगाँउ"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,1,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,3,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,2,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,5,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,4,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,7,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,6,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,9,1622,"भविष्य निर्माण मा.वि., पैह्राचौर"
38,Lamjung,लम्जुङ्ग,1489,भोटेओडार,8,1617,"भक्तिनमुना उ.मा.वि., वालुने"
38,Lamjung,लम्जुङ्ग,1439,विचौर,1,1319,"वागेश्वरी मा.वि.विचौर, ठाटीबजार"
38,Lamjung,लम्जुङ्ग,1439,विचौर,3,1319,"वागेश्वरी मा.वि.विचौर, ठाटीबजार"
38,Lamjung,लम्जुङ्ग,1439,विचौर,2,1319,"वागेश्वरी मा.वि.विचौर, ठाटीबजार"
38,Lamjung,लम्जुङ्ग,1439,विचौर,5,1319,"वागेश्वरी मा.वि.विचौर, ठाटीबजार"
38,Lamjung,लम्जुङ्ग,1439,विचौर,4,1319,"वागेश्वरी मा.वि.विचौर, ठाटीबजार"
38,Lamjung,लम्जुङ्ग,1439,विचौर,7,1321,"हिमालय नि.मा.वि.,  बिचौर भुम्लीचोक"
38,Lamjung,लम्जुङ्ग,1439,विचौर,6,1319,"वागेश्वरी मा.वि.विचौर, ठाटीबजार"
38,Lamjung,लम्जुङ्ग,1439,विचौर,9,1321,"हिमालय नि.मा.वि.,  बिचौर भुम्लीचोक"
38,Lamjung,लम्जुङ्ग,1439,विचौर,8,1321,"हिमालय नि.मा.वि.,  बिचौर भुम्लीचोक"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,1,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,3,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,2,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,5,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,4,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,7,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,6,1646,"विद्याज्योती उ.मा.वि., खहरे"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,9,1649,"सुन्दरीदेवी प्रा.वि., बाघेडाँडा"
38,Lamjung,लम्जुङ्ग,1503,तार्कु,8,1649,"सुन्दरीदेवी प्रा.वि., बाघेडाँडा"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,1,1676,"मालिका नि.मा.वि., ढोपहरे"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,3,1676,"मालिका नि.मा.वि., ढोपहरे"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,2,1676,"मालिका नि.मा.वि., ढोपहरे"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,5,1680,"भैरवकाली उ.मा.वि., दुईपिप्ले"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,4,1676,"मालिका नि.मा.वि., ढोपहरे"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,7,1680,"भैरवकाली उ.मा.वि., दुईपिप्ले"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,6,1680,"भैरवकाली उ.मा.वि., दुईपिप्ले"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,9,1680,"भैरवकाली उ.मा.वि., दुईपिप्ले"
38,Lamjung,लम्जुङ्ग,1514,रम्घा,8,1680,"भैरवकाली उ.मा.वि., दुईपिप्ले"
38,Lamjung,लम्जुङ्ग,1546,वाग्रे,1,1698,"कल्याण मा.वि., बाग्रेवेसी"
38,Lamjung,लम्जुङ्ग,1546,वाग्रे,3,1698,"कल्याण मा.वि., बाग्रेवेसी"
