District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
21,Mahotari,महोत्तरी,740,श्रीपुर,1,5886,ने रा नि .मा. वि. कटुधार
21,Mahotari,महोत्तरी,740,श्रीपुर,3,5894,सोनफी दशै उ .मा.वि. श्रीपुर
21,Mahotari,महोत्तरी,740,श्रीपुर,2,5890,"गाविस भवन,श्रीपुर"
21,Mahotari,महोत्तरी,740,श्रीपुर,5,5894,सोनफी दशै उ .मा.वि. श्रीपुर
21,Mahotari,महोत्तरी,740,श्रीपुर,4,5894,सोनफी दशै उ .मा.वि. श्रीपुर
21,Mahotari,महोत्तरी,740,श्रीपुर,7,5886,ने रा नि .मा. वि. कटुधार
21,Mahotari,महोत्तरी,740,श्रीपुर,6,5894,सोनफी दशै उ .मा.वि. श्रीपुर
21,Mahotari,महोत्तरी,740,श्रीपुर,9,5898,महारानीस्थान कविलासा
21,Mahotari,महोत्तरी,740,श्रीपुर,8,5898,महारानीस्थान कविलासा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,1,5324,प्रावि भ्रमरपुरा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,3,5324,प्रावि भ्रमरपुरा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,2,5324,प्रावि भ्रमरपुरा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,5,5327,राजदेव जमावि भ्रमरपुरा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,4,5327,राजदेव जमावि भ्रमरपुरा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,7,5329,राप्रावि कविरगामा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,6,5327,राजदेव जमावि भ्रमरपुरा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,9,5329,राप्रावि कविरगामा
21,Mahotari,महोत्तरी,622,भ्रमरपुरा,8,5329,राप्रावि कविरगामा
21,Mahotari,महोत्तरी,593,धर्मपुर,1,5230,सरयुग आशाराम निमावि धर्मपुर
