District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,1,7876,गाविस भवन
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,3,7876,गाविस भवन
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,2,7876,गाविस भवन
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,5,7880,कालिदेबि नि .मा.वि.. सिमात
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,4,7876,गाविस भवन
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,7,7886,श्री प्रा.वि. कोलखेप
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,6,7886,श्री प्रा.वि. कोलखेप
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,9,7886,श्री प्रा.वि. कोलखेप
31,Makwanpur,मकवानपुर,1166,ठिङ्गन,8,7886,श्री प्रा.वि. कोलखेप
31,Makwanpur,मकवानपुर,1167,मन्थली,1,7892,शंकर नि.मा.वि. तिनभंगाले
31,Makwanpur,मकवानपुर,1167,मन्थली,3,7892,शंकर नि.मा.वि. तिनभंगाले
31,Makwanpur,मकवानपुर,1167,मन्थली,2,7892,शंकर नि.मा.वि. तिनभंगाले
31,Makwanpur,मकवानपुर,1167,मन्थली,5,7892,शंकर नि.मा.वि. तिनभंगाले
31,Makwanpur,मकवानपुर,1167,मन्थली,4,7892,शंकर नि.मा.वि. तिनभंगाले
31,Makwanpur,मकवानपुर,1167,मन्थली,7,7894,प्रसिद्ध मा.वि. मन्थली
31,Makwanpur,मकवानपुर,1167,मन्थली,6,7894,प्रसिद्ध मा.वि. मन्थली
31,Makwanpur,मकवानपुर,1167,मन्थली,9,7894,प्रसिद्ध मा.वि. मन्थली
31,Makwanpur,मकवानपुर,1167,मन्थली,8,7894,प्रसिद्ध मा.वि. मन्थली
31,Makwanpur,मकवानपुर,1475,गोगने,1,8371,गाविस भवन
31,Makwanpur,मकवानपुर,1475,गोगने,3,8371,गाविस भवन
31,Makwanpur,मकवानपुर,1475,गोगने,2,8371,गाविस भवन
31,Makwanpur,मकवानपुर,1475,गोगने,5,8372,सुन्दरी देवि नि.मा.वि. गोलढुङ्गा
31,Makwanpur,मकवानपुर,1475,गोगने,4,8371,गाविस भवन
31,Makwanpur,मकवानपुर,1475,गोगने,7,8373,व्यास मा.वि. पकनी
31,Makwanpur,मकवानपुर,1475,गोगने,6,8372,सुन्दरी देवि नि.मा.वि. गोलढुङ्गा
31,Makwanpur,मकवानपुर,1475,गोगने,9,8373,व्यास मा.वि. पकनी
31,Makwanpur,मकवानपुर,1475,गोगने,8,8373,व्यास मा.वि. पकनी
31,Makwanpur,मकवानपुर,1168,सुकौरा,1,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,3,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,2,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,5,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,4,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,7,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,6,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,9,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1168,सुकौरा,8,8202,जनता मा.वि. सुकौरा
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,1,8207,शारदा उ. मा.वि. धादिङ
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,3,8207,शारदा उ. मा.वि. धादिङ
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,2,8207,शारदा उ. मा.वि. धादिङ
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,5,8207,शारदा उ. मा.वि. धादिङ
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,4,8213,जनक मा.वि. आमभन्ज्याङ
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,7,8207,शारदा उ. मा.वि. धादिङ
31,Makwanpur,मकवानपुर,1169,आमभञ्ज्याङ,6,8213,जनक मा.वि. आमभन्ज्याङ
