District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
37,Manang,मनाङ्ग,3603,मनाङ,1,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,3,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,2,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,5,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,4,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,7,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,6,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,9,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3603,मनाङ,8,1140,"अन्नपुर्ण मा.वि. भवन, मनाङ"
37,Manang,मनाङ्ग,3602,भ्राका,1,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,3,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,2,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,5,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,4,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,7,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,6,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,9,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3602,भ्राका,8,1136,"भ्राका प्रा.वि. भवन, भ्राका"
37,Manang,मनाङ्ग,3601,पिसाङ,1,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,3,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,2,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,5,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,4,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,7,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,6,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,9,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3601,पिसाङ,8,1134,"पिसाङ प्रा.वि. भवन, पिसाङ"
37,Manang,मनाङ्ग,3600,घ्यारू,1,1115,"घ्यारु प्रा.वि., घ्यारु"
37,Manang,मनाङ्ग,3600,घ्यारू,3,1115,"घ्यारु प्रा.वि., घ्यारु"
37,Manang,मनाङ्ग,3600,घ्यारू,2,1115,"घ्यारु प्रा.वि., घ्यारु"
37,Manang,मनाङ्ग,3600,घ्यारू,5,1115,"घ्यारु प्रा.वि., घ्यारु"
37,Manang,मनाङ्ग,3600,घ्यारू,4,1115,"घ्यारु प्रा.वि., घ्यारु"
37,Manang,मनाङ्ग,3600,घ्यारू,7,1115,"घ्यारु प्रा.वि., घ्यारु"
37,Manang,मनाङ्ग,3600,घ्यारू,6,1115,"घ्यारु प्रा.वि., घ्यारु"
