District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
9,Morang,मोरङ,151,सोराभाग,1,5316,शारदा मा.वि. कर्सिया
9,Morang,मोरङ,151,सोराभाग,3,5316,शारदा मा.वि. कर्सिया
9,Morang,मोरङ,151,सोराभाग,2,5316,शारदा मा.वि. कर्सिया
9,Morang,मोरङ,151,सोराभाग,5,5332,शिवशक्ति उ.मा.वि. सोरभागटोल
9,Morang,मोरङ,151,सोराभाग,4,5332,शिवशक्ति उ.मा.वि. सोरभागटोल
9,Morang,मोरङ,151,सोराभाग,7,5338,धामो नि मा.वि. वेतौना
9,Morang,मोरङ,151,सोराभाग,6,5332,शिवशक्ति उ.मा.वि. सोरभागटोल
9,Morang,मोरङ,151,सोराभाग,9,5338,धामो नि मा.वि. वेतौना
9,Morang,मोरङ,151,सोराभाग,8,5338,धामो नि मा.वि. वेतौना
9,Morang,मोरङ,199,झोराहाट,1,5446,गाविस भवन झोराहाटबजार
9,Morang,मोरङ,199,झोराहाट,3,5446,गाविस भवन झोराहाटबजार
9,Morang,मोरङ,199,झोराहाट,2,5442,सरस्वती उ.मा.वि. झोराहाटचोक
9,Morang,मोरङ,199,झोराहाट,5,5446,गाविस भवन झोराहाटबजार
9,Morang,मोरङ,199,झोराहाट,4,5446,गाविस भवन झोराहाटबजार
9,Morang,मोरङ,199,झोराहाट,7,5442,सरस्वती उ.मा.वि. झोराहाटचोक
9,Morang,मोरङ,199,झोराहाट,6,5446,गाविस भवन झोराहाटबजार
9,Morang,मोरङ,199,झोराहाट,9,5442,सरस्वती उ.मा.वि. झोराहाटचोक
9,Morang,मोरङ,199,झोराहाट,8,5442,सरस्वती उ.मा.वि. झोराहाटचोक
9,Morang,मोरङ,157,जाँते,1,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,3,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,2,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,5,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,4,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,7,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,6,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,9,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,157,जाँते,8,5875,जाँते मा.वि. मंगलवारे
9,Morang,मोरङ,159,रमितेखोला,1,5880,टाडि मा.वि. सिरानेटार
9,Morang,मोरङ,159,रमितेखोला,3,5880,टाडि मा.वि. सिरानेटार
9,Morang,मोरङ,159,रमितेखोला,2,5880,टाडि मा.वि. सिरानेटार
9,Morang,मोरङ,159,रमितेखोला,5,5880,टाडि मा.वि. सिरानेटार
9,Morang,मोरङ,159,रमितेखोला,4,5880,टाडि मा.वि. सिरानेटार
9,Morang,मोरङ,159,रमितेखोला,7,5880,टाडि मा.वि. सिरानेटार
9,Morang,मोरङ,159,रमितेखोला,6,5880,टाडि मा.वि. सिरानेटार
