District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
58,Mugu,मुगु,1953,सुकाढिक,1,2403,"श्री सर्वोदय उ.मा.बि.,  सुकाढीक"
58,Mugu,मुगु,1953,सुकाढिक,3,2403,"श्री सर्वोदय उ.मा.बि.,  सुकाढीक"
58,Mugu,मुगु,1953,सुकाढिक,2,2403,"श्री सर्वोदय उ.मा.बि.,  सुकाढीक"
58,Mugu,मुगु,1953,सुकाढिक,5,2406,श्री पञ्चोदय मा.बि. नखर्जी
58,Mugu,मुगु,1953,सुकाढिक,4,2406,श्री पञ्चोदय मा.बि. नखर्जी
58,Mugu,मुगु,1953,सुकाढिक,7,2406,श्री पञ्चोदय मा.बि. नखर्जी
58,Mugu,मुगु,1953,सुकाढिक,6,2406,श्री पञ्चोदय मा.बि. नखर्जी
58,Mugu,मुगु,1953,सुकाढिक,9,2406,श्री पञ्चोदय मा.बि. नखर्जी
58,Mugu,मुगु,1953,सुकाढिक,8,2406,श्री पञ्चोदय मा.बि. नखर्जी
58,Mugu,मुगु,1921,रोबा,1,2309,श्री डिलाले प्रा.वि. झाकोट
58,Mugu,मुगु,1921,रोबा,3,2309,श्री डिलाले प्रा.वि. झाकोट
58,Mugu,मुगु,1921,रोबा,2,2309,श्री डिलाले प्रा.वि. झाकोट
58,Mugu,मुगु,1921,रोबा,5,2306,श्री प्रभात मा.वि. रोवा
58,Mugu,मुगु,1921,रोबा,4,2309,श्री डिलाले प्रा.वि. झाकोट
58,Mugu,मुगु,1921,रोबा,7,2311,श्री नेपाल राष्ट्रिय नि.मा.वि सोभा
58,Mugu,मुगु,1921,रोबा,6,2306,श्री प्रभात मा.वि. रोवा
58,Mugu,मुगु,1921,रोबा,9,2314,श्री सरस्वती नि.मा.वि. लुम्स
58,Mugu,मुगु,1921,रोबा,8,2314,श्री सरस्वती नि.मा.वि. लुम्स
58,Mugu,मुगु,1922,रुगा,1,2319,श्री मष्टा नि.मा.वि. थार्प
58,Mugu,मुगु,1922,रुगा,3,2319,श्री मष्टा नि.मा.वि. थार्प
58,Mugu,मुगु,1922,रुगा,2,2319,श्री मष्टा नि.मा.वि. थार्प
58,Mugu,मुगु,1922,रुगा,5,2321,श्री हिमोदय प्र.नि.मा.वि. वाम
58,Mugu,मुगु,1922,रुगा,4,2319,श्री मष्टा नि.मा.वि. थार्प
58,Mugu,मुगु,1922,रुगा,7,2321,श्री हिमोदय प्र.नि.मा.वि. वाम
58,Mugu,मुगु,1922,रुगा,6,2321,श्री हिमोदय प्र.नि.मा.वि. वाम
58,Mugu,मुगु,1922,रुगा,9,2324,श्री गुरुदेब प्रा.बि. सुम्ली
58,Mugu,मुगु,1922,रुगा,8,2321,श्री हिमोदय प्र.नि.मा.वि. वाम
58,Mugu,मुगु,1924,मुगु,1,2327,श्री जनजागृति प्रा.वि. मुगुगाउँ
