District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
48,Mustang,मुस्ताङ्ग,3593,चराङ,1,8554,"मराङ प्रा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,3,8554,"मराङ प्रा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,2,8554,"मराङ प्रा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,5,8670,"चराङ नि.मा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,4,8670,"चराङ नि.मा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,7,8670,"चराङ नि.मा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,6,8670,"चराङ नि.मा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,9,8670,"चराङ नि.मा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3593,चराङ,8,8670,"चराङ नि.मा.वि., चराङ"
48,Mustang,मुस्ताङ्ग,3592,घमी,1,8549,"जनज्योती प्रा.वि., घिलिङ"
48,Mustang,मुस्ताङ्ग,3592,घमी,3,8549,"जनज्योती प्रा.वि., घिलिङ"
48,Mustang,मुस्ताङ्ग,3592,घमी,2,8549,"जनज्योती प्रा.वि., घिलिङ"
48,Mustang,मुस्ताङ्ग,3592,घमी,5,8552,"घमी प्रा.वि., घमी"
48,Mustang,मुस्ताङ्ग,3592,घमी,4,8549,"जनज्योती प्रा.वि., घिलिङ"
48,Mustang,मुस्ताङ्ग,3592,घमी,7,8552,"घमी प्रा.वि., घमी"
48,Mustang,मुस्ताङ्ग,3592,घमी,6,8552,"घमी प्रा.वि., घमी"
48,Mustang,मुस्ताङ्ग,3592,घमी,9,8552,"घमी प्रा.वि., घमी"
48,Mustang,मुस्ताङ्ग,3592,घमी,8,8552,"घमी प्रा.वि., घमी"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,1,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,3,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,2,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,5,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,4,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,7,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,6,8544,"जननर्मल नि.मा.वि., छुसाङ"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,9,8547,"समर प्रा.वि., समर"
48,Mustang,मुस्ताङ्ग,3591,छुसाङ,8,8547,"समर प्रा.वि., समर"
48,Mustang,मुस्ताङ्ग,3613,मुक्तिनाथ,1,8743,मुक्तीनाथ नि.मा.वि. झारकोट
48,Mustang,मुस्ताङ्ग,3613,मुक्तिनाथ,3,8743,मुक्तीनाथ नि.मा.वि. झारकोट
48,Mustang,मुस्ताङ्ग,3613,मुक्तिनाथ,2,8743,मुक्तीनाथ नि.मा.वि. झारकोट
48,Mustang,मुस्ताङ्ग,3613,मुक्तिनाथ,5,8743,मुक्तीनाथ नि.मा.वि. झारकोट
48,Mustang,मुस्ताङ्ग,3613,मुक्तिनाथ,4,8743,मुक्तीनाथ नि.मा.वि. झारकोट
