District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
49,Myagdi,म्याग्दी,3629,पुलाचौर,1,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,3,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,2,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,5,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,4,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,7,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,6,8949,"जनकल्याण मा.वि., पुलाचौर"
49,Myagdi,म्याग्दी,3629,पुलाचौर,9,8952,"गणेश प्रा.वि., सेतोढुङ्गा"
49,Myagdi,म्याग्दी,3629,पुलाचौर,8,8952,"गणेश प्रा.वि., सेतोढुङ्गा"
49,Myagdi,म्याग्दी,3616,दोवा,1,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,3,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,2,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,5,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,4,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,7,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,6,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,9,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3616,दोवा,8,8880,"कैलाश मा.वि., दोवा"
49,Myagdi,म्याग्दी,3639,अर्थुङ्गे,1,8796,"वेनी सामुदायीक उ.मा.वि., बेनीबजार"
49,Myagdi,म्याग्दी,3639,अर्थुङ्गे,3,8796,"वेनी सामुदायीक उ.मा.वि., बेनीबजार"
49,Myagdi,म्याग्दी,3639,अर्थुङ्गे,2,8796,"वेनी सामुदायीक उ.मा.वि., बेनीबजार"
49,Myagdi,म्याग्दी,3639,अर्थुङ्गे,5,8812,"थाकनपोखरी नि.मा.वि.,"
49,Myagdi,म्याग्दी,3639,अर्थुङ्गे,4,8812,"थाकनपोखरी नि.मा.वि.,"
49,Myagdi,म्याग्दी,3639,अर्थुङ्गे,7,8812,"थाकनपोखरी नि.मा.वि.,"
