District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,1,6043,जनता प्रा.वि. देवगाउँ
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,3,6043,जनता प्रा.वि. देवगाउँ
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,2,6043,जनता प्रा.वि. देवगाउँ
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,5,6043,जनता प्रा.वि. देवगाउँ
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,4,6043,जनता प्रा.वि. देवगाउँ
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,7,6047,देवगाउँ आय आर्जन तथा बचत रिण सहकारी स‌ंस्था
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,6,6043,जनता प्रा.वि. देवगाउँ
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,9,6047,देवगाउँ आय आर्जन तथा बचत रिण सहकारी स‌ंस्था
45,Nawalparasi,नवलपरासी,2617,देवगाउँ,8,6047,देवगाउँ आय आर्जन तथा बचत रिण सहकारी स‌ंस्था
45,Nawalparasi,नवलपरासी,2587,रामनगर,1,5897,"जगन्नाथ मा.वि., भूमही"
45,Nawalparasi,नवलपरासी,2587,रामनगर,3,5907,"सेवासदन प्रा.वि., बिचैयापुर"
45,Nawalparasi,नवलपरासी,2587,रामनगर,2,5900,"धान्याचल महायज्ञ मा.वि., बडेरा"
45,Nawalparasi,नवलपरासी,2587,रामनगर,5,5910,"बाक्वाणी उ.मा.वि., सेमरहाना"
45,Nawalparasi,नवलपरासी,2587,रामनगर,4,5907,"सेवासदन प्रा.वि., बिचैयापुर"
45,Nawalparasi,नवलपरासी,2587,रामनगर,7,5920,"बहुउद्देश्यिय भवन, मिश्रौली"
45,Nawalparasi,नवलपरासी,2587,रामनगर,6,5920,"बहुउद्देश्यिय भवन, मिश्रौली"
45,Nawalparasi,नवलपरासी,2587,रामनगर,9,5923,"जयदुर्गा प्रा.वि., फरौली"
45,Nawalparasi,नवलपरासी,2587,रामनगर,8,5923,"जयदुर्गा प्रा.वि., फरौली"
45,Nawalparasi,नवलपरासी,2609,सुक्रौली,1,5955,"जनता मा.वि., शुक्रौली"
45,Nawalparasi,नवलपरासी,2609,सुक्रौली,3,5955,"जनता मा.वि., शुक्रौली"
45,Nawalparasi,नवलपरासी,2609,सुक्रौली,2,5955,"जनता मा.वि., शुक्रौली"
45,Nawalparasi,नवलपरासी,2609,सुक्रौली,5,5958,शुक्रौली गा.वि.स. भवन
45,Nawalparasi,नवलपरासी,2609,सुक्रौली,4,5955,"जनता मा.वि., शुक्रौली"
