District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
25,Nuwakot,नुवाकोट,1305,बेलकोट,1,8735,निरङजना उमावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,3,8735,निरङजना उमावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,2,8735,निरङजना उमावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,5,8747,पङचकन्या उमावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,4,8742,बेलकोटभञ्ज्याङ मावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,7,8747,पङचकन्या उमावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,6,8747,पङचकन्या उमावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,9,8742,बेलकोटभञ्ज्याङ मावि
25,Nuwakot,नुवाकोट,1305,बेलकोट,8,8742,बेलकोटभञ्ज्याङ मावि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,1,9045,वागेश्वरी नि.मा.वि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,3,9045,वागेश्वरी नि.मा.वि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,2,9045,वागेश्वरी नि.मा.वि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,5,9049,सेतीदेवी प्रावि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,4,9049,सेतीदेवी प्रावि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,7,9049,सेतीदेवी प्रावि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,6,9045,वागेश्वरी नि.मा.वि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,9,9049,सेतीदेवी प्रावि
25,Nuwakot,नुवाकोट,742,खड्गभञ्ज्याङ्ग,8,9049,सेतीदेवी प्रावि
25,Nuwakot,नुवाकोट,1307,तलाखु,1,8749,भुमेदेवी उमावि
25,Nuwakot,नुवाकोट,1307,तलाखु,3,8749,भुमेदेवी उमावि
25,Nuwakot,नुवाकोट,1307,तलाखु,2,8749,भुमेदेवी उमावि
25,Nuwakot,नुवाकोट,1307,तलाखु,5,8757,खोलेखर्क निमावि
25,Nuwakot,नुवाकोट,1307,तलाखु,4,8749,भुमेदेवी उमावि
25,Nuwakot,नुवाकोट,1307,तलाखु,7,8753,ज्वालामुखी प्रावि विनडाडा
25,Nuwakot,नुवाकोट,1307,तलाखु,6,8757,खोलेखर्क निमावि
25,Nuwakot,नुवाकोट,1307,तलाखु,9,8753,ज्वालामुखी प्रावि विनडाडा
25,Nuwakot,नुवाकोट,1307,तलाखु,8,8753,ज्वालामुखी प्रावि विनडाडा
25,Nuwakot,नुवाकोट,744,तारुका,1,9055,कृष्ण उमावि
25,Nuwakot,नुवाकोट,744,तारुका,3,9055,कृष्ण उमावि
25,Nuwakot,नुवाकोट,744,तारुका,2,9055,कृष्ण उमावि
25,Nuwakot,नुवाकोट,744,तारुका,5,9055,कृष्ण उमावि
25,Nuwakot,नुवाकोट,744,तारुका,4,9055,कृष्ण उमावि
25,Nuwakot,नुवाकोट,744,तारुका,7,9122,पिपलडाँडा मावि
25,Nuwakot,नुवाकोट,744,तारुका,6,9055,कृष्ण उमावि
25,Nuwakot,नुवाकोट,744,तारुका,9,9122,पिपलडाँडा मावि
25,Nuwakot,नुवाकोट,744,तारुका,8,9122,पिपलडाँडा मावि
25,Nuwakot,नुवाकोट,1327,वेतिनी,1,8847,कमलमणीक नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,3,8847,कमलमणीक नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,2,8847,कमलमणीक नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,5,8843,भुमेस्थान नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,4,8843,भुमेस्थान नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,7,8843,भुमेस्थान नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,6,8843,भुमेस्थान नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,9,8843,भुमेस्थान नि.मा.वि
25,Nuwakot,नुवाकोट,1327,वेतिनी,8,8843,भुमेस्थान नि.मा.वि
25,Nuwakot,नुवाकोट,1324,सूर्यमती,1,8826,नवप्रकाश मावि
25,Nuwakot,नुवाकोट,1324,सूर्यमती,3,8826,नवप्रकाश मावि
25,Nuwakot,नुवाकोट,1324,सूर्यमती,2,8826,नवप्रकाश मावि
25,Nuwakot,नुवाकोट,1324,सूर्यमती,5,8826,नवप्रकाश मावि
