District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,1,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,3,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,2,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,5,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,4,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,7,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,6,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,9,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,319,कुन्तादेवि,8,5856,उप-स्वास्थ्य चौकी
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,1,5885,फूलमती उ.मा.वि. खिजिफलाटे
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,3,5885,फूलमती उ.मा.वि. खिजिफलाटे
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,2,5885,फूलमती उ.मा.वि. खिजिफलाटे
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,5,5885,फूलमती उ.मा.वि. खिजिफलाटे
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,4,5885,फूलमती उ.मा.वि. खिजिफलाटे
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,7,5891,"आदर्श प्रा.वि., थारे"
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,6,5885,फूलमती उ.मा.वि. खिजिफलाटे
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,9,5891,"आदर्श प्रा.वि., थारे"
13,Okhaldhunga,ओखलढुङ्गा,339,खिजिफलाटे,8,5891,"आदर्श प्रा.वि., थारे"
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,1,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,3,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,2,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,5,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,4,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,7,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,6,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,9,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,313,विगुटार,8,5850,विगुटार उ.मा.वि. विगुटार
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,1,5876,"शहिद पेशल प्रा.वि., यान्दा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,3,5876,"शहिद पेशल प्रा.वि., यान्दा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,2,5876,"शहिद पेशल प्रा.वि., यान्दा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,5,5878,"सिंहदेवी नि.मा.वि., चेप्टेडाँडा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,4,5876,"शहिद पेशल प्रा.वि., यान्दा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,7,5878,"सिंहदेवी नि.मा.वि., चेप्टेडाँडा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,6,5878,"सिंहदेवी नि.मा.वि., चेप्टेडाँडा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,9,5878,"सिंहदेवी नि.मा.वि., चेप्टेडाँडा"
13,Okhaldhunga,ओखलढुङ्गा,334,श्रीचौर,8,5878,"सिंहदेवी नि.मा.वि., चेप्टेडाँडा"
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,1,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,3,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,2,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,5,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,4,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,7,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,6,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,9,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,337,भुसिंगा,8,5882,भुसिंगा नि.मा.वि पिके
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,1,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,3,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,2,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,5,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,4,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,7,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,6,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,9,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,316,जन्तरखानी,8,5854,जन्तरखानी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,1,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,3,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,2,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,5,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,4,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,7,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,6,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,9,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,332,प्राप्चा,8,5871,शिवदुती उ.मा.वि. प्राप्चा
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,1,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,3,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,2,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,5,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,4,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,7,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,6,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,9,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,392,फेदिगुठ,8,6299,नवजीवन मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,1,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,3,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,2,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,5,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,4,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,7,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,6,6293,गोल्मादेवी मा.वि.
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,9,6296,सुवर्णकौसिका प्रा.वि. सिमलडाँडा
13,Okhaldhunga,ओखलढुङ्गा,391,पलापु,8,6296,सुवर्णकौसिका प्रा.वि. सिमलडाँडा
13,Okhaldhunga,ओखलढुङ्गा,396,गाम्नाङटार,1,6369,ग्रामोदय युगकवि सिध्दिचरण उ.मा.वि. गाम्नाङटार
13,Okhaldhunga,ओखलढुङ्गा,396,गाम्नाङटार,3,6369,ग्रामोदय युगकवि सिध्दिचरण उ.मा.वि. गाम्नाङटार
13,Okhaldhunga,ओखलढुङ्गा,396,गाम्नाङटार,2,6369,ग्रामोदय युगकवि सिध्दिचरण उ.मा.वि. गाम्नाङटार
