District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
43,Palpa,पाल्पा,2302,भैरवस्थान,1,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,3,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,2,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,5,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,4,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,7,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,6,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,9,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2302,भैरवस्थान,8,4564,"भैरवजनता उच्च मा.वि., भैरवस्थान"
43,Palpa,पाल्पा,2293,रुप्से,1,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,3,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,2,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,5,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,4,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,7,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,6,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,9,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2293,रुप्से,8,4505,"कर्णधार मा.वि., रुप्से"
43,Palpa,पाल्पा,2290,मस्याम,1,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,3,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,2,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,5,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,4,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,7,4528,"जनदिप नि.मा.वि., बगैचाबारी"
43,Palpa,पाल्पा,2290,मस्याम,6,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,9,4524,"मस्याम गा.वि.स. भवन, हटीया"
43,Palpa,पाल्पा,2290,मस्याम,8,4528,"जनदिप नि.मा.वि., बगैचाबारी"
43,Palpa,पाल्पा,2297,तेल्घा,1,4538,"बालकन्या भगवति नि.मा.वि., गणशाल"
43,Palpa,पाल्पा,2297,तेल्घा,3,4538,"बालकन्या भगवति नि.मा.वि., गणशाल"
43,Palpa,पाल्पा,2297,तेल्घा,2,4538,"बालकन्या भगवति नि.मा.वि., गणशाल"
43,Palpa,पाल्पा,2297,तेल्घा,5,4533,"भयरस्थान प्रा.वि., तेल्घा"
43,Palpa,पाल्पा,2297,तेल्घा,4,4533,"भयरस्थान प्रा.वि., तेल्घा"
43,Palpa,पाल्पा,2297,तेल्घा,7,4533,"भयरस्थान प्रा.वि., तेल्घा"
43,Palpa,पाल्पा,2297,तेल्घा,6,4533,"भयरस्थान प्रा.वि., तेल्घा"
43,Palpa,पाल्पा,2297,तेल्घा,9,4538,"बालकन्या भगवति नि.मा.वि., गणशाल"
43,Palpa,पाल्पा,2297,तेल्घा,8,4538,"बालकन्या भगवति नि.मा.वि., गणशाल"
43,Palpa,पाल्पा,2190,सिलुवा,1,4208,"सिलुवा गा.वि.स. भवन, सिलुवा"
43,Palpa,पाल्पा,2190,सिलुवा,3,4208,"सिलुवा गा.वि.स. भवन, सिलुवा"
43,Palpa,पाल्पा,2190,सिलुवा,2,4206,"अकला नि.मा.वि., तामाखानी"
43,Palpa,पाल्पा,2190,सिलुवा,5,4208,"सिलुवा गा.वि.स. भवन, सिलुवा"
43,Palpa,पाल्पा,2190,सिलुवा,4,4208,"सिलुवा गा.वि.स. भवन, सिलुवा"
43,Palpa,पाल्पा,2190,सिलुवा,7,4206,"अकला नि.मा.वि., तामाखानी"
43,Palpa,पाल्पा,2190,सिलुवा,6,4208,"सिलुवा गा.वि.स. भवन, सिलुवा"
43,Palpa,पाल्पा,2190,सिलुवा,9,4208,"सिलुवा गा.वि.स. भवन, सिलुवा"
43,Palpa,पाल्पा,2190,सिलुवा,8,4206,"अकला नि.मा.वि., तामाखानी"
43,Palpa,पाल्पा,2191,दर्छा,1,4220,"जनविकास उच्च मा.वि., रजघरा"
43,Palpa,पाल्पा,2191,दर्छा,3,4212,"दर्छा गा.वि.स. भवन, दर्छा"
43,Palpa,पाल्पा,2191,दर्छा,2,4217,"जनविकास प्रा.वि., लामटाङ्ग"
43,Palpa,पाल्पा,2191,दर्छा,5,4217,"जनविकास प्रा.वि., लामटाङ्ग"
43,Palpa,पाल्पा,2191,दर्छा,4,4217,"जनविकास प्रा.वि., लामटाङ्ग"
43,Palpa,पाल्पा,2191,दर्छा,7,4212,"दर्छा गा.वि.स. भवन, दर्छा"
43,Palpa,पाल्पा,2191,दर्छा,6,4220,"जनविकास उच्च मा.वि., रजघरा"
43,Palpa,पाल्पा,2191,दर्छा,9,4212,"दर्छा गा.वि.स. भवन, दर्छा"
43,Palpa,पाल्पा,2191,दर्छा,8,4212,"दर्छा गा.वि.स. भवन, दर्छा"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,1,4545,"गार्गी मा.वि., हान्गादी"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,3,4545,"गार्गी मा.वि., हान्गादी"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,2,4545,"गार्गी मा.वि., हान्गादी"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,5,4550,"लिपन्देही प्रा.वि., जोगेपानी भाडगाँउ"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,4,4545,"गार्गी मा.वि., हान्गादी"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,7,4550,"लिपन्देही प्रा.वि., जोगेपानी भाडगाँउ"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,6,4550,"लिपन्देही प्रा.वि., जोगेपानी भाडगाँउ"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,9,4550,"लिपन्देही प्रा.वि., जोगेपानी भाडगाँउ"
43,Palpa,पाल्पा,2298,वन्दीपोखरा,8,4550,"लिपन्देही प्रा.वि., जोगेपानी भाडगाँउ"
43,Palpa,पाल्पा,2319,भुवनपोखरी,1,4634,"जोगवाणी मा.वि., अमिले"
43,Palpa,पाल्पा,2319,भुवनपोखरी,3,4634,"जोगवाणी मा.वि., अमिले"
43,Palpa,पाल्पा,2319,भुवनपोखरी,2,4634,"जोगवाणी मा.वि., अमिले"
43,Palpa,पाल्पा,2319,भुवनपोखरी,5,4635,"भुवनपोखरी गा.वि.स. भवन, भुवनपोखरी"
43,Palpa,पाल्पा,2319,भुवनपोखरी,4,4635,"भुवनपोखरी गा.वि.स. भवन, भुवनपोखरी"
43,Palpa,पाल्पा,2319,भुवनपोखरी,7,4635,"भुवनपोखरी गा.वि.स. भवन, भुवनपोखरी"
43,Palpa,पाल्पा,2319,भुवनपोखरी,6,4635,"भुवनपोखरी गा.वि.स. भवन, भुवनपोखरी"
43,Palpa,पाल्पा,2319,भुवनपोखरी,9,4635,"भुवनपोखरी गा.वि.स. भवन, भुवनपोखरी"
43,Palpa,पाल्पा,2319,भुवनपोखरी,8,4634,"जोगवाणी मा.वि., अमिले"
43,Palpa,पाल्पा,2196,वाकामलाङ,1,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,3,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,2,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,5,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,4,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,7,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,6,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,9,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2196,वाकामलाङ,8,4226,"राधाकृष्ण उ.मा.वि., वाकामलाङ्ग"
43,Palpa,पाल्पा,2198,गाडाकोट,1,4231,"बालहित प्रा.वि., हाँगेपिपल"
43,Palpa,पाल्पा,2198,गाडाकोट,3,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
43,Palpa,पाल्पा,2198,गाडाकोट,2,4231,"बालहित प्रा.वि., हाँगेपिपल"
43,Palpa,पाल्पा,2198,गाडाकोट,5,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
43,Palpa,पाल्पा,2198,गाडाकोट,4,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
43,Palpa,पाल्पा,2198,गाडाकोट,7,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
43,Palpa,पाल्पा,2198,गाडाकोट,6,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
43,Palpa,पाल्पा,2198,गाडाकोट,9,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
43,Palpa,पाल्पा,2198,गाडाकोट,8,4234,"सरस्वती मा.वि., स्वामीभञ्ज्याङ"
