District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
2,Panchthar,पाँचथर,3904,ईम्वुङ,1,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,3,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,2,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,5,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,4,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,7,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,6,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,9,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,3904,ईम्वुङ,8,881,"सत्यहाङ्मा उ.मा.वि., इम्वुङ"
2,Panchthar,पाँचथर,216,प्राङबुङ,1,668,"सिंहदेवी प्रा.वि., खेदोक"
2,Panchthar,पाँचथर,216,प्राङबुङ,3,669,कालिका मा.वि.
2,Panchthar,पाँचथर,216,प्राङबुङ,2,668,"सिंहदेवी प्रा.वि., खेदोक"
2,Panchthar,पाँचथर,216,प्राङबुङ,5,669,कालिका मा.वि.
2,Panchthar,पाँचथर,216,प्राङबुङ,4,669,कालिका मा.वि.
2,Panchthar,पाँचथर,216,प्राङबुङ,7,9799,सिंहकालिका नि. मा. वि. तालखर्क
2,Panchthar,पाँचथर,216,प्राङबुङ,6,9799,सिंहकालिका नि. मा. वि. तालखर्क
2,Panchthar,पाँचथर,216,प्राङबुङ,9,669,कालिका मा.वि.
2,Panchthar,पाँचथर,216,प्राङबुङ,8,9799,सिंहकालिका नि. मा. वि. तालखर्क
2,Panchthar,पाँचथर,3906,चोकमागु,1,913,"शिवधर प्रा.वि., सरसिउला"
2,Panchthar,पाँचथर,3906,चोकमागु,3,911,"सरस्वती उ. मा.वि., डुम्रीबोटे"
2,Panchthar,पाँचथर,3906,चोकमागु,2,911,"सरस्वती उ. मा.वि., डुम्रीबोटे"
2,Panchthar,पाँचथर,3906,चोकमागु,5,911,"सरस्वती उ. मा.वि., डुम्रीबोटे"
2,Panchthar,पाँचथर,3906,चोकमागु,4,911,"सरस्वती उ. मा.वि., डुम्रीबोटे"
2,Panchthar,पाँचथर,3906,चोकमागु,7,911,"सरस्वती उ. मा.वि., डुम्रीबोटे"
2,Panchthar,पाँचथर,3906,चोकमागु,6,911,"सरस्वती उ. मा.वि., डुम्रीबोटे"
2,Panchthar,पाँचथर,3906,चोकमागु,9,913,"शिवधर प्रा.वि., सरसिउला"
2,Panchthar,पाँचथर,3906,चोकमागु,8,913,"शिवधर प्रा.वि., सरसिउला"
2,Panchthar,पाँचथर,3900,कुरूम्वा,1,755,"सिंहदेवी उ.मा.वि., सिनतेम्वा"
2,Panchthar,पाँचथर,3900,कुरूम्वा,3,757,"कुरुम्वा मा.वि., कुरुम्वा"
2,Panchthar,पाँचथर,3900,कुरूम्वा,2,757,"कुरुम्वा मा.वि., कुरुम्वा"
2,Panchthar,पाँचथर,3900,कुरूम्वा,5,759,"पञ्चकन्या प्रा.वि., माझगाउँ"
2,Panchthar,पाँचथर,3900,कुरूम्वा,4,757,"कुरुम्वा मा.वि., कुरुम्वा"
2,Panchthar,पाँचथर,3900,कुरूम्वा,7,759,"पञ्चकन्या प्रा.वि., माझगाउँ"
2,Panchthar,पाँचथर,3900,कुरूम्वा,6,759,"पञ्चकन्या प्रा.वि., माझगाउँ"
2,Panchthar,पाँचथर,3900,कुरूम्वा,9,755,"सिंहदेवी उ.मा.वि., सिनतेम्वा"
2,Panchthar,पाँचथर,3900,कुरूम्वा,8,759,"पञ्चकन्या प्रा.वि., माझगाउँ"
2,Panchthar,पाँचथर,3901,लुङफाबुङ,1,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,3,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,2,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,5,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,4,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,7,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,6,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,9,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3901,लुङफाबुङ,8,908,लुम्फावुङ मा वि  लुम्फावुङ
2,Panchthar,पाँचथर,3902,रवि,1,772,थामथुम प्रा.वि
2,Panchthar,पाँचथर,3902,रवि,3,760,दुर्गा उ.मा.वि.
2,Panchthar,पाँचथर,3902,रवि,2,772,थामथुम प्रा.वि
2,Panchthar,पाँचथर,3902,रवि,5,760,दुर्गा उ.मा.वि.
2,Panchthar,पाँचथर,3902,रवि,4,760,दुर्गा उ.मा.वि.
2,Panchthar,पाँचथर,3902,रवि,7,760,दुर्गा उ.मा.वि.
2,Panchthar,पाँचथर,3902,रवि,6,760,दुर्गा उ.मा.वि.
2,Panchthar,पाँचथर,3902,रवि,9,772,थामथुम प्रा.वि
2,Panchthar,पाँचथर,3902,रवि,8,772,थामथुम प्रा.वि
2,Panchthar,पाँचथर,3903,चिलिङदिन,1,867,"सिद्धेश्वर मा.वि., ज्यामिरबोटे"
2,Panchthar,पाँचथर,3903,चिलिङदिन,3,863,"जालपादेवी नि.मा.वि., निङलातप्पा"
2,Panchthar,पाँचथर,3903,चिलिङदिन,2,863,"जालपादेवी नि.मा.वि., निङलातप्पा"
2,Panchthar,पाँचथर,3903,चिलिङदिन,5,863,"जालपादेवी नि.मा.वि., निङलातप्पा"
2,Panchthar,पाँचथर,3903,चिलिङदिन,4,863,"जालपादेवी नि.मा.वि., निङलातप्पा"
2,Panchthar,पाँचथर,3903,चिलिङदिन,7,867,"सिद्धेश्वर मा.वि., ज्यामिरबोटे"
2,Panchthar,पाँचथर,3903,चिलिङदिन,6,867,"सिद्धेश्वर मा.वि., ज्यामिरबोटे"
2,Panchthar,पाँचथर,3903,चिलिङदिन,9,867,"सिद्धेश्वर मा.वि., ज्यामिरबोटे"
2,Panchthar,पाँचथर,3903,चिलिङदिन,8,867,"सिद्धेश्वर मा.वि., ज्यामिरबोटे"
2,Panchthar,पाँचथर,214,मेमेङ,1,9798,मेमेड मा‍.वि.
2,Panchthar,पाँचथर,214,मेमेङ,3,9798,मेमेड मा‍.वि.
2,Panchthar,पाँचथर,214,मेमेङ,2,665,"विद्या प्रचार नि.मा.वि., आइतबारे"
2,Panchthar,पाँचथर,214,मेमेङ,5,665,"विद्या प्रचार नि.मा.वि., आइतबारे"
2,Panchthar,पाँचथर,214,मेमेङ,4,665,"विद्या प्रचार नि.मा.वि., आइतबारे"
2,Panchthar,पाँचथर,214,मेमेङ,7,9798,मेमेड मा‍.वि.
2,Panchthar,पाँचथर,214,मेमेङ,6,665,"विद्या प्रचार नि.मा.वि., आइतबारे"
2,Panchthar,पाँचथर,214,मेमेङ,9,9798,मेमेड मा‍.वि.
2,Panchthar,पाँचथर,214,मेमेङ,8,665,"विद्या प्रचार नि.मा.वि., आइतबारे"
2,Panchthar,पाँचथर,219,सिदिन,1,672,"सिंहवाहिनी मा.वि., ओगेम्वा"
2,Panchthar,पाँचथर,219,सिदिन,3,672,"सिंहवाहिनी मा.वि., ओगेम्वा"
2,Panchthar,पाँचथर,219,सिदिन,2,672,"सिंहवाहिनी मा.वि., ओगेम्वा"
2,Panchthar,पाँचथर,219,सिदिन,5,673,"थोक्पन नि. मा. वि., वासवोट"
2,Panchthar,पाँचथर,219,सिदिन,4,672,"सिंहवाहिनी मा.वि., ओगेम्वा"
2,Panchthar,पाँचथर,219,सिदिन,7,673,"थोक्पन नि. मा. वि., वासवोट"
2,Panchthar,पाँचथर,219,सिदिन,6,673,"थोक्पन नि. मा. वि., वासवोट"
2,Panchthar,पाँचथर,219,सिदिन,9,673,"थोक्पन नि. मा. वि., वासवोट"
2,Panchthar,पाँचथर,219,सिदिन,8,673,"थोक्पन नि. मा. वि., वासवोट"
2,Panchthar,पाँचथर,258,माङजाबुङ,1,814,"सिद्ध सरस्वती उ. मा.वि., वरभञ्ज्याङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,3,814,"सिद्ध सरस्वती उ. मा.वि., वरभञ्ज्याङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,2,814,"सिद्ध सरस्वती उ. मा.वि., वरभञ्ज्याङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,5,814,"सिद्ध सरस्वती उ. मा.वि., वरभञ्ज्याङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,4,814,"सिद्ध सरस्वती उ. मा.वि., वरभञ्ज्याङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,7,818,"श्रीधाम सरस्वती नि मा..वि., धुपिङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,6,818,"श्रीधाम सरस्वती नि मा..वि., धुपिङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,9,814,"सिद्ध सरस्वती उ. मा.वि., वरभञ्ज्याङ"
2,Panchthar,पाँचथर,258,माङजाबुङ,8,818,"श्रीधाम सरस्वती नि मा..वि., धुपिङ"
2,Panchthar,पाँचथर,261,रानिगाउ,1,826,"गा.वि.स. भवन, रानीगाउँ"
2,Panchthar,पाँचथर,261,रानिगाउ,3,826,"गा.वि.स. भवन, रानीगाउँ"
2,Panchthar,पाँचथर,261,रानिगाउ,2,834,"सार्वजनिक नि.मा.वि., चुसाङली"
2,Panchthar,पाँचथर,261,रानिगाउ,5,830,"त्रिभुवन नि.मा.वि., सिम्राहा"
2,Panchthar,पाँचथर,261,रानिगाउ,4,830,"त्रिभुवन नि.मा.वि., सिम्राहा"
2,Panchthar,पाँचथर,261,रानिगाउ,7,826,"गा.वि.स. भवन, रानीगाउँ"
2,Panchthar,पाँचथर,261,रानिगाउ,6,826,"गा.वि.स. भवन, रानीगाउँ"
2,Panchthar,पाँचथर,261,रानिगाउ,9,834,"सार्वजनिक नि.मा.वि., चुसाङली"
2,Panchthar,पाँचथर,261,रानिगाउ,8,826,"गा.वि.स. भवन, रानीगाउँ"
2,Panchthar,पाँचथर,253,फलैचा,1,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,3,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,2,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,5,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,4,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,7,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,6,717,"यसोदा प्रा,वि फलैचा"
2,Panchthar,पाँचथर,253,फलैचा,9,714,नारायणी मा.वि.
2,Panchthar,पाँचथर,253,फलैचा,8,714,नारायणी मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,1,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,3,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,2,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,5,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,4,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,7,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,6,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,9,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,212,च्याङथापु,8,661,विष्णु उ. मा.वि.
2,Panchthar,पाँचथर,251,ओयाम,1,708,"बुद्ध नि.मा.वि., चित्रोक"
2,Panchthar,पाँचथर,251,ओयाम,3,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,251,ओयाम,2,708,"बुद्ध नि.मा.वि., चित्रोक"
2,Panchthar,पाँचथर,251,ओयाम,5,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,251,ओयाम,4,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,251,ओयाम,7,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,251,ओयाम,6,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,251,ओयाम,9,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,251,ओयाम,8,711,"धर्मभक्त प्रा.वि., भञ्ज्याङ"
2,Panchthar,पाँचथर,256,रानीटार,1,737,"रानीटार उ. मा.वि., रानीटार"
2,Panchthar,पाँचथर,256,रानीटार,3,734,"विद्या आर्जन मा.वि., तमाखे"
2,Panchthar,पाँचथर,256,रानीटार,2,737,"रानीटार उ. मा.वि., रानीटार"
