District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
51,Parbat,पर्वत,3459,भोर्ले,1,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,3,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,2,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,5,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,4,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,7,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,6,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,9,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3459,भोर्ले,8,7073,जनता उ.मा.वि.
51,Parbat,पर्वत,3411,मुडिकुवा,1,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,3,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,2,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,5,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,4,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,7,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,6,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,9,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3411,मुडिकुवा,8,6903,माटेदेवल जन सहयोगी उ.मा.वि. मुडिकुवा
51,Parbat,पर्वत,3316,शिवालय,1,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,3,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,2,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,5,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,4,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,7,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,6,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,9,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3316,शिवालय,8,6694,"वाल मन्दिर भवन, कुश्मा"
51,Parbat,पर्वत,3440,भोक्सीङ्ग,1,7001,महेन्द्रोदय मा.वि.
51,Parbat,पर्वत,3440,भोक्सीङ्ग,3,7001,महेन्द्रोदय मा.वि.
