District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
34,Parsa,पर्सा,2778,महादेवपट्टी,1,7794,"ने.रा.प्रा.बि., बलुवा"
34,Parsa,पर्सा,2778,महादेवपट्टी,3,7794,"ने.रा.प्रा.बि., बलुवा"
34,Parsa,पर्सा,2778,महादेवपट्टी,2,7794,"ने.रा.प्रा.बि., बलुवा"
34,Parsa,पर्सा,2778,महादेवपट्टी,5,7798,"ने.रा.प्रा.बि., पकडीटोल"
34,Parsa,पर्सा,2778,महादेवपट्टी,4,7798,"ने.रा.प्रा.बि., पकडीटोल"
34,Parsa,पर्सा,2778,महादेवपट्टी,7,7798,"ने.रा.प्रा.बि., पकडीटोल"
34,Parsa,पर्सा,2778,महादेवपट्टी,6,7798,"ने.रा.प्रा.बि., पकडीटोल"
34,Parsa,पर्सा,2778,महादेवपट्टी,9,7798,"ने.रा.प्रा.बि., पकडीटोल"
34,Parsa,पर्सा,2778,महादेवपट्टी,8,7798,"ने.रा.प्रा.बि., पकडीटोल"
34,Parsa,पर्सा,2712,मिर्जापुर,1,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,3,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,2,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,5,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,4,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,7,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,6,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,9,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2712,मिर्जापुर,8,7747,"महादेव ने.रा.नि. मा.बि., मिर्जापुर"
34,Parsa,पर्सा,2439,अमरपट्टि,1,7583,"ने.रा.प्रा.बि., अमरपट्टी"
34,Parsa,पर्सा,2439,अमरपट्टि,3,7583,"ने.रा.प्रा.बि., अमरपट्टी"
34,Parsa,पर्सा,2439,अमरपट्टि,2,7583,"ने.रा.प्रा.बि., अमरपट्टी"
34,Parsa,पर्सा,2439,अमरपट्टि,5,7583,"ने.रा.प्रा.बि., अमरपट्टी"
34,Parsa,पर्सा,2439,अमरपट्टि,4,7583,"ने.रा.प्रा.बि., अमरपट्टी"
34,Parsa,पर्सा,2439,अमरपट्टि,7,7584,"नेपाल स्काउट प्रा.बि., इटियाही"
34,Parsa,पर्सा,2439,अमरपट्टि,6,7584,"नेपाल स्काउट प्रा.बि., इटियाही"
34,Parsa,पर्सा,2439,अमरपट्टि,9,7584,"नेपाल स्काउट प्रा.बि., इटियाही"
34,Parsa,पर्सा,2439,अमरपट्टि,8,7584,"नेपाल स्काउट प्रा.बि., इटियाही"
34,Parsa,पर्सा,2658,पर्शुरामपुर,1,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,3,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,2,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,5,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,4,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,7,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,6,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,9,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2658,पर्शुरामपुर,8,7678,ने.रा.नि.मा.बि. कट्टी वालुवा पर्शुरामपर
34,Parsa,पर्सा,2639,धोरे,1,7624,"ने.रा.प्रा.बि., धोरे"
34,Parsa,पर्सा,2639,धोरे,3,7624,"ने.रा.प्रा.बि., धोरे"
34,Parsa,पर्सा,2639,धोरे,2,7624,"ने.रा.प्रा.बि., धोरे"
34,Parsa,पर्सा,2639,धोरे,5,7624,"ने.रा.प्रा.बि., धोरे"
34,Parsa,पर्सा,2639,धोरे,4,7624,"ने.रा.प्रा.बि., धोरे"
