District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
54,Pyuthan,प्युठान,1628,फोप्ली,1,934,लुप्लुङ्ग मा.बि.
54,Pyuthan,प्युठान,1628,फोप्ली,3,938,ने.रा.प्रा.बि. खैरापुक
54,Pyuthan,प्युठान,1628,फोप्ली,2,934,लुप्लुङ्ग मा.बि.
54,Pyuthan,प्युठान,1628,फोप्ली,5,941,अम्बिका नि.मा.बि.
54,Pyuthan,प्युठान,1628,फोप्ली,4,938,ने.रा.प्रा.बि. खैरापुक
54,Pyuthan,प्युठान,1628,फोप्ली,7,943,ने.रा.नी.मा.बि. बासकोट
54,Pyuthan,प्युठान,1628,फोप्ली,6,941,अम्बिका नि.मा.बि.
54,Pyuthan,प्युठान,1628,फोप्ली,9,946,ने.रा.नि.मा.बि. गोगनपानी
54,Pyuthan,प्युठान,1628,फोप्ली,8,946,ने.रा.नि.मा.बि. गोगनपानी
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,1,735,गाबिस भवन बडहरपाटा
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,3,738,कन्या कुमारी प्रा.बि.
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,2,735,गाबिस भवन बडहरपाटा
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,5,739,जानकी मा.बि. चितिखोला
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,4,738,कन्या कुमारी प्रा.बि.
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,7,739,जानकी मा.बि. चितिखोला
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,6,735,गाबिस भवन बडहरपाटा
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,9,742,माण्डवी उ.मा.बि. धाइरेचौर
54,Pyuthan,प्युठान,3499,दाखाक्वाडी,8,742,माण्डवी उ.मा.बि. धाइरेचौर
54,Pyuthan,प्युठान,3497,नयागाउ,1,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,3,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,2,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,5,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,4,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,7,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,6,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,9,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3497,नयागाउ,8,732,माण्डवी उ.मा.बि. नयागाउँ
54,Pyuthan,प्युठान,3495,उदयपुरकोट,1,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,3,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,2,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,5,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,4,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,7,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,6,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,9,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3495,उदयपुरकोट,8,728,कामाक्षी मा.बि. धोवाघाट
54,Pyuthan,प्युठान,3493,खैरा,1,719,भुवनेश्वरी नि.मा.बि. कुमिकोट खैरा
54,Pyuthan,प्युठान,3493,खैरा,3,719,भुवनेश्वरी नि.मा.बि. कुमिकोट खैरा
54,Pyuthan,प्युठान,3493,खैरा,2,722,भूमि बिकास नि.मा.बि. जोरपोखरी सरङ्गकोट
54,Pyuthan,प्युठान,3493,खैरा,5,722,भूमि बिकास नि.मा.बि. जोरपोखरी सरङ्गकोट
54,Pyuthan,प्युठान,3493,खैरा,4,719,भुवनेश्वरी नि.मा.बि. कुमिकोट खैरा
54,Pyuthan,प्युठान,3493,खैरा,7,725,भुवनेश्वरी उ.मा.बि. खैरा
54,Pyuthan,प्युठान,3493,खैरा,6,725,भुवनेश्वरी उ.मा.बि. खैरा
54,Pyuthan,प्युठान,3493,खैरा,9,725,भुवनेश्वरी उ.मा.बि. खैरा
54,Pyuthan,प्युठान,3493,खैरा,8,725,भुवनेश्वरी उ.मा.बि. खैरा
54,Pyuthan,प्युठान,3491,रम्दी,1,716,ने.रा.नि.मा.बि. जुजुनेटा
54,Pyuthan,प्युठान,3491,रम्दी,3,716,ने.रा.नि.मा.बि. जुजुनेटा
54,Pyuthan,प्युठान,3491,रम्दी,2,716,ने.रा.नि.मा.बि. जुजुनेटा
54,Pyuthan,प्युठान,3491,रम्दी,5,716,ने.रा.नि.मा.बि. जुजुनेटा
54,Pyuthan,प्युठान,3491,रम्दी,4,716,ने.रा.नि.मा.बि. जुजुनेटा
54,Pyuthan,प्युठान,3491,रम्दी,7,10057,ज्योती प्रा.वि चकचके
54,Pyuthan,प्युठान,3491,रम्दी,6,716,ने.रा.नि.मा.बि. जुजुनेटा
54,Pyuthan,प्युठान,3491,रम्दी,9,10057,ज्योती प्रा.वि चकचके
54,Pyuthan,प्युठान,3491,रम्दी,8,10057,ज्योती प्रा.वि चकचके
54,Pyuthan,प्युठान,3478,बिजुली,1,655,गाबिस भवन केन्द्र च्यूरापानी
54,Pyuthan,प्युठान,3478,बिजुली,3,655,गाबिस भवन केन्द्र च्यूरापानी
54,Pyuthan,प्युठान,3478,बिजुली,2,655,गाबिस भवन केन्द्र च्यूरापानी
54,Pyuthan,प्युठान,3478,बिजुली,5,657,"शान्ति प्रा.बि. बैरेनी, दमार"
54,Pyuthan,प्युठान,3478,बिजुली,4,655,गाबिस भवन केन्द्र च्यूरापानी
54,Pyuthan,प्युठान,3478,बिजुली,7,657,"शान्ति प्रा.बि. बैरेनी, दमार"
54,Pyuthan,प्युठान,3478,बिजुली,6,657,"शान्ति प्रा.बि. बैरेनी, दमार"
54,Pyuthan,प्युठान,3478,बिजुली,9,656,जनप्रिय प्रा.बि. हात्तीपाइला
54,Pyuthan,प्युठान,3478,बिजुली,8,656,जनप्रिय प्रा.बि. हात्तीपाइला
54,Pyuthan,प्युठान,1630,लुङ्ग,1,950,जनज्योती नि.मा.बि. लुङ्ग
54,Pyuthan,प्युठान,1630,लुङ्ग,3,950,जनज्योती नि.मा.बि. लुङ्ग
54,Pyuthan,प्युठान,1630,लुङ्ग,2,950,जनज्योती नि.मा.बि. लुङ्ग
54,Pyuthan,प्युठान,1630,लुङ्ग,5,954,बाहने गंगा उ.मा.बि.
54,Pyuthan,प्युठान,1630,लुङ्ग,4,950,जनज्योती नि.मा.बि. लुङ्ग
54,Pyuthan,प्युठान,1630,लुङ्ग,7,957,बुद्ध नि.मा.बि. लुङ्गखोला
54,Pyuthan,प्युठान,1630,लुङ्ग,6,954,बाहने गंगा उ.मा.बि.
54,Pyuthan,प्युठान,1630,लुङ्ग,9,961,जनकल्याण नि.मा.बि. तोलावाङ्ग
54,Pyuthan,प्युठान,1630,लुङ्ग,8,957,बुद्ध नि.मा.बि. लुङ्गखोला
54,Pyuthan,प्युठान,3474,दाङवाङ,1,649,दाङवाङ प्रा.बि. दाङवाङ
54,Pyuthan,प्युठान,3474,दाङवाङ,3,650,दाङवाङ मा.बि. अमिलि
54,Pyuthan,प्युठान,3474,दाङवाङ,2,651,बालशिक्षा प्रा.बि. मान्द्रेचौर
54,Pyuthan,प्युठान,3474,दाङवाङ,5,650,दाङवाङ मा.बि. अमिलि
54,Pyuthan,प्युठान,3474,दाङवाङ,4,650,दाङवाङ मा.बि. अमिलि
54,Pyuthan,प्युठान,3474,दाङवाङ,7,649,दाङवाङ प्रा.बि. दाङवाङ
54,Pyuthan,प्युठान,3474,दाङवाङ,6,651,बालशिक्षा प्रा.बि. मान्द्रेचौर
54,Pyuthan,प्युठान,3474,दाङवाङ,9,651,बालशिक्षा प्रा.बि. मान्द्रेचौर
54,Pyuthan,प्युठान,3474,दाङवाङ,8,651,बालशिक्षा प्रा.बि. मान्द्रेचौर
54,Pyuthan,प्युठान,3519,खलंगा,1,853,जनजागृती मा.बि. कसेरी
54,Pyuthan,प्युठान,3519,खलंगा,3,9811,महेन्द्र उच्च मा.वि.
54,Pyuthan,प्युठान,3519,खलंगा,2,853,जनजागृती मा.बि. कसेरी
54,Pyuthan,प्युठान,3519,खलंगा,5,9811,महेन्द्र उच्च मा.वि.
54,Pyuthan,प्युठान,3519,खलंगा,4,9811,महेन्द्र उच्च मा.वि.
54,Pyuthan,प्युठान,3519,खलंगा,7,862,खलंगा नि.मा.बि.
54,Pyuthan,प्युठान,3519,खलंगा,6,9811,महेन्द्र उच्च मा.वि.
54,Pyuthan,प्युठान,3519,खलंगा,9,868,भैरवनाथ प्रा.बि. पाण्डेडाडा
54,Pyuthan,प्युठान,3519,खलंगा,8,866,बालबिकास केन्द्र थापाडाडा
54,Pyuthan,प्युठान,1633,डाम्री,1,965,ने.रा.मा.बि. डाम्री
54,Pyuthan,प्युठान,1633,डाम्री,3,965,ने.रा.मा.बि. डाम्री
54,Pyuthan,प्युठान,1633,डाम्री,2,965,ने.रा.मा.बि. डाम्री
54,Pyuthan,प्युठान,1633,डाम्री,5,965,ने.रा.मा.बि. डाम्री
54,Pyuthan,प्युठान,1633,डाम्री,4,965,ने.रा.मा.बि. डाम्री
54,Pyuthan,प्युठान,1633,डाम्री,7,969,"गावै नि.मा.बि., गावै"
54,Pyuthan,प्युठान,1633,डाम्री,6,965,ने.रा.मा.बि. डाम्री
54,Pyuthan,प्युठान,1633,डाम्री,9,969,"गावै नि.मा.बि., गावै"
