District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
18,Ramechap,रामेछाप,620,खिम्ती,1,1583,नर्मदेश्वर प्रा.वि शिबालय
18,Ramechap,रामेछाप,620,खिम्ती,3,1583,नर्मदेश्वर प्रा.वि शिबालय
18,Ramechap,रामेछाप,620,खिम्ती,2,1583,नर्मदेश्वर प्रा.वि शिबालय
18,Ramechap,रामेछाप,620,खिम्ती,5,1583,नर्मदेश्वर प्रा.वि शिबालय
18,Ramechap,रामेछाप,620,खिम्ती,4,1583,नर्मदेश्वर प्रा.वि शिबालय
18,Ramechap,रामेछाप,620,खिम्ती,7,1588,नि.मा.वि सिमलडाँडा
18,Ramechap,रामेछाप,620,खिम्ती,6,1588,नि.मा.वि सिमलडाँडा
18,Ramechap,रामेछाप,620,खिम्ती,9,1588,नि.मा.वि सिमलडाँडा
18,Ramechap,रामेछाप,620,खिम्ती,8,1588,नि.मा.वि सिमलडाँडा
18,Ramechap,रामेछाप,601,वाम्ति,1,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,3,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,2,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,5,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,4,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,7,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,6,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,9,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,601,वाम्ति,8,1524,सिद्धेश्वेर उ.मा.वि लुबु
18,Ramechap,रामेछाप,594,गुप्तेश्वर,1,1429,कैलेश्वर उ.मा.‍वि लेखखर्क
18,Ramechap,रामेछाप,594,गुप्तेश्वर,3,1429,कैलेश्वर उ.मा.‍वि लेखखर्क
18,Ramechap,रामेछाप,594,गुप्तेश्वर,2,1429,कैलेश्वर उ.मा.‍वि लेखखर्क
18,Ramechap,रामेछाप,594,गुप्तेश्वर,5,1429,कैलेश्वर उ.मा.‍वि लेखखर्क
18,Ramechap,रामेछाप,594,गुप्तेश्वर,4,1429,कैलेश्वर उ.मा.‍वि लेखखर्क
18,Ramechap,रामेछाप,594,गुप्तेश्वर,7,1433,गुप्तेश्वर प्रा.वि दुधिले
18,Ramechap,रामेछाप,594,गुप्तेश्वर,6,1429,कैलेश्वर उ.मा.‍वि लेखखर्क
18,Ramechap,रामेछाप,594,गुप्तेश्वर,9,1433,गुप्तेश्वर प्रा.वि दुधिले
18,Ramechap,रामेछाप,594,गुप्तेश्वर,8,1433,गुप्तेश्वर प्रा.वि दुधिले
18,Ramechap,रामेछाप,603,चुचुरे,1,1528,गाविस भवन
18,Ramechap,रामेछाप,603,चुचुरे,3,1528,गाविस भवन
18,Ramechap,रामेछाप,603,चुचुरे,2,1528,गाविस भवन
18,Ramechap,रामेछाप,603,चुचुरे,5,1528,गाविस भवन
