District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
23,Rasuwa,रसुवा,1142,चिलिमे,1,8140,स्वस्थ्य चौकी भवन थामुचेत
23,Rasuwa,रसुवा,1142,चिलिमे,3,8140,स्वस्थ्य चौकी भवन थामुचेत
23,Rasuwa,रसुवा,1142,चिलिमे,2,8140,स्वस्थ्य चौकी भवन थामुचेत
23,Rasuwa,रसुवा,1142,चिलिमे,5,8144,"श्री पाजुङ प्रा.वि, पाजुङ"
23,Rasuwa,रसुवा,1142,चिलिमे,4,8140,स्वस्थ्य चौकी भवन थामुचेत
23,Rasuwa,रसुवा,1142,चिलिमे,7,8144,"श्री पाजुङ प्रा.वि, पाजुङ"
23,Rasuwa,रसुवा,1142,चिलिमे,6,8144,"श्री पाजुङ प्रा.वि, पाजुङ"
23,Rasuwa,रसुवा,1142,चिलिमे,9,8144,"श्री पाजुङ प्रा.वि, पाजुङ"
23,Rasuwa,रसुवा,1142,चिलिमे,8,8144,"श्री पाजुङ प्रा.वि, पाजुङ"
23,Rasuwa,रसुवा,1143,गतलाङ,1,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,3,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,2,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,5,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,4,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,7,8314,"ग्रे,प्रावि ग्रे गाउँ"
23,Rasuwa,रसुवा,1143,गतलाङ,6,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,9,8312,"श्री नेपाल राष्ट्रिय मा.वि, गतलाङ"
23,Rasuwa,रसुवा,1143,गतलाङ,8,8314,"ग्रे,प्रावि ग्रे गाउँ"
