District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
32,Rautahat,रौतहट,1786,धर्मपुर,1,6546,आदर्श प्रा.बि. सिंगारवन
32,Rautahat,रौतहट,1786,धर्मपुर,3,6547,धर्मपुरटोल मठमा रहेको नि.मा.बि.
32,Rautahat,रौतहट,1786,धर्मपुर,2,6546,आदर्श प्रा.बि. सिंगारवन
32,Rautahat,रौतहट,1786,धर्मपुर,5,6548,"धनाडीटोल देखि दक्षिण रामजानकी मठ, धनाडीटोल"
32,Rautahat,रौतहट,1786,धर्मपुर,4,6548,"धनाडीटोल देखि दक्षिण रामजानकी मठ, धनाडीटोल"
32,Rautahat,रौतहट,1786,धर्मपुर,7,6549,प्रा.बि.भवन वखरीटोल
32,Rautahat,रौतहट,1786,धर्मपुर,6,6549,प्रा.बि.भवन वखरीटोल
32,Rautahat,रौतहट,1786,धर्मपुर,9,6547,धर्मपुरटोल मठमा रहेको नि.मा.बि.
32,Rautahat,रौतहट,1786,धर्मपुर,8,6547,धर्मपुरटोल मठमा रहेको नि.मा.बि.
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,1,6137,प्रा.बि. फतुहा महेशपुर
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,3,6137,प्रा.बि. फतुहा महेशपुर
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,2,6137,प्रा.बि. फतुहा महेशपुर
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,5,6137,प्रा.बि. फतुहा महेशपुर
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,4,6137,प्रा.बि. फतुहा महेशपुर
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,7,6140,"जनता प्रा.बि., हजामिनियाटोल, फतुहा महेशपुर"
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,6,6137,प्रा.बि. फतुहा महेशपुर
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,9,6140,"जनता प्रा.बि., हजामिनियाटोल, फतुहा महेशपुर"
32,Rautahat,रौतहट,1196,फटुहा महेशपुर,8,6140,"जनता प्रा.बि., हजामिनियाटोल, फतुहा महेशपुर"
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,1,6579,गाबिस भवन वसविही जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,3,6579,गाबिस भवन वसविही जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,2,6579,गाबिस भवन वसविही जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,5,6581,रामचन्द्र नि.मा.बि. जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,4,6581,रामचन्द्र नि.मा.बि. जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,7,6581,रामचन्द्र नि.मा.बि. जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,6,6581,रामचन्द्र नि.मा.बि. जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,9,6579,गाबिस भवन वसविही जिंगडिया
32,Rautahat,रौतहट,1832,बसविटी जिङ्गडिया,8,6579,गाबिस भवन वसविही जिंगडिया
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,1,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,3,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,2,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,5,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,4,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,7,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,6,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,9,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1544,लक्ष्मीपुर वेलवीछवा,8,5912,नि. मा .बि. लक्ष्मीपुर बेलबिटछवाटोल
32,Rautahat,रौतहट,1773,महमदपुर,1,6540,दुर्गा सामुदायिक प्रा.बि भवन महमदपुर
32,Rautahat,रौतहट,1773,महमदपुर,3,6540,दुर्गा सामुदायिक प्रा.बि भवन महमदपुर
32,Rautahat,रौतहट,1773,महमदपुर,2,6540,दुर्गा सामुदायिक प्रा.बि भवन महमदपुर
32,Rautahat,रौतहट,1773,महमदपुर,5,6540,दुर्गा सामुदायिक प्रा.बि भवन महमदपुर
32,Rautahat,रौतहट,1773,महमदपुर,4,6540,दुर्गा सामुदायिक प्रा.बि भवन महमदपुर
32,Rautahat,रौतहट,1773,महमदपुर,7,6542,"मा.बि.भवन लक्ष्मीपुरटोल, महम्मदपुर"
32,Rautahat,रौतहट,1773,महमदपुर,6,6542,"मा.बि.भवन लक्ष्मीपुरटोल, महम्मदपुर"
32,Rautahat,रौतहट,1773,महमदपुर,9,6544,"कृषि उपकेन्द्र भवन, शिवनगरटोल"
32,Rautahat,रौतहट,1773,महमदपुर,8,6544,"कृषि उपकेन्द्र भवन, शिवनगरटोल"
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,1,6749,"रामजानकी मठ आकर, पाथरटोल"
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,3,6749,"रामजानकी मठ आकर, पाथरटोल"
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,2,6749,"रामजानकी मठ आकर, पाथरटोल"
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,5,6750,मदर्शा भुसहाटोल
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,4,6750,मदर्शा भुसहाटोल
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,7,6753,"मा.बि. वरगजवा, वरगजवाटोल"
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,6,6750,मदर्शा भुसहाटोल
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,9,6753,"मा.बि. वरगजवा, वरगजवाटोल"
32,Rautahat,रौतहट,1838,गमहरिया विर्ता,8,6753,"मा.बि. वरगजवा, वरगजवाटोल"
32,Rautahat,रौतहट,1791,वरियारपुर,1,6551,"मा.बि.भवन  विरनगरा, वरियारपुर "
32,Rautahat,रौतहट,1791,वरियारपुर,3,6551,"मा.बि.भवन  विरनगरा, वरियारपुर "
32,Rautahat,रौतहट,1791,वरियारपुर,2,6551,"मा.बि.भवन  विरनगरा, वरियारपुर "
32,Rautahat,रौतहट,1791,वरियारपुर,5,6552,धर्मशाला भवन बरियापुरटोल
32,Rautahat,रौतहट,1791,वरियारपुर,4,6551,"मा.बि.भवन  विरनगरा, वरियारपुर "
32,Rautahat,रौतहट,1791,वरियारपुर,7,6552,धर्मशाला भवन बरियापुरटोल
32,Rautahat,रौतहट,1791,वरियारपुर,6,6552,धर्मशाला भवन बरियापुरटोल
32,Rautahat,रौतहट,1791,वरियारपुर,9,6555,"प्रा.बि.भवन इनरवाटोल, वरियारपुर"
32,Rautahat,रौतहट,1791,वरियारपुर,8,6555,"प्रा.बि.भवन इनरवाटोल, वरियारपुर"
32,Rautahat,रौतहट,1794,गेडहीगुठी,1,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,3,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,2,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,5,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,4,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,7,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,6,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,9,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1794,गेडहीगुठी,8,6556,मा.बि. गेहडीगुठी
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,1,6733,"उ.मा.बि. सिमरा भवानीपुर, भवानीपुरटोल"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,3,6733,"उ.मा.बि. सिमरा भवानीपुर, भवानीपुरटोल"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,2,6733,"उ.मा.बि. सिमरा भवानीपुर, भवानीपुरटोल"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,5,6739,"प्रा.वि. अम्तावटोल, सिम्रा भवानीपुर"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,4,6734,"दलित प्रा.वि भवन, सिम्रा भवानीपुर"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,7,6744,राजदेवि प्रा.बि. भवन जुगौलिया
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,6,6740,"प्रा.वि जयराजपुरटोल,सिम्रा भवानीपुर"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,9,6734,"दलित प्रा.वि भवन, सिम्रा भवानीपुर"
32,Rautahat,रौतहट,1757,सिम्रा भवानीपुर,8,6744,राजदेवि प्रा.बि. भवन जुगौलिया
32,Rautahat,रौतहट,1705,भसेडवा,1,6702,"प्रा.वि. भवन, भसेढवा (5)"
32,Rautahat,रौतहट,1705,भसेडवा,3,6702,"प्रा.वि. भवन, भसेढवा (5)"
32,Rautahat,रौतहट,1705,भसेडवा,2,6702,"प्रा.वि. भवन, भसेढवा (5)"
32,Rautahat,रौतहट,1705,भसेडवा,5,6702,"प्रा.वि. भवन, भसेढवा (5)"
32,Rautahat,रौतहट,1705,भसेडवा,4,6702,"प्रा.वि. भवन, भसेढवा (5)"
32,Rautahat,रौतहट,1705,भसेडवा,7,6708,"प्रा.बि. बडेर्वा, भसेडवा"
32,Rautahat,रौतहट,1705,भसेडवा,6,6702,"प्रा.वि. भवन, भसेढवा (5)"
32,Rautahat,रौतहट,1705,भसेडवा,9,6708,"प्रा.बि. बडेर्वा, भसेडवा"
32,Rautahat,रौतहट,1705,भसेडवा,8,6708,"प्रा.बि. बडेर्वा, भसेडवा"
32,Rautahat,रौतहट,1820,संग्रामपुर,1,6568,"प्रा.बि.भवन,  संग्रामपुरटोल"
32,Rautahat,रौतहट,1820,संग्रामपुर,3,6568,"प्रा.बि.भवन,  संग्रामपुरटोल"
32,Rautahat,रौतहट,1820,संग्रामपुर,2,6568,"प्रा.बि.भवन,  संग्रामपुरटोल"
