District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
53,Rolpa,रोल्पा,3330,मिझिङ,1,358,सूर्योदय मा.बि. सुलीचौर
53,Rolpa,रोल्पा,3330,मिझिङ,3,361,चन्द्रप्रभा मा.बि. पोखराधारा
53,Rolpa,रोल्पा,3330,मिझिङ,2,361,चन्द्रप्रभा मा.बि. पोखराधारा
53,Rolpa,रोल्पा,3330,मिझिङ,5,361,चन्द्रप्रभा मा.बि. पोखराधारा
53,Rolpa,रोल्पा,3330,मिझिङ,4,361,चन्द्रप्रभा मा.बि. पोखराधारा
53,Rolpa,रोल्पा,3330,मिझिङ,7,358,सूर्योदय मा.बि. सुलीचौर
53,Rolpa,रोल्पा,3330,मिझिङ,6,361,चन्द्रप्रभा मा.बि. पोखराधारा
53,Rolpa,रोल्पा,3330,मिझिङ,9,358,सूर्योदय मा.बि. सुलीचौर
53,Rolpa,रोल्पा,3330,मिझिङ,8,358,सूर्योदय मा.बि. सुलीचौर
53,Rolpa,रोल्पा,3367,सिउरी,1,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,3,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,2,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,5,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,4,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,7,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,6,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,9,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3367,सिउरी,8,440,गाबिस भवन सुनारडेरा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,1,10153,गा.वि.स. भवन मिनै डाँडा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,3,539,बालहित नि.मा.वि घ्युपोखरा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,2,10153,गा.वि.स. भवन मिनै डाँडा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,5,539,बालहित नि.मा.वि घ्युपोखरा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,4,539,बालहित नि.मा.वि घ्युपोखरा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,7,10153,गा.वि.स. भवन मिनै डाँडा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,6,10153,गा.वि.स. भवन मिनै डाँडा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,9,10153,गा.वि.स. भवन मिनै डाँडा
53,Rolpa,रोल्पा,3407,कोर्चावाङ,8,10153,गा.वि.स. भवन मिनै डाँडा
53,Rolpa,रोल्पा,3427,पाखापानी,1,586,सरस्वती प्रा.बि. मालेखोला
53,Rolpa,रोल्पा,3427,पाखापानी,3,582,जनचेतना प्रा वि लोतचौर
53,Rolpa,रोल्पा,3427,पाखापानी,2,586,सरस्वती प्रा.बि. मालेखोला
53,Rolpa,रोल्पा,3427,पाखापानी,5,582,जनचेतना प्रा वि लोतचौर
53,Rolpa,रोल्पा,3427,पाखापानी,4,582,जनचेतना प्रा वि लोतचौर
53,Rolpa,रोल्पा,3427,पाखापानी,7,586,सरस्वती प्रा.बि. मालेखोला
53,Rolpa,रोल्पा,3427,पाखापानी,6,582,जनचेतना प्रा वि लोतचौर
53,Rolpa,रोल्पा,3427,पाखापानी,9,586,सरस्वती प्रा.बि. मालेखोला
53,Rolpa,रोल्पा,3427,पाखापानी,8,586,सरस्वती प्रा.बि. मालेखोला
53,Rolpa,रोल्पा,3361,सेरम,1,430,गाबिस भवन कामिडेरा
53,Rolpa,रोल्पा,3361,सेरम,3,430,गाबिस भवन कामिडेरा
53,Rolpa,रोल्पा,3361,सेरम,2,430,गाबिस भवन कामिडेरा
53,Rolpa,रोल्पा,3361,सेरम,5,430,गाबिस भवन कामिडेरा
53,Rolpa,रोल्पा,3361,सेरम,4,430,गाबिस भवन कामिडेरा
53,Rolpa,रोल्पा,3361,सेरम,7,433,सरस्वती प्रा.बि. धुसवाङ
53,Rolpa,रोल्पा,3361,सेरम,6,433,सरस्वती प्रा.बि. धुसवाङ
53,Rolpa,रोल्पा,3361,सेरम,9,433,सरस्वती प्रा.बि. धुसवाङ
53,Rolpa,रोल्पा,3361,सेरम,8,433,सरस्वती प्रा.बि. धुसवाङ
53,Rolpa,रोल्पा,3320,तेवाङ,1,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,3,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,2,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,5,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,4,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,7,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,6,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,9,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3320,तेवाङ,8,348,गा वि स भवन रानापोखरा
53,Rolpa,रोल्पा,3323,जेलवाङ,1,351,गा वि स भवन ठूलोगाउं
53,Rolpa,रोल्पा,3323,जेलवाङ,3,351,गा वि स भवन ठूलोगाउं
53,Rolpa,रोल्पा,3323,जेलवाङ,2,351,गा वि स भवन ठूलोगाउं
