District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
52,Rukum,रुकुम,3773,भलाक्चा,1,31,मा. बि. भलाक्चा
52,Rukum,रुकुम,3773,भलाक्चा,3,31,मा. बि. भलाक्चा
52,Rukum,रुकुम,3773,भलाक्चा,2,31,मा. बि. भलाक्चा
52,Rukum,रुकुम,3773,भलाक्चा,5,32,ज्ञानोदय मा.बि. लहुँ
52,Rukum,रुकुम,3773,भलाक्चा,4,31,मा. बि. भलाक्चा
52,Rukum,रुकुम,3773,भलाक्चा,7,32,ज्ञानोदय मा.बि. लहुँ
52,Rukum,रुकुम,3773,भलाक्चा,6,32,ज्ञानोदय मा.बि. लहुँ
52,Rukum,रुकुम,3773,भलाक्चा,9,32,ज्ञानोदय मा.बि. लहुँ
52,Rukum,रुकुम,3773,भलाक्चा,8,32,ज्ञानोदय मा.बि. लहुँ
52,Rukum,रुकुम,3812,महत,1,113,जनजागृति उ. मा. बि. महत
52,Rukum,रुकुम,3812,महत,3,109,आधारभूत प्र. नि. मा. बि. धर्मशाला
52,Rukum,रुकुम,3812,महत,2,113,जनजागृति उ. मा. बि. महत
52,Rukum,रुकुम,3812,महत,5,109,आधारभूत प्र. नि. मा. बि. धर्मशाला
52,Rukum,रुकुम,3812,महत,4,109,आधारभूत प्र. नि. मा. बि. धर्मशाला
52,Rukum,रुकुम,3812,महत,7,111,प्रा. वि. कोर्जा
52,Rukum,रुकुम,3812,महत,6,109,आधारभूत प्र. नि. मा. बि. धर्मशाला
52,Rukum,रुकुम,3812,महत,9,111,प्रा. वि. कोर्जा
52,Rukum,रुकुम,3812,महत,8,111,प्रा. वि. कोर्जा
52,Rukum,रुकुम,3771,रुघा,1,25,दिब्यचक्षु मा.बि. तलीगाउँ
52,Rukum,रुकुम,3771,रुघा,3,29,पिपलनाथ नि. मा. बि. बिमैचा
52,Rukum,रुकुम,3771,रुघा,2,29,पिपलनाथ नि. मा. बि. बिमैचा
52,Rukum,रुकुम,3771,रुघा,5,29,पिपलनाथ नि. मा. बि. बिमैचा
52,Rukum,रुकुम,3771,रुघा,4,29,पिपलनाथ नि. मा. बि. बिमैचा
52,Rukum,रुकुम,3771,रुघा,7,25,दिब्यचक्षु मा.बि. तलीगाउँ
52,Rukum,रुकुम,3771,रुघा,6,25,दिब्यचक्षु मा.बि. तलीगाउँ
52,Rukum,रुकुम,3771,रुघा,9,25,दिब्यचक्षु मा.बि. तलीगाउँ
52,Rukum,रुकुम,3771,रुघा,8,25,दिब्यचक्षु मा.बि. तलीगाउँ
52,Rukum,रुकुम,3824,रन्मामैकोट,1,131,पुथा हिमालय मा. वि. मैकोट धर्मशाला
52,Rukum,रुकुम,3824,रन्मामैकोट,3,131,पुथा हिमालय मा. वि. मैकोट धर्मशाला
52,Rukum,रुकुम,3824,रन्मामैकोट,2,131,पुथा हिमालय मा. वि. मैकोट धर्मशाला
52,Rukum,रुकुम,3824,रन्मामैकोट,5,131,पुथा हिमालय मा. वि. मैकोट धर्मशाला
52,Rukum,रुकुम,3824,रन्मामैकोट,4,138,प्राथामिक विधालय पेल्मा
52,Rukum,रुकुम,3824,रन्मामैकोट,7,134,प्रा. बि. रन्मामैकोट
52,Rukum,रुकुम,3824,रन्मामैकोट,6,134,प्रा. बि. रन्मामैकोट
52,Rukum,रुकुम,3824,रन्मामैकोट,9,135,दीपज्योती प्रा. बि. अर्जल
52,Rukum,रुकुम,3824,रन्मामैकोट,8,135,दीपज्योती प्रा. बि. अर्जल
52,Rukum,रुकुम,3809,काडा,1,99,जनशक्ति मा.बि. काँडा
52,Rukum,रुकुम,3809,काडा,3,99,जनशक्ति मा.बि. काँडा
52,Rukum,रुकुम,3809,काडा,2,99,जनशक्ति मा.बि. काँडा
52,Rukum,रुकुम,3809,काडा,5,99,जनशक्ति मा.बि. काँडा
52,Rukum,रुकुम,3809,काडा,4,99,जनशक्ति मा.बि. काँडा
52,Rukum,रुकुम,3809,काडा,7,102,जन विकास प्रा. बि. तल्लो साकिम
52,Rukum,रुकुम,3809,काडा,6,102,जन विकास प्रा. बि. तल्लो साकिम
52,Rukum,रुकुम,3809,काडा,9,102,जन विकास प्रा. बि. तल्लो साकिम
52,Rukum,रुकुम,3809,काडा,8,102,जन विकास प्रा. बि. तल्लो साकिम
52,Rukum,रुकुम,3776,खलंगा,1,33,त्रिभुवन जनता उच्च‍. मा. बि. खलंगा
52,Rukum,रुकुम,3776,खलंगा,3,33,त्रिभुवन जनता उच्च‍. मा. बि. खलंगा
52,Rukum,रुकुम,3776,खलंगा,2,33,त्रिभुवन जनता उच्च‍. मा. बि. खलंगा
52,Rukum,रुकुम,3776,खलंगा,5,35,पशुपती मा. बि. रातामाटा
52,Rukum,रुकुम,3776,खलंगा,4,33,त्रिभुवन जनता उच्च‍. मा. बि. खलंगा
52,Rukum,रुकुम,3776,खलंगा,7,36,"भगवती प्रा‍. बि. मूसीकोट, कोटचौतारा"
52,Rukum,रुकुम,3776,खलंगा,6,36,"भगवती प्रा‍. बि. मूसीकोट, कोटचौतारा"
52,Rukum,रुकुम,3776,खलंगा,9,35,पशुपती मा. बि. रातामाटा
52,Rukum,रुकुम,3776,खलंगा,8,35,पशुपती मा. बि. रातामाटा
52,Rukum,रुकुम,3804,जाङ,1,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,3,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,2,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,5,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,4,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,7,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,6,89,जनसहयोग मा. बि. रिवा‌ङचौर
52,Rukum,रुकुम,3804,जाङ,9,92,आदर्श मा. बि. खारावाङ
52,Rukum,रुकुम,3804,जाङ,8,92,आदर्श मा. बि. खारावाङ
52,Rukum,रुकुम,3807,राङसी,1,95,प्रा. बि. राङसी
52,Rukum,रुकुम,3807,राङसी,3,95,प्रा. बि. राङसी
52,Rukum,रुकुम,3807,राङसी,2,95,प्रा. बि. राङसी
52,Rukum,रुकुम,3807,राङसी,5,95,प्रा. बि. राङसी
52,Rukum,रुकुम,3807,राङसी,4,95,प्रा. बि. राङसी
52,Rukum,रुकुम,3807,राङसी,7,96,"प्रा. बि. नाखा, राङसी"
52,Rukum,रुकुम,3807,राङसी,6,96,"प्रा. बि. नाखा, राङसी"
52,Rukum,रुकुम,3807,राङसी,9,96,"प्रा. बि. नाखा, राङसी"
52,Rukum,रुकुम,3807,राङसी,8,96,"प्रा. बि. नाखा, राङसी"
52,Rukum,रुकुम,3801,प्वाङ,1,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,3,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,2,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,5,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,4,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,7,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,6,78,नवज्योति प्रा.बि. खरीबोट
52,Rukum,रुकुम,3801,प्वाङ,9,81,बालचेताना प्रा. बि. दत्कुना
52,Rukum,रुकुम,3801,प्वाङ,8,81,बालचेताना प्रा. बि. दत्कुना
52,Rukum,रुकुम,3810,मोरावाङ,1,104,शहिद शुक्र उ. मा. बि. सिमा
52,Rukum,रुकुम,3810,मोरावाङ,3,104,शहिद शुक्र उ. मा. बि. सिमा
52,Rukum,रुकुम,3810,मोरावाङ,2,104,शहिद शुक्र उ. मा. बि. सिमा
52,Rukum,रुकुम,3810,मोरावाङ,5,104,शहिद शुक्र उ. मा. बि. सिमा
52,Rukum,रुकुम,3810,मोरावाङ,4,104,शहिद शुक्र उ. मा. बि. सिमा
52,Rukum,रुकुम,3810,मोरावाङ,7,106,प्रा.बि. क्यान्सी
52,Rukum,रुकुम,3810,मोरावाङ,6,106,प्रा.बि. क्यान्सी
52,Rukum,रुकुम,3810,मोरावाङ,9,107,प्राथमिक बिधालय झुम्लावाङ
52,Rukum,रुकुम,3810,मोरावाङ,8,107,प्राथमिक बिधालय झुम्लावाङ
52,Rukum,रुकुम,3803,सिस्ने,1,83,नवज्योती प्रा. बि. बल्लेचौर
52,Rukum,रुकुम,3803,सिस्ने,3,83,नवज्योती प्रा. बि. बल्लेचौर
52,Rukum,रुकुम,3803,सिस्ने,2,83,नवज्योती प्रा. बि. बल्लेचौर
52,Rukum,रुकुम,3803,सिस्ने,5,86,गा.बि.स.भवन पाखापानी
52,Rukum,रुकुम,3803,सिस्ने,4,83,नवज्योती प्रा. बि. बल्लेचौर
52,Rukum,रुकुम,3803,सिस्ने,7,86,गा.बि.स.भवन पाखापानी
52,Rukum,रुकुम,3803,सिस्ने,6,86,गा.बि.स.भवन पाखापानी
52,Rukum,रुकुम,3803,सिस्ने,9,86,गा.बि.स.भवन पाखापानी
