District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
46,Rupandehi,रुपन्देही,2735,धकधई,1,6267,"रामनरेश यादव आदर्श उच्च मा.वि., धकधई"
46,Rupandehi,रुपन्देही,2735,धकधई,3,6267,"रामनरेश यादव आदर्श उच्च मा.वि., धकधई"
46,Rupandehi,रुपन्देही,2735,धकधई,2,6267,"रामनरेश यादव आदर्श उच्च मा.वि., धकधई"
46,Rupandehi,रुपन्देही,2735,धकधई,5,6267,"रामनरेश यादव आदर्श उच्च मा.वि., धकधई"
46,Rupandehi,रुपन्देही,2735,धकधई,4,6267,"रामनरेश यादव आदर्श उच्च मा.वि., धकधई"
46,Rupandehi,रुपन्देही,2735,धकधई,7,6270,"जनचेतना नि.मा.वि., झुङ्गा"
46,Rupandehi,रुपन्देही,2735,धकधई,6,6267,"रामनरेश यादव आदर्श उच्च मा.वि., धकधई"
46,Rupandehi,रुपन्देही,2735,धकधई,9,6270,"जनचेतना नि.मा.वि., झुङ्गा"
46,Rupandehi,रुपन्देही,2735,धकधई,8,6270,"जनचेतना नि.मा.वि., झुङ्गा"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,1,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,3,6524,"शंकर मा.वि., बेतही"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,2,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,5,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,4,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,7,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,6,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,9,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2901,सौराहा फर्साटिकर,8,6521,"फर्साटिकर उच्च मा.वि., फर्साटिकर"
46,Rupandehi,रुपन्देही,2711,मक्रहर,1,6228,"जनहित मा.वि., कान्छि बजार"
46,Rupandehi,रुपन्देही,2711,मक्रहर,3,6228,"जनहित मा.वि., कान्छि बजार"
46,Rupandehi,रुपन्देही,2711,मक्रहर,2,6229,"गा.वि.स. भवन, मक्रहर"
46,Rupandehi,रुपन्देही,2711,मक्रहर,5,6229,"गा.वि.स. भवन, मक्रहर"
46,Rupandehi,रुपन्देही,2711,मक्रहर,4,6231,"शिवपुर उ. मा.वि., जमुहानी"
46,Rupandehi,रुपन्देही,2711,मक्रहर,7,6231,"शिवपुर उ. मा.वि., जमुहानी"
46,Rupandehi,रुपन्देही,2711,मक्रहर,6,10095,"मद्राहानि सामुदायिक भवन, मद्राहानि"
46,Rupandehi,रुपन्देही,2711,मक्रहर,9,6234,"सरस्वती प्रा.वि., तुकतुकिया"
46,Rupandehi,रुपन्देही,2711,मक्रहर,8,6234,"सरस्वती प्रा.वि., तुकतुकिया"
46,Rupandehi,रुपन्देही,2714,वोदवार,1,6238,"वोदवार नि.मा.वि., वोदवार"
46,Rupandehi,रुपन्देही,2714,वोदवार,3,6238,"वोदवार नि.मा.वि., वोदवार"
46,Rupandehi,रुपन्देही,2714,वोदवार,2,6238,"वोदवार नि.मा.वि., वोदवार"
46,Rupandehi,रुपन्देही,2714,वोदवार,5,6242,"पिपरहवा मा.वि., पिपरहवा"
46,Rupandehi,रुपन्देही,2714,वोदवार,4,6242,"पिपरहवा मा.वि., पिपरहवा"
46,Rupandehi,रुपन्देही,2714,वोदवार,7,6242,"पिपरहवा मा.वि., पिपरहवा"
46,Rupandehi,रुपन्देही,2714,वोदवार,6,6242,"पिपरहवा मा.वि., पिपरहवा"
46,Rupandehi,रुपन्देही,2714,वोदवार,9,6244,"पशुपती नि.मा.वि., पर्सा"
46,Rupandehi,रुपन्देही,2714,वोदवार,8,6244,"पशुपती नि.मा.वि., पर्सा"
46,Rupandehi,रुपन्देही,2869,पश्चिम अमुवा,1,6485,"सिद्धार्थ मा.वि., मदनग‌ंज"
46,Rupandehi,रुपन्देही,2869,पश्चिम अमुवा,3,6485,"सिद्धार्थ मा.वि., मदनग‌ंज"
46,Rupandehi,रुपन्देही,2869,पश्चिम अमुवा,2,6485,"सिद्धार्थ मा.वि., मदनग‌ंज"
