District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
55,Salyan,सल्यान,1781,त्रिवेणी,1,1534,लक्ष्मी प्रा.बि. सल्ले
55,Salyan,सल्यान,1781,त्रिवेणी,3,1534,लक्ष्मी प्रा.बि. सल्ले
55,Salyan,सल्यान,1781,त्रिवेणी,2,1534,लक्ष्मी प्रा.बि. सल्ले
55,Salyan,सल्यान,1781,त्रिवेणी,5,1536,सरस्वती नि. मा.बि. सिम्क
55,Salyan,सल्यान,1781,त्रिवेणी,4,1536,सरस्वती नि. मा.बि. सिम्क
55,Salyan,सल्यान,1781,त्रिवेणी,7,1540,चण्डेश्वरी नि मा बि. लुहाम
55,Salyan,सल्यान,1781,त्रिवेणी,6,1536,सरस्वती नि. मा.बि. सिम्क
55,Salyan,सल्यान,1781,त्रिवेणी,9,1540,चण्डेश्वरी नि मा बि. लुहाम
55,Salyan,सल्यान,1781,त्रिवेणी,8,1540,चण्डेश्वरी नि मा बि. लुहाम
55,Salyan,सल्यान,1735,स्यानीखाल,1,1416,शिव नि मा .बि. मुलडाडा
55,Salyan,सल्यान,1735,स्यानीखाल,3,1419,लक्ष्मी उ.मा..बि. स्यानीखाल
55,Salyan,सल्यान,1735,स्यानीखाल,2,1416,शिव नि मा .बि. मुलडाडा
55,Salyan,सल्यान,1735,स्यानीखाल,5,1419,लक्ष्मी उ.मा..बि. स्यानीखाल
55,Salyan,सल्यान,1735,स्यानीखाल,4,1419,लक्ष्मी उ.मा..बि. स्यानीखाल
55,Salyan,सल्यान,1735,स्यानीखाल,7,1419,लक्ष्मी उ.मा..बि. स्यानीखाल
55,Salyan,सल्यान,1735,स्यानीखाल,6,1419,लक्ष्मी उ.मा..बि. स्यानीखाल
55,Salyan,सल्यान,1735,स्यानीखाल,9,1416,शिव नि मा .बि. मुलडाडा
55,Salyan,सल्यान,1735,स्यानीखाल,8,1416,शिव नि मा .बि. मुलडाडा
55,Salyan,सल्यान,1713,खलङ्गा,1,1344,शिवभजन उ.मा.बि. सितलपाटी
55,Salyan,सल्यान,1713,खलङ्गा,3,1344,शिवभजन उ.मा.बि. सितलपाटी
55,Salyan,सल्यान,1713,खलङ्गा,2,1344,शिवभजन उ.मा.बि. सितलपाटी
55,Salyan,सल्यान,1713,खलङ्गा,5,1346,बालमन्दिर भवन डाँडागाउ
55,Salyan,सल्यान,1713,खलङ्गा,4,1344,शिवभजन उ.मा.बि. सितलपाटी
55,Salyan,सल्यान,1713,खलङ्गा,7,1349,द्धारिका प्रा.बि. वडाखोला
55,Salyan,सल्यान,1713,खलङ्गा,6,1346,बालमन्दिर भवन डाँडागाउ
55,Salyan,सल्यान,1713,खलङ्गा,9,1349,द्धारिका प्रा.बि. वडाखोला
55,Salyan,सल्यान,1713,खलङ्गा,8,1349,द्धारिका प्रा.बि. वडाखोला
