District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
5,Sankhwasabha,सखुवासभा,37,धुपु,1,3366,जनज्योति उ.मा.वि.
5,Sankhwasabha,सखुवासभा,37,धुपु,3,3366,जनज्योति उ.मा.वि.
5,Sankhwasabha,सखुवासभा,37,धुपु,2,3366,जनज्योति उ.मा.वि.
5,Sankhwasabha,सखुवासभा,37,धुपु,5,3366,जनज्योति उ.मा.वि.
5,Sankhwasabha,सखुवासभा,37,धुपु,4,3366,जनज्योति उ.मा.वि.
5,Sankhwasabha,सखुवासभा,37,धुपु,7,3370,"शारदा नि.मा.वि., बितलव"
5,Sankhwasabha,सखुवासभा,37,धुपु,6,3370,"शारदा नि.मा.वि., बितलव"
5,Sankhwasabha,सखुवासभा,37,धुपु,9,3370,"शारदा नि.मा.वि., बितलव"
5,Sankhwasabha,सखुवासभा,37,धुपु,8,3370,"शारदा नि.मा.वि., बितलव"
5,Sankhwasabha,सखुवासभा,43,वाना,1,3423,"सरस्वती नि.मा.वि., सखुवाडाँडा"
5,Sankhwasabha,सखुवासभा,43,वाना,3,3423,"सरस्वती नि.मा.वि., सखुवाडाँडा"
5,Sankhwasabha,सखुवासभा,43,वाना,2,3423,"सरस्वती नि.मा.वि., सखुवाडाँडा"
5,Sankhwasabha,सखुवासभा,43,वाना,5,3423,"सरस्वती नि.मा.वि., सखुवाडाँडा"
5,Sankhwasabha,सखुवासभा,43,वाना,4,3423,"सरस्वती नि.मा.वि., सखुवाडाँडा"
5,Sankhwasabha,सखुवासभा,43,वाना,7,3427,खप्टुवा मा.बि. लिङलिङ
5,Sankhwasabha,सखुवासभा,43,वाना,6,3427,खप्टुवा मा.बि. लिङलिङ
5,Sankhwasabha,सखुवासभा,43,वाना,9,3427,खप्टुवा मा.बि. लिङलिङ
5,Sankhwasabha,सखुवासभा,43,वाना,8,3427,खप्टुवा मा.बि. लिङलिङ
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,1,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,3,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,2,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,5,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,4,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,7,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,6,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,9,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,61,मादी राम्वेनी,8,3502,"मादी उ.मा.वि., राम्बेनी"
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,1,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,3,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,2,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,5,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,4,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,7,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,6,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,9,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,63,माम्लिङ,8,3507,रामेश्वर उ.मा.वि.
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,1,3380,"हिम नि.मा.वि., स्वाची"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,3,3380,"हिम नि.मा.वि., स्वाची"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,2,3380,"हिम नि.मा.वि., स्वाची"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,5,3380,"हिम नि.मा.वि., स्वाची"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,4,3380,"हिम नि.मा.वि., स्वाची"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,7,3383,"सिंहेश्वरी प्रा.वि., सिकिदिम"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,6,3380,"हिम नि.मा.वि., स्वाची"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,9,3383,"सिंहेश्वरी प्रा.वि., सिकिदिम"
5,Sankhwasabha,सखुवासभा,40,सभापोखरी,8,3383,"सिंहेश्वरी प्रा.वि., सिकिदिम"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,1,10176,कालिका नि.मा.वि.महभीर
5,Sankhwasabha,सखुवासभा,66,तामाफोक,3,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,2,10176,कालिका नि.मा.वि.महभीर
5,Sankhwasabha,सखुवासभा,66,तामाफोक,5,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,4,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,7,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,6,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,9,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,66,तामाफोक,8,3510,"चामुण्डे उ.मा.वि., तामाफोक"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,1,3515,"गगनचुम्बी प्रा.वि., अरुणथान"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,3,3517,"शारदा मा.वि., त्रिशुले"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,2,3515,"गगनचुम्बी प्रा.वि., अरुणथान"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,5,3517,"शारदा मा.वि., त्रिशुले"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,4,3517,"शारदा मा.वि., त्रिशुले"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,7,3515,"गगनचुम्बी प्रा.वि., अरुणथान"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,6,3517,"शारदा मा.वि., त्रिशुले"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,9,3515,"गगनचुम्बी प्रा.वि., अरुणथान"
5,Sankhwasabha,सखुवासभा,69,वानेश्वर,8,3515,"गगनचुम्बी प्रा.वि., अरुणथान"
5,Sankhwasabha,सखुवासभा,24,हटिया,1,3330,"गुवाछेसा प्र नि.मा.वि., हुङगुङ"
5,Sankhwasabha,सखुवासभा,24,हटिया,3,3330,"गुवाछेसा प्र नि.मा.वि., हुङगुङ"
5,Sankhwasabha,सखुवासभा,24,हटिया,2,3330,"गुवाछेसा प्र नि.मा.वि., हुङगुङ"
5,Sankhwasabha,सखुवासभा,24,हटिया,5,3339,"कृष्ण नि.मा.वि., गोला"
5,Sankhwasabha,सखुवासभा,24,हटिया,4,3335,विद्यावरदाहिनि प्रा.वि.
5,Sankhwasabha,सखुवासभा,24,हटिया,7,3339,"कृष्ण नि.मा.वि., गोला"
5,Sankhwasabha,सखुवासभा,24,हटिया,6,3339,"कृष्ण नि.मा.वि., गोला"
5,Sankhwasabha,सखुवासभा,24,हटिया,9,3339,"कृष्ण नि.मा.वि., गोला"
5,Sankhwasabha,सखुवासभा,24,हटिया,8,3339,"कृष्ण नि.मा.वि., गोला"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,1,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,3,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,2,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,5,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,4,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,7,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,6,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,9,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,26,किमाथाङका,8,3342,"हिमालय प्रा.वि., किमाथाङ्का"
5,Sankhwasabha,सखुवासभा,20,याफु,1,3247,"माहेश्वरी मा.वि., याफु"
5,Sankhwasabha,सखुवासभा,20,याफु,3,3247,"माहेश्वरी मा.वि., याफु"
5,Sankhwasabha,सखुवासभा,20,याफु,2,3247,"माहेश्वरी मा.वि., याफु"
5,Sankhwasabha,सखुवासभा,20,याफु,5,3250,दिपज्योति प्रा.वि.
5,Sankhwasabha,सखुवासभा,20,याफु,4,3247,"माहेश्वरी मा.वि., याफु"
5,Sankhwasabha,सखुवासभा,20,याफु,7,3250,दिपज्योति प्रा.वि.
5,Sankhwasabha,सखुवासभा,20,याफु,6,3250,दिपज्योति प्रा.वि.
5,Sankhwasabha,सखुवासभा,20,याफु,9,3250,दिपज्योति प्रा.वि.
