District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
15,Saptari,सप्तरी,1140,भूतही,1,8199,"रा.प्रा.वि., भुतही"
15,Saptari,सप्तरी,1140,भूतही,3,8199,"रा.प्रा.वि., भुतही"
15,Saptari,सप्तरी,1140,भूतही,2,8199,"रा.प्रा.वि., भुतही"
15,Saptari,सप्तरी,1140,भूतही,5,8196,"जनता मा.वि., हरिहरा"
15,Saptari,सप्तरी,1140,भूतही,4,8199,"रा.प्रा.वि., भुतही"
15,Saptari,सप्तरी,1140,भूतही,7,8196,"जनता मा.वि., हरिहरा"
15,Saptari,सप्तरी,1140,भूतही,6,8196,"जनता मा.वि., हरिहरा"
15,Saptari,सप्तरी,1140,भूतही,9,8196,"जनता मा.वि., हरिहरा"
15,Saptari,सप्तरी,1140,भूतही,8,8196,"जनता मा.वि., हरिहरा"
15,Saptari,सप्तरी,760,तिलाठी,1,8004,श्री रा.प्रा.वि. तिलाठी
15,Saptari,सप्तरी,760,तिलाठी,3,8003,"गा.वि.स. भवन, तिलाठी लक्ष्मीटोल"
15,Saptari,सप्तरी,760,तिलाठी,2,8003,"गा.वि.स. भवन, तिलाठी लक्ष्मीटोल"
15,Saptari,सप्तरी,760,तिलाठी,5,8004,श्री रा.प्रा.वि. तिलाठी
15,Saptari,सप्तरी,760,तिलाठी,4,8003,"गा.वि.स. भवन, तिलाठी लक्ष्मीटोल"
15,Saptari,सप्तरी,760,तिलाठी,7,8003,"गा.वि.स. भवन, तिलाठी लक्ष्मीटोल"
15,Saptari,सप्तरी,760,तिलाठी,6,8004,श्री रा.प्रा.वि. तिलाठी
15,Saptari,सप्तरी,760,तिलाठी,9,8008,"रा.प्रा.वि., बेल्ही"
15,Saptari,सप्तरी,760,तिलाठी,8,8008,"रा.प्रा.वि., बेल्ही"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,1,8792,"राजाजी तुलसी जोन्छे उ.मा.वि., सिस्वा"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,3,8792,"राजाजी तुलसी जोन्छे उ.मा.वि., सिस्वा"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,2,8792,"राजाजी तुलसी जोन्छे उ.मा.वि., सिस्वा"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,5,8792,"राजाजी तुलसी जोन्छे उ.मा.वि., सिस्वा"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,4,8792,"राजाजी तुलसी जोन्छे उ.मा.वि., सिस्वा"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,7,8795,"रा.प्रा.वि., दुहवी"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,6,8795,"रा.प्रा.वि., दुहवी"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,9,8799,"रा.प्रा.वि., वेल्ही"
15,Saptari,सप्तरी,1383,सिस्वा वेल्ही,8,8799,"रा.प्रा.वि., वेल्ही"
15,Saptari,सप्तरी,662,कोईलाडी,1,7400,"राजेन्द्र देवकी नि.मा.वि., कोइलाडी"
15,Saptari,सप्तरी,662,कोईलाडी,3,7404,देवी सिंहको फुलवारी नजिकको सडक
15,Saptari,सप्तरी,662,कोईलाडी,2,7400,"राजेन्द्र देवकी नि.मा.वि., कोइलाडी"
15,Saptari,सप्तरी,662,कोईलाडी,5,7400,"राजेन्द्र देवकी नि.मा.वि., कोइलाडी"
15,Saptari,सप्तरी,662,कोईलाडी,4,7404,देवी सिंहको फुलवारी नजिकको सडक
15,Saptari,सप्तरी,662,कोईलाडी,7,7406,रामजानकी मन्दिरको सेरोफेरो
15,Saptari,सप्तरी,662,कोईलाडी,6,7404,देवी सिंहको फुलवारी नजिकको सडक
15,Saptari,सप्तरी,662,कोईलाडी,9,7406,रामजानकी मन्दिरको सेरोफेरो
15,Saptari,सप्तरी,662,कोईलाडी,8,7406,रामजानकी मन्दिरको सेरोफेरो
15,Saptari,सप्तरी,764,भगवतपुर,1,7439,"रा.प्रा.वि. भवन, दुर्गापुर"
15,Saptari,सप्तरी,764,भगवतपुर,3,7439,"रा.प्रा.वि. भवन, दुर्गापुर"
15,Saptari,सप्तरी,764,भगवतपुर,2,7439,"रा.प्रा.वि. भवन, दुर्गापुर"
15,Saptari,सप्तरी,764,भगवतपुर,5,7442,"ज.नि.मा.वि., भगवतपुर"
15,Saptari,सप्तरी,764,भगवतपुर,4,7442,"ज.नि.मा.वि., भगवतपुर"
15,Saptari,सप्तरी,764,भगवतपुर,7,7442,"ज.नि.मा.वि., भगवतपुर"
15,Saptari,सप्तरी,764,भगवतपुर,6,7442,"ज.नि.मा.वि., भगवतपुर"
15,Saptari,सप्तरी,764,भगवतपुर,9,7442,"ज.नि.मा.वि., भगवतपुर"
15,Saptari,सप्तरी,764,भगवतपुर,8,7442,"ज.नि.मा.वि., भगवतपुर"
15,Saptari,सप्तरी,693,महदेवा,1,7419,"गा.वि.स. भवन, चकला"
15,Saptari,सप्तरी,693,महदेवा,3,7419,"गा.वि.स. भवन, चकला"
15,Saptari,सप्तरी,693,महदेवा,2,7419,"गा.वि.स. भवन, चकला"
15,Saptari,सप्तरी,693,महदेवा,5,7413,"जनकल्याण रा.प्रा.वि. भवन, अंकवरपुर"
15,Saptari,सप्तरी,693,महदेवा,4,7413,"जनकल्याण रा.प्रा.वि. भवन, अंकवरपुर"
15,Saptari,सप्तरी,693,महदेवा,7,7413,"जनकल्याण रा.प्रा.वि. भवन, अंकवरपुर"
15,Saptari,सप्तरी,693,महदेवा,6,7413,"जनकल्याण रा.प्रा.वि. भवन, अंकवरपुर"
