District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
22,Sarlahi,सर्लाही,872,घुकौली,1,6346,जनसेवा मा.वि. धुर्कौली
22,Sarlahi,सर्लाही,872,घुकौली,3,6346,जनसेवा मा.वि. धुर्कौली
22,Sarlahi,सर्लाही,872,घुकौली,2,6343,जनजागृति प्रा.वि. प्रताटोल
22,Sarlahi,सर्लाही,872,घुकौली,5,6346,जनसेवा मा.वि. धुर्कौली
22,Sarlahi,सर्लाही,872,घुकौली,4,6350,सर्वोदय प्रा.वि. किशोरीटोल
22,Sarlahi,सर्लाही,872,घुकौली,7,6350,सर्वोदय प्रा.वि. किशोरीटोल
22,Sarlahi,सर्लाही,872,घुकौली,6,6356,चार्लिक प्रा.वि. डाडाटोल
22,Sarlahi,सर्लाही,872,घुकौली,9,6343,जनजागृति प्रा.वि. प्रताटोल
22,Sarlahi,सर्लाही,872,घुकौली,8,6356,चार्लिक प्रा.वि. डाडाटोल
22,Sarlahi,सर्लाही,1076,भवानीपुर,1,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,3,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,2,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,5,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,4,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,7,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,6,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,9,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1076,भवानीपुर,8,6818,भवानीपुर नि.मा.वि. भवानीपुर
22,Sarlahi,सर्लाही,1073,सुदामा,1,7907,"गाविस भवन,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,3,7911,"जनता प्रावि,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,2,7911,"जनता प्रावि,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,5,7911,"जनता प्रावि,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,4,7907,"गाविस भवन,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,7,7907,"गाविस भवन,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,6,7911,"जनता प्रावि,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,9,7907,"गाविस भवन,सुदामा"
22,Sarlahi,सर्लाही,1073,सुदामा,8,7907,"गाविस भवन,सुदामा"
22,Sarlahi,सर्लाही,1071,मिर्जापुर,1,7895,जनता प्रावि भवन
22,Sarlahi,सर्लाही,1071,मिर्जापुर,3,7895,जनता प्रावि भवन
22,Sarlahi,सर्लाही,1071,मिर्जापुर,2,7895,जनता प्रावि भवन
22,Sarlahi,सर्लाही,1071,मिर्जापुर,5,7895,जनता प्रावि भवन
22,Sarlahi,सर्लाही,1071,मिर्जापुर,4,7895,जनता प्रावि भवन
22,Sarlahi,सर्लाही,1071,मिर्जापुर,7,7904,माठटोल प्रा.वि. मिर्जापुर
22,Sarlahi,सर्लाही,1071,मिर्जापुर,6,7904,माठटोल प्रा.वि. मिर्जापुर
22,Sarlahi,सर्लाही,1071,मिर्जापुर,9,7895,जनता प्रावि भवन
22,Sarlahi,सर्लाही,1071,मिर्जापुर,8,7904,माठटोल प्रा.वि. मिर्जापुर
22,Sarlahi,सर्लाही,818,परवानीपुर,1,6086,जनता प्रा.वि. करवोट
22,Sarlahi,सर्लाही,818,परवानीपुर,3,6088,डोम जनता मा.वि. परवानीपुर
22,Sarlahi,सर्लाही,818,परवानीपुर,2,6088,डोम जनता मा.वि. परवानीपुर
22,Sarlahi,सर्लाही,818,परवानीपुर,5,6093,जनता नि.मा.वि. तिनघरे
22,Sarlahi,सर्लाही,818,परवानीपुर,4,6088,डोम जनता मा.वि. परवानीपुर
22,Sarlahi,सर्लाही,818,परवानीपुर,7,6096,जनकन्या प्रा.वि. भूमरा
22,Sarlahi,सर्लाही,818,परवानीपुर,6,6093,जनता नि.मा.वि. तिनघरे
22,Sarlahi,सर्लाही,818,परवानीपुर,9,6096,जनकन्या प्रा.वि. भूमरा
22,Sarlahi,सर्लाही,818,परवानीपुर,8,6096,जनकन्या प्रा.वि. भूमरा
22,Sarlahi,सर्लाही,939,सलेमपुर,1,7449,इलाका हेल्थपोष्ट भवन
22,Sarlahi,सर्लाही,939,सलेमपुर,3,7449,इलाका हेल्थपोष्ट भवन
22,Sarlahi,सर्लाही,939,सलेमपुर,2,7449,इलाका हेल्थपोष्ट भवन
22,Sarlahi,सर्लाही,939,सलेमपुर,5,7452,जनता मा.वि. सलेमपुर
22,Sarlahi,सर्लाही,939,सलेमपुर,4,7452,जनता मा.वि. सलेमपुर
22,Sarlahi,सर्लाही,939,सलेमपुर,7,7482,"पशु विकास केन्द्र भवन,
 ब्रह्मस्थान"
22,Sarlahi,सर्लाही,939,सलेमपुर,6,7482,"पशु विकास केन्द्र भवन,
 ब्रह्मस्थान"
