District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,1,3224,उ.मा.वि खयरसाल
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,3,3224,उ.मा.वि खयरसाल
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,2,3224,उ.मा.वि खयरसाल
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,5,3226,प्रावि मथौली
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,4,3226,प्रावि मथौली
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,7,3226,प्रावि मथौली
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,6,3226,प्रावि मथौली
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,9,3234,बरुणेश्वर मा.वि. सिस्नेरी
19,Sindhuli,सिन्धुली,883,कल्पवृक्ष,8,3234,बरुणेश्वर मा.वि. सिस्नेरी
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,11,2779,"स‌ंयूक्त वडा कार्यालय, भिमान"
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,10,2766,कल्याणी प्रावि सिस्नेरी
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,13,2793,हिमचुली प्रावि रानीचुरी
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,12,2787,हरियाली प्रावि कोरङखोला
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,15,2813,जनज्योति प्रावि भडार
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,14,2798,"ज्ञानज्योति नि.मा.वि,काउछे"
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,17,2822,प्रावि गौरङटोल चौतारो
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,16,2818,प्रगतिशील मावि धामीडुमरिया
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,18,2826,त्रिवेणी प्रा.वि. दोभान
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,1,2687,पञ्चकन्या मा.वि कुडुले
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,3,2703,नि.मा.वि तिनतले
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,3,2698,प्रा.वि. ठुलडाँडा
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,2,2695,"वरुणदेवी उ.मा.वि, खट्टार"
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,5,2718,नि.मा.वि देउराली
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,4,2709,"जनज्योति उ.मा.वि., फोस्रेटार"
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,4,2713,"कमला जनज्योति मा.वि., सिलामे"
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,4,2716,कालीमाई मन्दिर
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,7,2723,उ.मा.वि गडौली
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,6,2721,खम्वेचौर बजार
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,9,2762,"कमला उच्च मावि, ढु‌ङ्गेवास"
19,Sindhuli,सिन्धुली,3611,कमलामाई नगरपालिका,8,2753,नि.मा.वि थाक्ले
19,Sindhuli,सिन्धुली,886,अमले,1,3243,मावि अमले
19,Sindhuli,सिन्धुली,886,अमले,3,3243,मावि अमले
19,Sindhuli,सिन्धुली,886,अमले,2,3243,मावि अमले
19,Sindhuli,सिन्धुली,886,अमले,5,3238,"प्रा.वि. सुकाचुरी, वाईवाईटार"
19,Sindhuli,सिन्धुली,886,अमले,4,3243,मावि अमले
19,Sindhuli,सिन्धुली,886,अमले,7,3238,"प्रा.वि. सुकाचुरी, वाईवाईटार"
19,Sindhuli,सिन्धुली,886,अमले,6,3238,"प्रा.वि. सुकाचुरी, वाईवाईटार"
19,Sindhuli,सिन्धुली,886,अमले,9,3238,"प्रा.वि. सुकाचुरी, वाईवाईटार"
19,Sindhuli,सिन्धुली,886,अमले,8,3238,"प्रा.वि. सुकाचुरी, वाईवाईटार"
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,1,2131,मा.वि सुगारे
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,3,2131,मा.वि सुगारे
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,2,2131,मा.वि सुगारे
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,5,2133,उ.मा.वि शंखटार
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,4,2133,उ.मा.वि शंखटार
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,7,2133,उ.मा.वि शंखटार
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,6,2133,उ.मा.वि शंखटार
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,9,2133,उ.मा.वि शंखटार
19,Sindhuli,सिन्धुली,746,महेन्द्र लदाभिर,8,2133,उ.मा.वि शंखटार
19,Sindhuli,सिन्धुली,747,टांडी,1,2146,मा.वि पत्रिङ्गा
19,Sindhuli,सिन्धुली,747,टांडी,3,2141,कमला उ. मा. वि मैनी
19,Sindhuli,सिन्धुली,747,टांडी,2,2146,मा.वि पत्रिङ्गा
19,Sindhuli,सिन्धुली,747,टांडी,5,2141,कमला उ. मा. वि मैनी
19,Sindhuli,सिन्धुली,747,टांडी,4,2146,मा.वि पत्रिङ्गा
19,Sindhuli,सिन्धुली,747,टांडी,7,2146,मा.वि पत्रिङ्गा
19,Sindhuli,सिन्धुली,747,टांडी,6,2141,कमला उ. मा. वि मैनी
19,Sindhuli,सिन्धुली,747,टांडी,9,2150,सरस्वती नि.मा.वि मंगलपुर
19,Sindhuli,सिन्धुली,747,टांडी,8,2150,सरस्वती नि.मा.वि मंगलपुर
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,1,2155,उमावि बाहुनतिल्पुङ्ग
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,3,2155,उमावि बाहुनतिल्पुङ्ग
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,2,2155,उमावि बाहुनतिल्पुङ्ग
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,5,2160,मा.वि महावीर खोलागांउ
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,4,2155,उमावि बाहुनतिल्पुङ्ग
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,7,2160,मा.वि महावीर खोलागांउ
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,6,2160,मा.वि महावीर खोलागांउ
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,9,2155,उमावि बाहुनतिल्पुङ्ग
19,Sindhuli,सिन्धुली,749,बाहुन तिल्पुङ,8,2155,उमावि बाहुनतिल्पुङ्ग
19,Sindhuli,सिन्धुली,766,सिर्थौली,1,2655,उच्च मावि डकाहा
19,Sindhuli,सिन्धुली,766,सिर्थौली,3,2666,मा.वि पचरुखी
19,Sindhuli,सिन्धुली,766,सिर्थौली,2,2655,उच्च मावि डकाहा
19,Sindhuli,सिन्धुली,766,सिर्थौली,5,2666,मा.वि पचरुखी
19,Sindhuli,सिन्धुली,766,सिर्थौली,4,2666,मा.वि पचरुखी
19,Sindhuli,सिन्धुली,766,सिर्थौली,7,2659,उ. मा. वि सिथौली
19,Sindhuli,सिन्धुली,766,सिर्थौली,6,2659,उ. मा. वि सिथौली
19,Sindhuli,सिन्धुली,766,सिर्थौली,9,2659,उ. मा. वि सिथौली
19,Sindhuli,सिन्धुली,766,सिर्थौली,8,2659,उ. मा. वि सिथौली
19,Sindhuli,सिन्धुली,757,लाम्पनटार,1,2175,बहुमुखि क्याम्पस
19,Sindhuli,सिन्धुली,757,लाम्पनटार,3,2175,बहुमुखि क्याम्पस
19,Sindhuli,सिन्धुली,757,लाम्पनटार,2,2175,बहुमुखि क्याम्पस
19,Sindhuli,सिन्धुली,757,लाम्पनटार,5,2175,बहुमुखि क्याम्पस
19,Sindhuli,सिन्धुली,757,लाम्पनटार,4,2175,बहुमुखि क्याम्पस
19,Sindhuli,सिन्धुली,757,लाम्पनटार,7,2176,उ.मा.वि स्याङती
19,Sindhuli,सिन्धुली,757,लाम्पनटार,6,2175,बहुमुखि क्याम्पस
19,Sindhuli,सिन्धुली,757,लाम्पनटार,9,2176,उ.मा.वि स्याङती
19,Sindhuli,सिन्धुली,757,लाम्पनटार,8,2176,उ.मा.वि स्याङती
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,1,3178,नि.मा.वि बसेरी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,3,3178,नि.मा.वि बसेरी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,2,3178,नि.मा.वि बसेरी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,5,3178,नि.मा.वि बसेरी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,4,3178,नि.मा.वि बसेरी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,7,3179,मा.वि. कामीडांडा आकासे चिसापानीकर्मी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,6,3179,मा.वि. कामीडांडा आकासे चिसापानीकर्मी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,9,3179,मा.वि. कामीडांडा आकासे चिसापानीकर्मी
19,Sindhuli,सिन्धुली,851,हरिहरपुर गडी,8,3179,मा.वि. कामीडांडा आकासे चिसापानीकर्मी
19,Sindhuli,सिन्धुली,854,कपिलाकोट,1,3181,मा.वि. सिन्दुरे रातमाटा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,3,3184,प्रावि खलंगा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,2,3181,मा.वि. सिन्दुरे रातमाटा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,5,3184,प्रावि खलंगा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,4,3189,प्रावि भुताहा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,7,3189,प्रावि भुताहा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,6,3189,प्रावि भुताहा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,9,3189,प्रावि भुताहा
19,Sindhuli,सिन्धुली,854,कपिलाकोट,8,3189,प्रावि भुताहा
19,Sindhuli,सिन्धुली,833,भद्रकाली,1,3136,मा.वि. पिपलभन्ज्याङ
19,Sindhuli,सिन्धुली,833,भद्रकाली,3,3136,मा.वि. पिपलभन्ज्याङ
19,Sindhuli,सिन्धुली,833,भद्रकाली,2,3136,मा.वि. पिपलभन्ज्याङ
19,Sindhuli,सिन्धुली,833,भद्रकाली,5,3125,निमावि खट्टार
19,Sindhuli,सिन्धुली,833,भद्रकाली,4,3131,जनजागृति उ.मा.वि निबुवाटर
19,Sindhuli,सिन्धुली,833,भद्रकाली,7,3125,निमावि खट्टार
19,Sindhuli,सिन्धुली,833,भद्रकाली,6,3125,निमावि खट्टार
19,Sindhuli,सिन्धुली,833,भद्रकाली,9,3131,जनजागृति उ.मा.वि निबुवाटर
19,Sindhuli,सिन्धुली,833,भद्रकाली,8,3131,जनजागृति उ.मा.वि निबुवाटर
19,Sindhuli,सिन्धुली,795,भुवनेश्वर ग्वाल्टार,1,2877,कौशिला उ.मा.वि ग्वाल्टार
19,Sindhuli,सिन्धुली,795,भुवनेश्वर ग्वाल्टार,3,2877,कौशिला उ.मा.वि ग्वाल्टार
19,Sindhuli,सिन्धुली,795,भुवनेश्वर ग्वाल्टार,2,2877,कौशिला उ.मा.वि ग्वाल्टार
19,Sindhuli,सिन्धुली,795,भुवनेश्वर ग्वाल्टार,5,2877,कौशिला उ.मा.वि ग्वाल्टार
19,Sindhuli,सिन्धुली,795,भुवनेश्वर ग्वाल्टार,4,2877,कौशिला उ.मा.वि ग्वाल्टार
19,Sindhuli,सिन्धुली,795,भुवनेश्वर ग्वाल्टार,7,2877,कौशिला उ.मा.वि ग्वाल्टार
